[[22, 24, 17], [13, 1, 16], [19, 28, 31], [25, 20, 9], [12, 23, 11], [18, 2, 27], [7, 6, 4], [30, 8, 32], [15, 3, 5], [0, 26, 21], [14, 10, 29]]
[[15, 12, 21], [19, 29, 11], [3, 7, 4], [28, 31, 14], [1, 8, 16], [20, 10, 9], [23, 30, 17], [0, 2, 27], [18, 22, 25], [5, 13, 32], [26, 6, 24]]
[[4, 11, 18], [8, 20, 26], [19, 24, 27], [16, 28, 12], [32, 30, 29], [3, 7, 13], [31, 0, 1], [25, 23, 21], [17, 2, 14], [15, 5, 10], [6, 9, 22]]
[[7, 8, 5], [0, 28, 21], [24, 22, 1], [30, 31, 15], [25, 13, 11], [17, 10, 3], [27, 16, 26], [19, 12, 32], [2, 6, 4], [20, 18, 23], [14, 9, 29]]
[[22, 16, 9], [19, 24, 31], [30, 6, 10], [29, 8, 7], [14, 11, 23], [25, 5, 15], [20, 26, 3], [32, 1, 21], [0, 17, 4], [27, 2, 12], [18, 28, 13]]
[[16, 24, 17], [32, 22, 3], [18, 31, 10], [29, 5, 20], [25, 19, 12], [26, 15, 23], [11, 2, 0], [9, 6, 13], [28, 7, 27], [30, 21, 4], [1, 8, 14]]
[[20, 12, 13], [14, 3, 32], [30, 15, 28], [16, 10, 21], [9, 25, 7], [26, 8, 22], [1, 4, 17], [27, 0, 24], [18, 11, 31], [29, 2, 5], [6, 23, 19]]
[[0, 19, 30], [29, 25, 13], [3, 9, 16], [32, 12, 18], [23, 6, 26], [15, 14, 22], [10, 27, 28], [5, 24, 1], [2, 17, 20], [11, 31, 7], [21, 8, 4]]
[[23, 27, 3], [0, 10, 12], [4, 19, 2], [7, 31, 21], [9, 14, 18], [17, 30, 26], [22, 5, 6], [16, 24, 11], [25, 20, 15], [8, 13, 28], [1, 32, 29]]
[[11, 9, 21], [15, 32, 28], [17, 20, 16], [14, 7, 29], [10, 23, 8], [25, 13, 26], [30, 19, 18], [24, 4, 2], [6, 12, 31], [5, 27, 1], [0, 3, 22]]
[[12, 31, 23], [15, 14, 5], [0, 32, 9], [24, 28, 22], [26, 20, 30], [10, 21, 4], [25, 1, 11], [3, 6, 13], [19, 17, 8], [2, 7, 29], [18, 16, 27]]
[[25, 7, 28], [19, 16, 14], [24, 15, 6], [5, 18, 8], [23, 0, 32], [17, 31, 10], [12, 20, 29], [3, 9, 30], [13, 27, 26], [22, 4, 2], [11, 1, 21]]
[[30, 31, 21], [1, 16, 19], [7, 32, 24], [9, 15, 18], [25, 6, 4], [12, 27, 23], [13, 17, 2], [20, 3, 10], [29, 14, 22], [28, 5, 8], [11, 26, 0]]
[[28, 14, 3], [2, 5, 13], [4, 19, 11], [24, 6, 8], [9, 15, 30], [23, 1, 20], [32, 21, 17], [22, 27, 31], [29, 26, 16], [7, 12, 25], [10, 0, 18]]
[[31, 30, 9], [6, 16, 24], [26, 25, 17], [23, 28, 7], [27, 20, 19], [8, 1, 11], [10, 18, 3], [12, 13, 4], [29, 21, 14], [0, 15, 22], [5, 32, 2]]
