[[22, 14, 0], [19, 3, 12], [5, 16, 20], [15, 1, 2], [13, 11, 17], [4, 9, 8], [21, 10, 24, 18], [25, 7, 23, 6]]
[[16, 6, 8], [20, 21, 19], [13, 1, 7], [15, 9, 3], [18, 25, 24], [5, 12, 14], [22, 23, 0, 11], [17, 2, 4, 10]]
[[3, 9, 17], [20, 8, 14], [22, 13, 12], [18, 5, 4], [19, 6, 11], [24, 0, 2], [7, 23, 10, 16], [25, 21, 15, 1]]
[[4, 15, 5], [2, 6, 23], [19, 20, 10], [22, 13, 12], [25, 9, 21], [18, 1, 0], [3, 8, 17, 14], [7, 24, 11, 16]]
[[24, 25, 21], [15, 9, 4], [14, 22, 11], [1, 19, 18], [7, 8, 5], [23, 10, 16], [2, 3, 20, 13], [17, 6, 12, 0]]
[[22, 13, 2], [20, 14, 21], [15, 11, 10], [16, 25, 19], [7, 0, 18], [3, 24, 1], [8, 4, 12, 5], [6, 9, 17, 23]]
[[8, 12, 17], [15, 18, 3], [20, 5, 25], [1, 2, 14], [10, 19, 21], [11, 16, 9], [0, 6, 7, 24], [22, 23, 4, 13]]
[[22, 9, 7], [4, 5, 10], [13, 3, 21], [14, 12, 18], [24, 23, 8], [1, 20, 6], [11, 2, 16, 17], [15, 25, 19, 0]]
[[1, 0, 18], [10, 25, 8], [2, 13, 24], [5, 9, 6], [23, 7, 4], [22, 19, 21], [17, 15, 14, 11], [20, 16, 3, 12]]
[[24, 13, 12], [23, 25, 10], [5, 1, 0], [3, 20, 4], [6, 9, 11], [17, 21, 18], [16, 22, 15, 7], [19, 8, 2, 14]]
[[4, 13, 5], [14, 21, 10], [20, 18, 22], [11, 23, 6], [25, 3, 19], [16, 1, 9], [2, 8, 17, 24], [0, 15, 12, 7]]
[[4, 12, 11], [8, 18, 7], [17, 9, 3], [23, 15, 20], [2, 14, 25], [19, 24, 6], [0, 10, 21, 1], [22, 13, 5, 16]]
[[2, 15, 14], [8, 7, 4], [10, 12, 20], [16, 9, 24], [23, 13, 0], [5, 6, 17], [22, 21, 19, 18], [25, 11, 1, 3]]
[[16, 14, 7], [9, 21, 4], [24, 20, 15], [5, 2, 3], [17, 25, 1], [18, 23, 22], [6, 11, 12, 8], [19, 0, 13, 10]]
[[18, 25, 24], [4, 9, 8], [5, 11, 6], [13, 21, 15], [1, 20, 10], [12, 19, 14], [7, 17, 22, 16], [3, 2, 23, 0]]
[[1, 2, 17], [3, 24, 14], [15, 10, 25], [16, 22, 11], [20, 21, 23], [5, 18, 0], [7, 8, 6, 9], [19, 13, 4, 12]]
[[5, 10, 18], [11, 25, 12], [14, 4, 0], [7, 23, 13], [2, 19, 8], [22, 6, 9], [15, 21, 1, 17], [16, 20, 24, 3]]
[[19, 12, 9], [6, 7, 2], [1, 13, 21], [24, 22, 20], [18, 17, 25], [0, 4, 11], [14, 23, 8, 5], [16, 10, 15, 3]]
[[11, 25, 23], [20, 3, 9], [24, 15, 2], [5, 0, 4], [17, 16, 14], [13, 22, 6], [12, 21, 18, 1], [8, 7, 19, 10]]
[[15, 23, 1], [16, 3, 0], [21, 5, 9], [6, 12, 11], [8, 22, 24], [20, 14, 2], [4, 17, 19, 10], [18, 13, 25, 7]]
[[9, 25, 12], [1, 7, 21], [14, 19, 2], [5, 8, 10], [15, 11, 18], [23, 13, 4], [6, 3, 22, 0], [16, 24, 20, 17]]
[[16, 19, 9], [23, 8, 7], [14, 22, 13], [2, 17, 24], [5, 12, 0], [20, 18, 25], [3, 1, 15, 10], [4, 21, 11, 6]]
[[22, 18, 24], [9, 2, 11], [10, 15, 1], [16, 3, 8], [21, 4, 23], [13, 25, 6], [5, 19, 20, 17], [7, 12, 14, 0]]
[[24, 16, 14], [25, 21, 13], [23, 3, 2], [5, 4, 1], [8, 17, 0], [12, 11, 20], [7, 19, 15, 18], [10, 22, 9, 6]]
[[4, 3, 12], [2, 14, 10], [15, 20, 21], [19, 5, 17], [8, 6, 18], [0, 11, 16], [23, 22, 13, 1], [25, 24, 9, 7]]
[[14, 0, 10], [5, 8, 6], [9, 3, 15], [21, 12, 19], [23, 24, 16], [2, 22, 13], [18, 25, 7, 11], [1, 17, 20, 4]]
