[[41, 5, 1], [29, 9, 26], [30, 22, 34], [38, 2, 15], [20, 31, 4], [33, 24, 8], [17, 32, 40], [27, 21, 19], [10, 14, 35], [12, 16, 11], [18, 37, 23], [36, 39, 25], [0, 28, 13], [7, 6, 3]]
[[11, 24, 10], [19, 26, 23], [15, 28, 4], [5, 13, 30], [20, 40, 29], [0, 7, 25], [6, 35, 39], [27, 22, 17], [1, 32, 18], [36, 37, 14], [38, 16, 33], [2, 21, 9], [34, 12, 41], [31, 8, 3]]
[[10, 30, 20], [12, 1, 8], [4, 38, 14], [0, 2, 15], [36, 23, 16], [32, 21, 28], [41, 27, 22], [9, 6, 3], [13, 33, 17], [34, 29, 35], [37, 24, 26], [31, 19, 5], [18, 7, 40], [39, 25, 11]]
[[29, 8, 6], [12, 41, 24], [34, 32, 7], [39, 31, 5], [26, 10, 25], [0, 17, 21], [14, 40, 18], [19, 28, 23], [1, 37, 22], [36, 20, 2], [13, 4, 3], [33, 11, 15], [35, 16, 9], [38, 27, 30]]
[[1, 32, 28], [3, 29, 18], [7, 20, 4], [14, 12, 36], [17, 8, 21], [15, 37, 0], [27, 5, 41], [13, 25, 22], [40, 16, 35], [34, 39, 38], [33, 11, 31], [19, 9, 2], [23, 10, 30], [6, 26, 24]]
[[17, 23, 27], [9, 32, 0], [8, 19, 7], [29, 37, 33], [22, 6, 16], [35, 14, 26], [28, 15, 39], [11, 1, 36], [10, 5, 38], [20, 40, 30], [34, 21, 18], [3, 13, 31], [2, 24, 25], [41, 12, 4]]
[[36, 19, 41], [25, 28, 5], [27, 3, 40], [11, 1, 9], [20, 31, 34], [37, 0, 12], [32, 23, 33], [18, 21, 24], [17, 22, 29], [7, 14, 8], [4, 10, 16], [35, 30, 2], [39, 26, 13], [6, 15, 38]]
[[30, 28, 6], [9, 17, 23], [16, 34, 21], [35, 26, 14], [39, 24, 32], [15, 4, 33], [20, 29, 22], [11, 37, 31], [27, 7, 12], [2, 36, 19], [40, 3, 0], [10, 38, 18], [5, 25, 8], [13, 1, 41]]
[[38, 35, 27], [9, 13, 25], [2, 19, 12], [10, 16, 24], [33, 31, 0], [39, 3, 40], [18, 14, 36], [4, 32, 17], [28, 6, 34], [20, 21, 30], [29, 41, 22], [7, 23, 37], [1, 26, 8], [5, 11, 15]]
[[8, 29, 26], [33, 37, 17], [35, 34, 32], [24, 0, 21], [9, 20, 13], [14, 6, 30], [18, 1, 38], [7, 36, 19], [22, 23, 28], [40, 31, 12], [5, 27, 15], [10, 39, 2], [3, 16, 41], [4, 25, 11]]
[[2, 18, 35], [24, 31, 5], [28, 26, 3], [20, 6, 41], [13, 16, 27], [38, 8, 1], [11, 23, 30], [36, 25, 34], [10, 22, 4], [29, 14, 32], [0, 15, 12], [9, 39, 7], [37, 40, 33], [21, 17, 19]]
[[11, 8, 24], [10, 29, 14], [16, 32, 38], [34, 3, 30], [22, 7, 5], [1, 41, 39], [33, 15, 25], [0, 19, 12], [21, 35, 13], [36, 23, 27], [18, 26, 6], [4, 28, 17], [37, 2, 31], [9, 40, 20]]
[[41, 3, 5], [38, 22, 16], [14, 19, 10], [40, 24, 21], [39, 36, 33], [32, 31, 18], [28, 26, 7], [9, 2, 4], [12, 34, 8], [23, 27, 0], [25, 1, 20], [6, 35, 17], [13, 37, 29], [11, 15, 30]]
[[6, 25, 40], [14, 18, 4], [12, 37, 27], [36, 32, 26], [23, 15, 9], [17, 22, 35], [2, 33, 31], [10, 3, 1], [19, 11, 39], [13, 29, 34], [8, 16, 30], [38, 24, 41], [5, 21, 0], [7, 20, 28]]
[[0, 16, 8], [24, 41, 22], [21, 38, 39], [7, 28, 26], [17, 25, 15], [6, 35, 27], [4, 14, 33], [10, 29, 12], [23, 19, 34], [20, 13, 3], [31, 1, 37], [36, 40, 5], [30, 32, 9], [2, 18, 11]]
[[40, 7, 30], [37, 13, 9], [36, 0, 23], [6, 20, 2], [1, 19, 27], [29, 17, 38], [5, 8, 12], [41, 34, 11], [14, 32, 4], [26, 28, 22], [31, 25, 21], [16, 18, 33], [10, 39, 3], [35, 24, 15]]
[[15, 40, 26], [27, 38, 32], [33, 5, 34], [18, 11, 3], [41, 17, 29], [2, 21, 24], [6, 12, 37], [16, 13, 20], [9, 19, 25], [7, 8, 22], [14, 1, 0], [36, 4, 10], [30, 28, 23], [35, 39, 31]]
