[[5, 6, 36], [1, 33, 10], [42, 26, 39], [15, 7, 30], [8, 2, 41], [4, 22, 14], [25, 13, 23], [17, 45, 40], [11, 34, 29], [38, 44, 21], [24, 35, 20], [31, 12, 27], [28, 18, 43], [16, 0, 37], [3, 32, 19, 9]]
[[17, 21, 22], [7, 8, 44], [14, 37, 4], [16, 10, 42], [36, 19, 26], [6, 30, 24], [39, 3, 12], [13, 28, 43], [45, 31, 0], [11, 34, 20], [40, 1, 35], [5, 25, 2], [18, 29, 15], [9, 27, 23], [41, 33, 32, 38]]
[[45, 39, 28], [9, 34, 24], [15, 25, 31], [5, 36, 6], [38, 12, 3], [1, 33, 16], [20, 14, 17], [0, 40, 43], [42, 18, 27], [44, 21, 37], [26, 22, 29], [2, 13, 41], [8, 32, 35], [23, 11, 10], [4, 19, 30, 7]]
[[11, 1, 40], [41, 13, 43], [28, 27, 12], [42, 16, 2], [24, 7, 32], [31, 36, 37], [26, 14, 9], [6, 10, 39], [34, 18, 21], [19, 30, 45], [44, 5, 35], [17, 20, 8], [25, 0, 23], [22, 29, 3], [33, 38, 4, 15]]
[[42, 0, 13], [20, 31, 12], [14, 39, 45], [21, 1, 44], [3, 37, 33], [2, 18, 22], [10, 6, 4], [34, 19, 25], [36, 7, 38], [5, 28, 17], [9, 23, 8], [29, 43, 15], [11, 35, 40], [30, 24, 26], [32, 41, 27, 16]]
[[17, 25, 2], [43, 40, 12], [11, 7, 38], [32, 3, 22], [14, 35, 24], [41, 44, 34], [19, 23, 6], [5, 10, 18], [42, 28, 45], [4, 15, 36], [13, 31, 16], [9, 0, 21], [27, 8, 20], [33, 37, 1], [39, 26, 30, 29]]
[[19, 15, 3], [8, 2, 23], [16, 24, 28], [9, 29, 39], [38, 11, 12], [41, 1, 34], [20, 37, 10], [42, 36, 40], [22, 14, 30], [35, 7, 43], [32, 45, 13], [5, 33, 25], [6, 17, 21], [0, 44, 26], [18, 27, 31, 4]]
[[24, 7, 19], [14, 41, 31], [17, 8, 6], [23, 13, 28], [38, 21, 39], [18, 37, 0], [43, 12, 2], [44, 3, 11], [9, 10, 35], [30, 34, 36], [26, 20, 32], [29, 16, 25], [33, 27, 4], [42, 22, 5], [1, 15, 45, 40]]
[[3, 1, 41], [2, 23, 8], [25, 16, 13], [28, 9, 26], [11, 37, 35], [38, 22, 36], [0, 42, 5], [4, 33, 17], [31, 30, 34], [29, 40, 21], [45, 12, 39], [20, 7, 32], [43, 44, 10], [19, 18, 14], [6, 24, 27, 15]]
[[8, 32, 33], [12, 15, 45], [11, 2, 5], [35, 44, 34], [10, 24, 4], [30, 3, 22], [23, 7, 13], [0, 25, 1], [37, 40, 42], [29, 36, 6], [20, 18, 26], [19, 27, 41], [14, 38, 39], [28, 43, 9], [21, 16, 31, 17]]
[[38, 41, 1], [36, 27, 22], [9, 45, 17], [18, 39, 40], [15, 26, 5], [42, 3, 19], [10, 43, 14], [34, 20, 4], [24, 21, 6], [33, 29, 37], [12, 28, 11], [30, 23, 32], [8, 7, 16], [44, 13, 2], [31, 35, 25, 0]]
[[23, 37, 44], [39, 7, 42], [12, 35, 5], [2, 0, 34], [28, 29, 43], [8, 17, 33], [13, 30, 11], [40, 45, 15], [31, 20, 27], [14, 25, 24], [41, 1, 21], [18, 38, 16], [9, 10, 26], [4, 22, 32], [3, 6, 19, 36]]
[[21, 18, 3], [37, 16, 39], [29, 11, 33], [35, 36, 28], [17, 24, 42], [26, 30, 5], [19, 4, 44], [40, 12, 31], [20, 14, 32], [0, 6, 22], [2, 10, 41], [25, 23, 13], [9, 27, 1], [38, 43, 15], [7, 34, 8, 45]]
[[39, 30, 4], [27, 43, 1], [11, 6, 28], [37, 23, 24], [41, 18, 16], [36, 2, 31], [33, 15, 29], [12, 9, 7], [5, 0, 45], [42, 14, 25], [32, 26, 35], [17, 21, 3], [22, 20, 19], [34, 8, 40], [13, 38, 44, 10]]
[[36, 41, 13], [26, 40, 37], [15, 25, 29], [31, 16, 14], [7, 4, 30], [20, 8, 23], [0, 10, 5], [39, 12, 38], [34, 28, 44], [1, 35, 24], [21, 3, 27], [43, 11, 6], [32, 9, 2], [42, 19, 18], [45, 22, 17, 33]]
[[38, 23, 29], [11, 16, 41], [31, 35, 36], [13, 39, 12], [28, 2, 27], [33, 4, 24], [6, 43, 0], [45, 44, 15], [17, 34, 26], [20, 5, 14], [9, 21, 18], [32, 3, 8], [30, 10, 40], [37, 7, 1], [22, 25, 19, 42]]
[[10, 0, 35], [21, 39, 28], [40, 37, 7], [9, 38, 2], [18, 42, 43], [34, 41, 31], [36, 29, 22], [6, 23, 1], [4, 44, 12], [20, 26, 45], [3, 33, 32], [5, 13, 19], [11, 27, 8], [15, 24, 30], [16, 14, 17, 25]]
[[34, 36, 41], [8, 2, 35], [42, 17, 4], [38, 12, 25], [40, 39, 26], [11, 37, 33], [5, 24, 14], [21, 19, 28], [44, 15, 45], [18, 43, 9], [10, 13, 23], [0, 29, 6], [3, 32, 22], [31, 7, 16], [1, 20, 27, 30]]
[[9, 4, 29], [42, 15, 21], [30, 10, 6], [17, 31, 20], [5, 41, 13], [43, 12, 26], [35, 14, 2], [3, 0, 34], [44, 45, 40], [32, 39, 11], [1, 24, 19], [7, 28, 22], [25, 38, 27], [16, 37, 33], [18, 23, 8, 36]]
