[[29, 12, 5], [2, 21, 22], [7, 24, 26], [31, 0, 1], [27, 13, 15], [17, 32, 28], [23, 8, 9], [6, 16, 14], [18, 30, 33], [11, 20, 3], [4, 19, 10, 25]]
[[30, 8, 2], [17, 0, 12], [18, 23, 28], [10, 25, 4], [31, 27, 19], [14, 33, 22], [5, 7, 15], [1, 16, 26], [20, 32, 9], [24, 3, 6], [11, 13, 29, 21]]
[[7, 25, 28], [24, 15, 9], [29, 13, 8], [14, 2, 26], [18, 31, 0], [11, 17, 32], [16, 33, 19], [4, 10, 12], [1, 27, 23], [22, 21, 3], [20, 6, 30, 5]]
[[32, 31, 28], [33, 7, 0], [27, 13, 8], [1, 2, 15], [3, 6, 16], [30, 12, 24], [23, 25, 19], [17, 4, 9], [29, 11, 22], [21, 18, 5], [14, 20, 26, 10]]
[[15, 0, 12], [7, 21, 33], [4, 19, 32], [14, 1, 25], [3, 13, 31], [10, 22, 11], [29, 2, 30], [9, 16, 18], [8, 24, 27], [23, 5, 17], [28, 6, 20, 26]]
[[16, 0, 26], [11, 5, 14], [23, 22, 4], [25, 30, 10], [2, 33, 29], [32, 19, 21], [8, 18, 3], [31, 6, 20], [9, 24, 1], [7, 28, 17], [13, 27, 12, 15]]
[[0, 25, 7], [14, 5, 6], [9, 21, 1], [22, 27, 16], [30, 24, 19], [15, 32, 23], [8, 33, 3], [18, 29, 4], [13, 12, 17], [20, 26, 2], [28, 10, 11, 31]]
[[17, 10, 13], [24, 19, 9], [6, 29, 18], [31, 14, 8], [32, 28, 15], [0, 22, 26], [21, 7, 1], [12, 11, 25], [4, 16, 33], [3, 2, 30], [5, 20, 23, 27]]
[[27, 10, 25], [33, 1, 9], [3, 21, 5], [15, 24, 12], [17, 13, 16], [20, 0, 8], [22, 11, 28], [4, 32, 19], [29, 26, 2], [7, 14, 6], [30, 18, 23, 31]]
[[14, 31, 33], [15, 1, 7], [18, 32, 11], [24, 12, 5], [20, 23, 10], [6, 19, 9], [2, 30, 27], [8, 17, 22], [28, 4, 25], [26, 0, 13], [16, 29, 3, 21]]
[[28, 33, 2], [12, 0, 24], [7, 3, 22], [6, 5, 14], [21, 23, 17], [10, 11, 30], [15, 31, 8], [1, 19, 27], [13, 32, 9], [16, 4, 25], [29, 20, 26, 18]]
