[[10, 33, 16], [20, 35, 2], [27, 5, 22], [11, 38, 8], [1, 0, 9], [26, 34, 15], [29, 19, 21], [31, 24, 18], [7, 32, 6], [25, 28, 30], [14, 23, 13], [37, 36, 12], [3, 17, 4]]
[[9, 10, 36], [26, 21, 1], [31, 11, 28], [17, 33, 15], [24, 23, 38], [13, 19, 6], [2, 0, 12], [3, 37, 25], [34, 30, 7], [32, 4, 27], [35, 22, 29], [14, 18, 20], [5, 16, 8]]
[[32, 24, 29], [8, 2, 13], [17, 19, 9], [4, 27, 37], [3, 0, 31], [25, 23, 5], [22, 35, 12], [36, 20, 16], [7, 21, 28], [6, 26, 30], [14, 11, 33], [18, 1, 34], [15, 10, 38]]
[[12, 15, 27], [6, 0, 17], [24, 19, 31], [11, 5, 29], [32, 2, 9], [3, 34, 18], [14, 7, 36], [20, 13, 22], [35, 37, 4], [25, 10, 23], [33, 16, 21], [8, 30, 1], [28, 26, 38]]
[[30, 8, 33], [17, 4, 15], [34, 28, 20], [35, 37, 23], [16, 2, 9], [36, 14, 3], [29, 26, 22], [18, 1, 32], [25, 6, 10], [27, 31, 24], [13, 12, 0], [19, 38, 21], [11, 5, 7]]
[[3, 2, 21], [28, 29, 10], [16, 38, 9], [31, 0, 34], [24, 5, 37], [4, 32, 12], [35, 33, 13], [27, 1, 15], [11, 36, 17], [6, 7, 8], [30, 23, 19], [22, 26, 14], [20, 18, 25]]
[[25, 18, 14], [34, 20, 1], [27, 12, 16], [29, 6, 3], [8, 13, 30], [7, 9, 32], [36, 5, 10], [4, 17, 28], [23, 38, 0], [11, 26, 37], [24, 21, 31], [35, 19, 22], [15, 33, 2]]
[[10, 37, 23], [24, 20, 25], [19, 7, 18], [28, 9, 2], [33, 16, 32], [5, 31, 0], [36, 34, 6], [30, 14, 27], [35, 38, 21], [12, 4, 13], [26, 17, 29], [1, 3, 11], [22, 8, 15]]
[[23, 38, 28], [22, 6, 8], [15, 3, 33], [30, 34, 16], [25, 1, 19], [12, 0, 17], [18, 37, 27], [24, 5, 2], [11, 21, 14], [20, 10, 9], [13, 32, 29], [7, 31, 26], [35, 4, 36]]
[[22, 15, 29], [36, 34, 5], [19, 9, 24], [38, 33, 1], [20, 23, 31], [35, 11, 26], [16, 10, 27], [0, 6, 28], [12, 4, 21], [25, 14, 2], [7, 18, 17], [32, 30, 3], [8, 37, 13]]
[[27, 36, 30], [29, 2, 15], [11, 1, 21], [6, 24, 13], [20, 8, 4], [17, 33, 37], [14, 26, 3], [5, 18, 31], [16, 19, 22], [0, 12, 10], [35, 9, 38], [34, 32, 7], [25, 28, 23]]
[[12, 37, 18], [4, 13, 1], [2, 26, 20], [33, 17, 32], [31, 9, 0], [36, 21, 8], [11, 25, 30], [14, 7, 15], [6, 28, 10], [16, 3, 23], [34, 5, 35], [22, 24, 27], [38, 19, 29]]
[[13, 14, 31], [25, 20, 27], [15, 10, 38], [7, 24, 11], [34, 2, 26], [18, 3, 35], [17, 5, 9], [36, 30, 28], [16, 8, 0], [1, 22, 12], [6, 33, 29], [23, 21, 19], [4, 37, 32]]
[[31, 3, 38], [6, 11, 26], [19, 36, 27], [22, 18, 32], [25, 4, 23], [33, 29, 16], [12, 20, 7], [17, 14, 5], [35, 24, 30], [21, 0, 8], [13, 2, 15], [37, 28, 1], [34, 9, 10]]
[[10, 17, 19], [3, 27, 6], [7, 26, 34], [15, 32, 9], [5, 38, 11], [18, 24, 20], [4, 14, 22], [1, 30, 13], [8, 35, 37], [29, 2, 31], [16, 25, 0], [36, 33, 28], [21, 12, 23]]
[[0, 1, 13], [38, 27, 17], [3, 2, 19], [35, 4, 8], [32, 11, 10], [15, 7, 6], [31, 33, 18], [37, 5, 23], [14, 36, 26], [34, 29, 12], [25, 22, 16], [20, 30, 24], [21, 28, 9]]
[[7, 11, 23], [4, 34, 12], [32, 0, 30], [24, 16, 15], [36, 19, 21], [28, 10, 31], [13, 20, 5], [33, 25, 3], [1, 37, 6], [38, 17, 22], [18, 8, 9], [26, 27, 35], [2, 29, 14]]
[[31, 6, 38], [22, 15, 36], [5, 14, 13], [4, 19, 9], [3, 17, 35], [7, 25, 26], [29, 34, 11], [1, 27, 16], [30, 24, 23], [12, 21, 18], [8, 28, 33], [0, 20, 37], [32, 10, 2]]
[[34, 23, 13], [27, 10, 4], [24, 11, 6], [30, 9, 22], [37, 33, 7], [17, 36, 15], [3, 35, 8], [2, 18, 29], [14, 5, 1], [20, 19, 0], [31, 26, 28], [21, 25, 32], [12, 16, 38]]
[[33, 32, 26], [1, 14, 23], [25, 8, 16], [29, 11, 3], [17, 37, 30], [5, 12, 6], [34, 35, 36], [28, 13, 15], [38, 2, 22], [19, 31, 21], [7, 4, 27], [10, 9, 0], [24, 20, 18]]
[[6, 7, 14], [25, 3, 23], [5, 8, 36], [38, 26, 0], [37, 17, 29], [12, 32, 11], [27, 30, 4], [33, 16, 31], [10, 19, 2], [20, 13, 15], [9, 35, 28], [24, 22, 34], [18, 1, 21]]
[[15, 22, 1], [11, 38, 24], [2, 21, 30], [5, 8, 13], [0, 35, 28], [19, 20, 7], [6, 31, 33], [37, 3, 34], [16, 14, 26], [18, 9, 25], [29, 10, 12], [36, 32, 4], [23, 17, 27]]
[[1, 23, 8], [21, 9, 29], [27, 16, 2], [28, 22, 14], [5, 25, 31], [35, 11, 37], [6, 24, 15], [34, 17, 19], [7, 30, 36], [33, 4, 10], [0, 13, 18], [38, 3, 20], [32, 12, 26]]
[[22, 18, 32], [3, 35, 7], [20, 15, 0], [37, 5, 28], [27, 12, 26], [38, 34, 16], [14, 10, 25], [29, 33, 9], [17, 4, 21], [8, 1, 2], [36, 6, 31], [30, 24, 23], [19, 11, 13]]
[[10, 24, 38], [6, 12, 30], [27, 7, 31], [36, 9, 2], [16, 21, 23], [15, 34, 4], [13, 29, 0], [8, 37, 26], [18, 25, 35], [11, 17, 33], [1, 22, 20], [19, 28, 5], [3, 32, 14]]
[[27, 8, 12], [24, 37, 26], [5, 35, 13], [38, 25, 4], [32, 31, 14], [20, 30, 9], [18, 36, 1], [28, 34, 7], [29, 33, 23], [16, 21, 6], [15, 10, 11], [22, 0, 3], [2, 17, 19]]
[[3, 22, 29], [38, 21, 24], [37, 8, 23], [25, 14, 15], [16, 26, 2], [10, 11, 32], [35, 9, 7], [12, 33, 27], [6, 1, 36], [13, 0, 19], [34, 5, 30], [31, 17, 28], [20, 18, 4]]
[[23, 3, 25], [18, 17, 13], [37, 1, 12], [32, 29, 24], [15, 31, 26], [10, 34, 11], [8, 9, 4], [36, 33, 22], [14, 5, 7], [35, 27, 38], [16, 19, 21], [30, 20, 2], [6, 28, 0]]
[[35, 37, 17], [24, 5, 6], [34, 20, 25], [1, 4, 27], [14, 21, 13], [33, 26, 2], [36, 7, 38], [23, 30, 19], [18, 10, 29], [32, 16, 12], [8, 22, 15], [9, 0, 3], [31, 11, 28]]
[[21, 5, 27], [10, 9, 18], [32, 36, 33], [30, 11, 19], [4, 34, 25], [16, 31, 17], [38, 15, 3], [1, 6, 28], [13, 14, 8], [2, 0, 20], [23, 37, 12], [26, 35, 29], [22, 24, 7]]
[[33, 38, 37], [4, 2, 25], [22, 31, 24], [5, 11, 19], [21, 10, 26], [14, 12, 29], [23, 18, 9], [0, 15, 27], [13, 7, 8], [1, 20, 28], [35, 16, 3], [6, 30, 32], [36, 34, 17]]
[[6, 28, 19], [4, 17, 10], [36, 0, 26], [12, 38, 29], [2, 27, 31], [25, 16, 18], [24, 15, 21], [8, 1, 20], [3, 37, 9], [32, 30, 5], [34, 13, 33], [35, 14, 22], [7, 11, 23]]
[[19, 27, 28], [24, 26, 1], [11, 5, 8], [9, 36, 30], [3, 20, 10], [31, 38, 18], [29, 34, 17], [15, 35, 7], [21, 6, 2], [16, 23, 12], [13, 25, 33], [14, 22, 4], [0, 32, 37]]
