[[19, 25, 10], [21, 24, 6], [7, 16, 15], [17, 18, 23], [11, 9, 3], [0, 22, 14], [1, 4, 8], [5, 13, 12], [26, 2, 20]]
[[11, 9, 26], [15, 0, 4], [6, 1, 24], [19, 25, 21], [20, 13, 3], [16, 23, 5], [14, 22, 2], [17, 7, 8], [12, 10, 18]]
[[22, 2, 5], [24, 9, 16], [12, 23, 1], [4, 0, 13], [17, 14, 25], [26, 6, 11], [15, 3, 18], [8, 19, 10], [21, 7, 20]]
[[20, 14, 13], [17, 21, 25], [18, 4, 23], [6, 16, 2], [0, 26, 12], [11, 1, 8], [5, 3, 15], [9, 10, 22], [24, 7, 19]]
[[8, 12, 19], [21, 20, 13], [0, 16, 3], [1, 11, 10], [18, 4, 17], [22, 6, 7], [14, 9, 25], [24, 26, 2], [15, 23, 5]]
[[18, 7, 10], [23, 17, 3], [9, 1, 2], [11, 16, 0], [25, 22, 12], [21, 4, 13], [19, 24, 6], [15, 26, 8], [20, 14, 5]]
[[19, 18, 6], [12, 23, 15], [14, 21, 5], [1, 10, 20], [4, 3, 8], [13, 9, 16], [7, 2, 11], [22, 24, 0], [26, 17, 25]]
[[25, 17, 7], [18, 12, 15], [0, 9, 22], [2, 5, 21], [13, 11, 19], [26, 4, 6], [24, 14, 20], [1, 23, 3], [10, 8, 16]]
[[16, 21, 6], [0, 18, 5], [8, 14, 9], [13, 17, 15], [11, 24, 26], [19, 3, 23], [22, 20, 1], [10, 4, 12], [25, 2, 7]]
[[25, 10, 8], [19, 16, 3], [22, 13, 2], [5, 0, 15], [18, 6, 14], [24, 9, 4], [12, 11, 23], [26, 21, 1], [20, 7, 17]]
[[9, 10, 19], [24, 4, 14], [13, 0, 12], [25, 5, 23], [16, 20, 1], [8, 26, 17], [18, 15, 22], [7, 21, 2], [6, 11, 3]]
[[21, 7, 16], [10, 8, 26], [6, 18, 11], [24, 12, 20], [15, 25, 4], [19, 2, 22], [23, 17, 1], [9, 5, 14], [3, 13, 0]]
[[7, 12, 22], [8, 1, 4], [2, 23, 9], [24, 19, 17], [6, 10, 26], [15, 18, 11], [20, 0, 5], [13, 14, 3], [16, 21, 25]]
[[21, 15, 16], [12, 19, 1], [8, 5, 18], [24, 7, 0], [4, 13, 11], [25, 10, 23], [3, 22, 9], [26, 14, 20], [6, 2, 17]]
[[2, 16, 13], [4, 0, 8], [24, 1, 18], [21, 20, 9], [10, 5, 7], [11, 23, 14], [15, 6, 17], [19, 12, 22], [3, 26, 25]]
[[22, 7, 2], [3, 25, 18], [24, 5, 4], [12, 8, 14], [16, 15, 10], [23, 20, 1], [0, 11, 17], [21, 9, 19], [26, 6, 13]]
[[4, 3, 15], [1, 17, 12], [19, 24, 25], [26, 6, 7], [21, 5, 8], [2, 20, 10], [14, 18, 16], [22, 0, 11], [9, 13, 23]]
[[6, 18, 14], [26, 15, 16], [3, 8, 17], [4, 10, 2], [21, 11, 23], [13, 9, 5], [7, 22, 0], [19, 25, 1], [20, 24, 12]]
[[6, 21, 1], [8, 16, 20], [3, 2, 13], [11, 18, 26], [25, 22, 5], [19, 17, 23], [14, 15, 4], [10, 7, 0], [9, 24, 12]]
[[26, 8, 19], [23, 6, 10], [14, 16, 15], [0, 4, 5], [13, 3, 18], [25, 12, 24], [21, 1, 11], [20, 9, 22], [7, 2, 17]]
[[3, 21, 16], [13, 2, 18], [5, 14, 0], [24, 17, 22], [10, 12, 23], [25, 20, 8], [6, 7, 19], [1, 9, 11], [4, 15, 26]]
[[16, 20, 13], [9, 3, 14], [4, 1, 8], [11, 23, 7], [22, 6, 24], [18, 19, 21], [10, 5, 15], [12, 2, 26], [17, 25, 0]]
[[10, 0, 5], [23, 3, 17], [22, 16, 7], [18, 9, 20], [11, 25, 14], [19, 8, 12], [26, 2, 21], [1, 15, 4], [24, 6, 13]]
[[22, 25, 26], [13, 14, 11], [21, 19, 1], [2, 20, 10], [5, 8, 16], [23, 9, 4], [6, 7, 17], [24, 12, 15], [3, 18, 0]]
[[17, 3, 0], [18, 1, 14], [26, 22, 21], [8, 2, 24], [16, 13, 19], [20, 15, 7], [6, 12, 23], [4, 25, 11], [9, 5, 10]]
[[6, 12, 22], [14, 11, 2], [15, 19, 18], [9, 25, 1], [17, 26, 3], [10, 16, 4], [20, 5, 23], [7, 24, 8], [0, 21, 13]]
[[13, 3, 16], [18, 17, 7], [15, 22, 4], [0, 14, 12], [8, 21, 1], [26, 24, 9], [20, 6, 11], [19, 23, 10], [5, 2, 25]]
[[3, 0, 26], [4, 7, 10], [24, 22, 13], [23, 16, 17], [25, 19, 20], [15, 14, 11], [1, 5, 18], [9, 21, 6], [8, 2, 12]]
[[19, 6, 7], [12, 17, 0], [26, 1, 8], [2, 13, 3], [25, 15, 16], [23, 14, 5], [18, 10, 24], [22, 9, 20], [21, 11, 4]]
[[9, 14, 26], [1, 0, 20], [24, 22, 2], [21, 10, 12], [16, 15, 19], [23, 7, 25], [6, 4, 17], [18, 5, 8], [3, 11, 13]]
[[16, 15, 17], [19, 9, 10], [6, 22, 20], [23, 12, 5], [21, 26, 8], [25, 11, 7], [24, 3, 0], [2, 18, 14], [4, 13, 1]]
[[24, 19, 1], [3, 9, 22], [23, 13, 2], [17, 0, 18], [25, 10, 4], [26, 6, 7], [21, 14, 20], [8, 15, 12], [5, 16, 11]]
[[3, 15, 0], [22, 11, 23], [8, 7, 18], [21, 13, 25], [24, 17, 26], [14, 19, 12], [9, 6, 5], [2, 4, 20], [10, 1, 16]]
[[6, 11, 18], [0, 26, 3], [2, 4, 5], [7, 13, 9], [1, 24, 8], [16, 25, 23], [21, 22, 19], [14, 12, 20], [17, 15, 10]]
[[11, 14, 22], [13, 26, 20], [9, 3, 17], [2, 4, 25], [24, 5, 16], [7, 0, 12], [10, 21, 8], [18, 23, 19], [1, 15, 6]]
[[25, 21, 26], [24, 19, 18], [10, 3, 15], [11, 17, 4], [13, 23, 14], [9, 5, 8], [1, 2, 20], [0, 12, 7], [6, 16, 22]]
[[19, 6, 14], [11, 7, 5], [17, 13, 1], [8, 20, 0], [22, 2, 4], [25, 9, 16], [26, 10, 15], [3, 24, 21], [12, 18, 23]]
[[10, 11, 2], [1, 12, 3], [7, 25, 13], [19, 23, 22], [6, 5, 4], [21, 14, 15], [24, 9, 20], [26, 16, 18], [0, 8, 17]]
[[13, 14, 16], [10, 0, 6], [26, 7, 15], [3, 5, 12], [19, 24, 21], [17, 11, 8], [4, 2, 18], [20, 23, 25], [1, 9, 22]]
[[24, 4, 1], [8, 20, 12], [2, 5, 6], [10, 9, 23], [16, 19, 14], [22, 13, 7], [26, 18, 25], [21, 3, 17], [0, 15, 11]]
[[5, 19, 4], [7, 10, 9], [0, 23, 24], [18, 20, 21], [3, 17, 6], [25, 12, 16], [22, 2, 13], [1, 8, 15], [11, 14, 26]]
[[20, 7, 11], [13, 10, 19], [17, 15, 14], [26, 23, 12], [21, 2, 24], [1, 25, 5], [0, 3, 4], [6, 16, 18], [9, 8, 22]]
[[9, 5, 2], [0, 21, 14], [23, 17, 13], [3, 4, 25], [18, 12, 8], [7, 1, 20], [15, 22, 11], [16, 24, 6], [26, 19, 10]]
[[25, 5, 12], [17, 6, 14], [18, 15, 21], [24, 13, 2], [9, 8, 0], [10, 7, 23], [16, 3, 11], [4, 19, 26], [1, 20, 22]]
[[18, 8, 16], [7, 24, 9], [10, 15, 5], [12, 0, 23], [14, 19, 25], [20, 21, 13], [1, 6, 2], [3, 22, 26], [11, 4, 17]]
[[6, 16, 7], [9, 25, 4], [22, 1, 19], [17, 24, 14], [5, 13, 12], [2, 3, 10], [15, 26, 20], [21, 18, 11], [0, 8, 23]]
[[18, 9, 16], [12, 2, 6], [15, 1, 8], [26, 14, 11], [0, 10, 22], [25, 13, 24], [21, 3, 4], [23, 19, 7], [5, 20, 17]]
[[16, 24, 23], [11, 25, 19], [14, 21, 18], [3, 13, 7], [9, 4, 1], [10, 20, 26], [8, 0, 5], [12, 15, 6], [22, 17, 2]]
[[21, 12, 19], [11, 26, 0], [10, 23, 8], [18, 5, 17], [9, 6, 25], [15, 24, 13], [14, 16, 2], [1, 3, 22], [4, 7, 20]]
[[2, 11, 23], [24, 7, 5], [25, 6, 8], [20, 4, 9], [16, 13, 10], [12, 26, 19], [1, 18, 3], [15, 22, 0], [21, 17, 14]]
[[20, 10, 21], [1, 17, 12], [8, 7, 23], [16, 15, 18], [6, 9, 2], [11, 24, 25], [4, 5, 0], [22, 14, 13], [19, 26, 3]]
[[18, 5, 20], [22, 14, 19], [23, 26, 1], [7, 2, 21], [3, 9, 4], [6, 0, 24], [15, 25, 11], [13, 17, 16], [8, 12, 10]]
[[0, 11, 7], [5, 14, 15], [10, 25, 9], [26, 13, 21], [18, 22, 6], [20, 2, 12], [4, 24, 16], [19, 23, 3], [8, 17, 1]]
[[12, 6, 3], [1, 0, 16], [20, 15, 19], [25, 9, 26], [14, 22, 4], [17, 18, 23], [5, 10, 2], [7, 24, 11], [13, 21, 8]]
