[[10, 9, 5], [27, 22, 24], [16, 0, 8], [15, 12, 19], [28, 20, 4], [25, 2, 14], [18, 1, 26], [7, 3, 13, 17], [21, 23, 11, 6]]
[[4, 9, 25], [27, 3, 23], [2, 24, 28], [12, 11, 17], [19, 13, 16], [8, 14, 15], [5, 7, 0], [18, 26, 21, 20], [1, 10, 6, 22]]
[[12, 24, 7], [26, 5, 13], [6, 11, 2], [28, 27, 21], [10, 23, 3], [25, 17, 22], [4, 20, 14], [0, 19, 9, 16], [15, 18, 1, 8]]
[[19, 12, 28], [26, 1, 15], [18, 3, 11], [4, 17, 5], [6, 23, 2], [8, 22, 9], [20, 7, 14], [13, 25, 16, 27], [24, 21, 10, 0]]
[[9, 5, 15], [2, 25, 1], [10, 0, 16], [22, 3, 24], [14, 17, 27], [28, 20, 23], [8, 6, 18], [26, 21, 13, 19], [4, 7, 11, 12]]
[[7, 28, 6], [4, 20, 26], [17, 21, 12], [27, 5, 23], [0, 2, 18], [24, 1, 15], [16, 25, 11], [9, 22, 8, 3], [19, 10, 13, 14]]
[[22, 1, 14], [7, 0, 25], [6, 13, 15], [17, 4, 26], [2, 9, 10], [5, 23, 11], [18, 24, 19], [20, 21, 8, 27], [12, 3, 28, 16]]
[[1, 26, 0], [8, 15, 16], [19, 20, 17], [13, 14, 9], [7, 10, 3], [5, 12, 23], [4, 25, 24], [22, 6, 11, 2], [21, 27, 28, 18]]
[[7, 5, 27], [14, 17, 21], [19, 3, 16], [26, 0, 24], [4, 8, 9], [25, 22, 10], [20, 13, 1], [2, 18, 6, 12], [11, 15, 28, 23]]
[[21, 24, 17], [23, 1, 20], [27, 9, 22], [11, 10, 15], [8, 7, 0], [16, 3, 14], [5, 26, 4], [12, 28, 18, 2], [25, 19, 6, 13]]
[[18, 26, 14], [23, 12, 25], [22, 28, 19], [24, 15, 6], [7, 8, 5], [20, 11, 17], [2, 9, 27], [16, 21, 0, 13], [3, 4, 10, 1]]
[[0, 3, 19], [13, 24, 22], [23, 12, 28], [9, 14, 8], [15, 25, 11], [7, 17, 16], [20, 26, 1], [4, 10, 2, 6], [18, 27, 21, 5]]
[[28, 27, 25], [1, 17, 19], [10, 21, 12], [8, 4, 3], [2, 7, 5], [11, 13, 15], [22, 18, 14], [6, 24, 23, 26], [9, 16, 0, 20]]
[[7, 21, 13], [6, 22, 19], [25, 8, 5], [17, 24, 10], [16, 0, 9], [20, 14, 26], [23, 3, 18], [11, 2, 28, 15], [4, 1, 12, 27]]
[[5, 16, 3], [22, 12, 6], [19, 13, 28], [7, 10, 9], [17, 20, 1], [27, 14, 0], [11, 8, 2], [25, 23, 26, 4], [15, 24, 21, 18]]
[[27, 23, 18], [20, 14, 3], [28, 17, 2], [15, 21, 12], [19, 16, 26], [6, 1, 8], [22, 24, 9], [25, 5, 4, 7], [13, 11, 10, 0]]
[[19, 15, 9], [1, 18, 17], [10, 26, 4], [14, 21, 24], [0, 7, 3], [27, 12, 25], [5, 23, 22], [2, 16, 8, 20], [6, 28, 13, 11]]
[[20, 22, 14], [27, 21, 16], [8, 7, 18], [0, 5, 1], [9, 11, 17], [28, 3, 4], [6, 24, 26], [13, 10, 2, 23], [19, 25, 12, 15]]
[[28, 26, 21], [14, 9, 18], [24, 20, 8], [25, 17, 3], [15, 19, 27], [4, 2, 13], [16, 10, 6], [12, 1, 23, 5], [22, 11, 0, 7]]
[[23, 15, 1], [6, 2, 19], [10, 9, 26], [5, 20, 4], [13, 27, 22], [7, 24, 11], [12, 25, 0], [3, 16, 28, 8], [17, 21, 18, 14]]
[[11, 0, 16], [28, 20, 14], [25, 24, 21], [6, 23, 1], [9, 3, 10], [26, 17, 2], [18, 7, 4], [5, 22, 19, 8], [15, 13, 12, 27]]
[[21, 14, 11], [24, 26, 27], [9, 5, 2], [3, 20, 15], [12, 23, 7], [22, 19, 18], [17, 28, 0], [6, 10, 16, 8], [13, 4, 25, 1]]
[[14, 4, 20], [24, 22, 7], [2, 23, 16], [10, 6, 8], [11, 27, 13], [0, 25, 28], [12, 1, 19], [15, 3, 26, 5], [18, 9, 17, 21]]
[[25, 1, 28], [9, 14, 23], [15, 19, 13], [16, 20, 18], [11, 27, 0], [21, 6, 17], [2, 12, 4], [5, 22, 8, 26], [24, 3, 7, 10]]
[[14, 15, 26], [8, 19, 20], [18, 23, 24], [5, 16, 27], [1, 3, 10], [21, 4, 25], [28, 6, 0], [2, 13, 17, 12], [7, 22, 9, 11]]
[[20, 10, 6], [1, 15, 22], [4, 14, 16], [7, 11, 21], [2, 23, 9], [0, 17, 8], [19, 12, 25], [13, 26, 3, 28], [27, 5, 18, 24]]
[[12, 5, 4], [26, 2, 22], [28, 23, 0], [17, 24, 21], [10, 8, 14], [1, 19, 3], [13, 27, 20], [7, 6, 18, 11], [16, 9, 25, 15]]
[[19, 17, 15], [0, 20, 6], [26, 4, 28], [27, 9, 3], [18, 25, 14], [21, 2, 10], [7, 24, 11], [16, 12, 1, 8], [23, 13, 5, 22]]
