[[9, 19, 26], [5, 3, 12], [6, 8, 10], [28, 2, 11], [18, 0, 13], [21, 16, 1], [31, 29, 4], [20, 7, 14], [23, 17, 24, 27], [30, 22, 25, 15]]
[[10, 29, 0], [24, 11, 19], [7, 21, 17], [6, 1, 3], [23, 20, 12], [5, 27, 2], [15, 26, 16], [22, 14, 18], [4, 25, 9, 31], [13, 8, 30, 28]]
[[29, 26, 30], [6, 22, 10], [8, 15, 24], [0, 3, 11], [31, 19, 16], [21, 25, 9], [14, 13, 1], [7, 23, 27], [4, 20, 18, 17], [5, 12, 2, 28]]
[[23, 20, 0], [24, 21, 14], [17, 30, 3], [19, 25, 31], [16, 4, 26], [10, 13, 1], [6, 5, 27], [8, 15, 28], [7, 29, 9, 11], [2, 18, 22, 12]]
[[27, 7, 31], [1, 29, 20], [10, 25, 2], [6, 4, 22], [11, 8, 21], [30, 9, 16], [3, 26, 0], [12, 13, 24], [14, 15, 18, 19], [23, 17, 28, 5]]
[[4, 0, 11], [23, 2, 13], [26, 14, 17], [10, 30, 18], [1, 8, 5], [9, 28, 20], [27, 3, 25], [29, 6, 24], [31, 12, 21, 22], [16, 15, 7, 19]]
[[31, 20, 12], [9, 3, 28], [4, 5, 17], [14, 7, 0], [23, 25, 21], [6, 11, 24], [29, 15, 22], [27, 26, 2], [18, 16, 30, 13], [19, 8, 10, 1]]
[[3, 8, 16], [27, 6, 13], [2, 21, 25], [22, 1, 15], [19, 7, 0], [18, 29, 28], [10, 9, 12], [17, 26, 4], [14, 20, 11, 23], [5, 31, 30, 24]]
[[29, 16, 11], [3, 0, 7], [25, 6, 2], [27, 13, 4], [31, 15, 14], [12, 28, 8], [5, 30, 26], [24, 10, 21], [20, 1, 18, 22], [9, 17, 23, 19]]
[[1, 24, 0], [4, 6, 3], [29, 26, 8], [13, 21, 18], [30, 17, 22], [16, 7, 5], [31, 11, 15], [12, 2, 19], [23, 10, 9, 20], [28, 25, 14, 27]]
[[10, 21, 8], [18, 12, 16], [3, 20, 15], [9, 28, 22], [27, 31, 14], [11, 23, 5], [1, 4, 25], [6, 29, 19], [17, 0, 7, 2], [30, 24, 26, 13]]
[[24, 31, 10], [13, 12, 7], [25, 11, 9], [29, 30, 3], [16, 0, 4], [15, 22, 6], [14, 2, 28], [19, 17, 26], [27, 8, 18, 5], [20, 23, 1, 21]]
[[29, 28, 7], [6, 4, 22], [8, 14, 2], [31, 1, 18], [17, 13, 3], [21, 20, 25], [10, 19, 9], [27, 12, 15], [16, 30, 23, 11], [24, 5, 0, 26]]
[[6, 27, 10], [12, 18, 7], [2, 15, 17], [23, 29, 1], [28, 11, 30], [20, 13, 0], [3, 19, 25], [16, 22, 8], [31, 5, 9, 4], [14, 21, 26, 24]]
[[27, 14, 25], [6, 12, 13], [23, 4, 17], [3, 2, 9], [7, 30, 20], [24, 21, 15], [16, 19, 8], [28, 0, 5], [11, 10, 26, 22], [1, 31, 18, 29]]
[[9, 22, 18], [25, 17, 0], [29, 26, 14], [6, 27, 10], [2, 16, 4], [11, 28, 15], [19, 1, 5], [31, 7, 21], [23, 13, 30, 20], [24, 8, 12, 3]]
[[7, 4, 18], [0, 29, 23], [26, 9, 25], [14, 17, 5], [30, 3, 28], [27, 12, 21], [22, 10, 13], [19, 31, 24], [2, 16, 1, 15], [6, 11, 8, 20]]
[[29, 1, 6], [21, 3, 17], [4, 7, 10], [19, 20, 31], [28, 2, 30], [25, 24, 16], [22, 13, 9], [23, 27, 11], [15, 12, 8, 0], [5, 14, 26, 18]]
[[27, 7, 28], [29, 14, 10], [11, 9, 18], [12, 6, 2], [30, 8, 15], [1, 22, 16], [13, 31, 0], [17, 24, 21], [20, 19, 26, 3], [25, 4, 23, 5]]
[[19, 23, 12], [26, 13, 7], [18, 8, 17], [0, 27, 30], [4, 10, 21], [24, 3, 9], [25, 28, 6], [16, 15, 31], [5, 20, 29, 22], [14, 2, 1, 11]]
[[28, 25, 1], [12, 10, 14], [31, 22, 9], [4, 7, 3], [21, 23, 19], [29, 24, 26], [11, 16, 17], [13, 2, 20], [8, 5, 6, 27], [0, 30, 18, 15]]
