[[9, 32, 23], [35, 2, 16], [11, 1, 24], [36, 3, 5], [13, 7, 15], [26, 8, 27], [34, 25, 19], [4, 17, 33], [10, 21, 6], [22, 31, 0], [29, 28, 30], [18, 12, 20, 14]]
[[14, 5, 3], [22, 25, 28], [9, 23, 21], [2, 7, 19], [32, 6, 8], [26, 35, 11], [33, 4, 16], [15, 36, 18], [12, 20, 31], [0, 34, 27], [10, 13, 17], [1, 30, 29, 24]]
[[33, 14, 9], [0, 15, 29], [10, 5, 30], [1, 12, 36], [23, 34, 26], [31, 25, 13], [19, 8, 24], [27, 18, 4], [17, 2, 7], [20, 32, 28], [3, 16, 6], [35, 22, 21, 11]]
[[23, 13, 24], [30, 35, 34], [6, 4, 8], [1, 16, 36], [32, 9, 2], [10, 28, 11], [29, 17, 31], [27, 5, 0], [18, 21, 20], [3, 12, 22], [33, 26, 19], [15, 14, 25, 7]]
[[12, 7, 2], [3, 36, 29], [6, 25, 26], [4, 35, 11], [27, 24, 18], [15, 20, 5], [23, 1, 22], [0, 19, 10], [13, 32, 14], [8, 34, 16], [17, 28, 9], [21, 31, 33, 30]]
[[0, 2, 28], [8, 7, 27], [11, 31, 23], [13, 36, 10], [15, 21, 32], [35, 20, 34], [24, 4, 19], [33, 9, 26], [14, 25, 5], [12, 1, 3], [18, 16, 30], [6, 29, 17, 22]]
[[14, 4, 12], [16, 35, 34], [23, 7, 10], [36, 6, 25], [13, 2, 28], [30, 26, 21], [17, 11, 19], [3, 1, 8], [24, 15, 9], [5, 20, 31], [27, 29, 33], [18, 22, 32, 0]]
[[27, 24, 5], [29, 4, 35], [25, 32, 31], [10, 36, 3], [1, 6, 22], [12, 33, 13], [28, 2, 16], [8, 20, 19], [23, 0, 9], [34, 18, 30], [11, 21, 14], [17, 26, 15, 7]]
[[5, 4, 31], [26, 3, 29], [14, 22, 18], [9, 6, 34], [24, 7, 17], [36, 28, 27], [10, 11, 12], [15, 20, 30], [1, 35, 8], [19, 21, 16], [32, 2, 0], [13, 25, 33, 23]]
[[19, 13, 23], [31, 7, 24], [17, 32, 2], [5, 3, 35], [22, 29, 26], [30, 9, 33], [34, 16, 21], [11, 0, 14], [18, 15, 25], [36, 28, 6], [27, 12, 20], [4, 8, 10, 1]]
[[5, 25, 17], [14, 13, 35], [26, 2, 20], [27, 33, 1], [19, 24, 28], [3, 32, 12], [9, 34, 31], [16, 7, 11], [4, 22, 36], [6, 10, 23], [0, 18, 15], [21, 29, 30, 8]]
