[[8, 19, 26], [5, 18, 2], [3, 7, 20], [25, 28, 13], [24, 17, 1], [6, 27, 21], [12, 29, 14], [10, 23, 15], [4, 9, 0], [11, 22, 16]]
[[8, 28, 0], [22, 24, 3], [9, 14, 26], [23, 12, 27], [10, 18, 15], [11, 7, 20], [4, 1, 13], [25, 21, 16], [29, 2, 19], [17, 5, 6]]
[[6, 23, 29], [8, 15, 12], [13, 24, 21], [16, 25, 10], [5, 9, 20], [14, 1, 2], [18, 28, 27], [11, 7, 3], [26, 22, 17], [4, 0, 19]]
[[12, 21, 28], [5, 6, 16], [7, 15, 4], [25, 24, 14], [8, 10, 29], [13, 22, 0], [1, 11, 26], [18, 9, 3], [17, 27, 2], [20, 19, 23]]
[[9, 7, 0], [28, 1, 13], [6, 15, 2], [21, 24, 14], [4, 23, 25], [26, 5, 27], [20, 12, 8], [18, 16, 11], [19, 10, 22], [17, 29, 3]]
[[7, 23, 8], [0, 13, 28], [11, 19, 5], [17, 2, 3], [9, 20, 4], [16, 15, 12], [25, 14, 1], [24, 6, 18], [26, 21, 27], [22, 29, 10]]
[[14, 4, 5], [11, 21, 18], [8, 13, 12], [29, 17, 20], [1, 6, 27], [23, 2, 24], [7, 16, 9], [0, 3, 10], [26, 22, 25], [28, 15, 19]]
[[9, 20, 23], [11, 15, 26], [3, 22, 25], [17, 21, 13], [14, 28, 29], [19, 2, 18], [1, 10, 7], [27, 8, 6], [4, 0, 12], [24, 16, 5]]
[[25, 19, 8], [13, 16, 26], [3, 27, 18], [21, 24, 4], [20, 28, 7], [14, 10, 22], [15, 0, 2], [1, 12, 6], [11, 29, 23], [17, 9, 5]]
[[17, 29, 21], [10, 11, 14], [20, 4, 6], [19, 28, 7], [3, 25, 16], [13, 9, 23], [12, 15, 18], [22, 27, 0], [8, 24, 5], [1, 26, 2]]
[[24, 0, 13], [29, 11, 17], [8, 2, 6], [20, 12, 28], [14, 26, 1], [22, 10, 19], [27, 7, 4], [3, 21, 9], [18, 23, 25], [15, 5, 16]]
[[7, 4, 18], [14, 20, 29], [2, 12, 11], [15, 0, 17], [13, 27, 9], [5, 28, 3], [24, 23, 1], [19, 26, 22], [8, 25, 21], [10, 6, 16]]
[[17, 12, 15], [29, 3, 20], [6, 14, 4], [25, 13, 24], [7, 11, 23], [26, 1, 8], [0, 9, 10], [21, 16, 27], [28, 18, 5], [2, 19, 22]]
[[0, 5, 16], [22, 17, 26], [25, 12, 13], [29, 23, 20], [3, 10, 7], [1, 8, 21], [4, 14, 15], [2, 28, 18], [11, 6, 27], [9, 19, 24]]
[[10, 19, 11], [27, 26, 5], [9, 8, 21], [0, 14, 24], [22, 17, 29], [16, 25, 7], [1, 3, 23], [2, 12, 20], [13, 6, 18], [4, 15, 28]]
[[24, 12, 17], [1, 14, 0], [5, 18, 2], [3, 10, 19], [8, 16, 6], [7, 29, 23], [25, 20, 28], [26, 4, 21], [11, 22, 13], [9, 15, 27]]
[[18, 27, 16], [20, 5, 23], [26, 22, 14], [7, 29, 10], [24, 3, 4], [28, 15, 2], [6, 11, 21], [9, 1, 0], [19, 13, 25], [12, 17, 8]]
[[9, 8, 25], [22, 21, 0], [16, 18, 13], [4, 27, 28], [15, 12, 23], [20, 26, 29], [2, 24, 6], [14, 19, 1], [3, 10, 5], [17, 7, 11]]
[[21, 4, 29], [23, 19, 18], [5, 2, 16], [9, 27, 3], [7, 10, 6], [13, 12, 24], [15, 25, 28], [14, 22, 8], [0, 20, 17], [26, 11, 1]]
[[4, 25, 6], [19, 22, 18], [5, 0, 7], [11, 23, 16], [24, 26, 21], [1, 8, 28], [9, 27, 2], [15, 10, 17], [29, 20, 3], [12, 13, 14]]
[[24, 23, 27], [26, 21, 15], [14, 22, 10], [0, 12, 2], [25, 29, 17], [3, 18, 8], [19, 16, 1], [28, 11, 13], [6, 20, 4], [9, 7, 5]]
[[0, 24, 22], [29, 20, 18], [14, 23, 8], [13, 3, 27], [19, 10, 12], [1, 9, 2], [25, 7, 11], [17, 28, 5], [15, 6, 4], [16, 26, 21]]
[[14, 25, 6], [29, 27, 5], [26, 8, 28], [10, 2, 4], [16, 22, 0], [9, 17, 20], [13, 15, 12], [21, 7, 1], [24, 18, 23], [11, 19, 3]]
[[18, 10, 13], [7, 24, 0], [16, 5, 22], [2, 14, 8], [11, 12, 9], [28, 27, 23], [20, 15, 4], [26, 3, 21], [17, 29, 6], [19, 25, 1]]
[[15, 4, 16], [17, 14, 28], [5, 25, 27], [0, 9, 10], [13, 24, 1], [6, 7, 8], [23, 26, 29], [18, 22, 3], [12, 11, 2], [21, 19, 20]]
[[2, 27, 29], [8, 24, 17], [15, 23, 4], [3, 6, 20], [7, 5, 21], [10, 9, 11], [19, 1, 13], [22, 18, 28], [14, 0, 12], [26, 25, 16]]
[[16, 12, 27], [17, 18, 20], [11, 0, 13], [28, 5, 1], [22, 2, 25], [23, 3, 19], [8, 26, 21], [9, 29, 7], [4, 14, 10], [6, 15, 24]]
[[14, 19, 9], [17, 25, 23], [27, 18, 7], [13, 0, 20], [6, 24, 29], [3, 28, 21], [4, 15, 8], [2, 1, 12], [16, 26, 5], [11, 22, 10]]
[[1, 21, 13], [14, 17, 23], [16, 11, 2], [25, 4, 29], [27, 18, 0], [24, 5, 3], [8, 20, 15], [6, 9, 22], [7, 26, 12], [19, 10, 28]]
[[29, 15, 7], [11, 26, 20], [6, 9, 22], [8, 23, 24], [28, 17, 27], [21, 0, 16], [2, 12, 19], [5, 18, 1], [25, 13, 3], [10, 14, 4]]
[[0, 12, 25], [10, 7, 24], [11, 26, 23], [13, 29, 22], [18, 2, 14], [28, 8, 9], [15, 16, 1], [5, 27, 17], [19, 4, 21], [3, 6, 20]]
[[23, 21, 9], [24, 0, 18], [16, 17, 10], [8, 22, 13], [14, 2, 1], [29, 5, 4], [3, 28, 20], [15, 27, 19], [11, 25, 12], [6, 26, 7]]
[[13, 0, 26], [23, 1, 12], [5, 7, 19], [27, 8, 25], [15, 21, 10], [4, 2, 28], [6, 16, 24], [9, 20, 17], [22, 29, 18], [14, 11, 3]]
[[15, 20, 10], [16, 0, 9], [7, 3, 21], [27, 6, 24], [14, 19, 18], [25, 26, 12], [11, 29, 28], [23, 4, 5], [22, 2, 8], [13, 1, 17]]
[[28, 7, 8], [9, 19, 25], [22, 13, 10], [21, 16, 24], [6, 14, 26], [12, 3, 29], [18, 4, 2], [15, 23, 27], [17, 0, 11], [20, 1, 5]]
[[28, 20, 13], [12, 26, 9], [4, 19, 0], [15, 8, 14], [21, 17, 3], [23, 18, 7], [10, 5, 25], [16, 1, 27], [6, 24, 29], [22, 2, 11]]
[[11, 3, 8], [24, 27, 16], [13, 20, 7], [22, 26, 0], [29, 17, 9], [19, 5, 18], [2, 10, 4], [14, 6, 23], [28, 21, 1], [25, 15, 12]]
[[8, 29, 28], [7, 25, 9], [23, 16, 2], [27, 18, 20], [13, 26, 1], [24, 4, 21], [15, 5, 0], [10, 19, 12], [14, 6, 17], [11, 3, 22]]
[[4, 29, 28], [2, 11, 24], [26, 13, 22], [7, 17, 5], [21, 3, 8], [19, 16, 9], [1, 14, 18], [10, 25, 0], [12, 23, 15], [6, 20, 27]]
[[7, 27, 1], [13, 28, 2], [20, 9, 24], [21, 16, 4], [6, 11, 12], [25, 5, 14], [10, 19, 15], [22, 18, 3], [0, 8, 29], [17, 26, 23]]
[[7, 29, 28], [14, 24, 23], [9, 4, 27], [20, 25, 0], [22, 3, 5], [16, 17, 21], [13, 26, 18], [19, 12, 1], [15, 8, 11], [10, 2, 6]]
[[5, 24, 7], [16, 20, 10], [21, 19, 14], [23, 1, 29], [22, 17, 13], [26, 12, 4], [6, 18, 9], [27, 3, 15], [8, 28, 25], [11, 2, 0]]
[[10, 20, 8], [5, 26, 19], [18, 12, 17], [7, 25, 21], [24, 9, 23], [29, 22, 14], [16, 2, 11], [6, 28, 3], [4, 13, 1], [27, 15, 0]]
[[19, 21, 24], [7, 20, 6], [25, 10, 12], [0, 26, 2], [8, 18, 9], [11, 14, 23], [13, 15, 28], [27, 22, 3], [17, 1, 4], [16, 5, 29]]
[[1, 3, 24], [18, 29, 4], [10, 20, 13], [19, 15, 22], [23, 28, 2], [17, 16, 11], [8, 21, 12], [27, 14, 6], [7, 0, 5], [26, 9, 25]]
