[[22, 25, 37], [29, 2, 3], [27, 36, 15], [1, 7, 10], [20, 30, 24], [34, 35, 18], [33, 41, 43], [38, 8, 14], [5, 42, 40], [26, 6, 39], [17, 11, 12], [32, 0, 28], [19, 13, 4, 16], [21, 23, 9, 31]]
[[17, 29, 20], [33, 32, 23], [2, 43, 12], [18, 35, 40], [34, 39, 36], [24, 28, 26], [1, 25, 30], [41, 27, 9], [11, 7, 31], [42, 4, 38], [21, 22, 14], [5, 19, 6], [13, 0, 8, 37], [15, 10, 3, 16]]
[[7, 34, 9], [36, 26, 15], [39, 30, 17], [18, 10, 19], [38, 35, 16], [31, 1, 29], [25, 22, 4], [32, 41, 6], [27, 11, 28], [43, 8, 3], [2, 13, 24], [0, 14, 5], [40, 37, 23, 42], [33, 12, 20, 21]]
[[24, 39, 43], [19, 36, 25], [31, 0, 9], [8, 15, 32], [26, 2, 41], [12, 29, 22], [17, 1, 37], [7, 4, 5], [38, 27, 40], [14, 18, 35], [30, 23, 13], [11, 20, 42], [33, 28, 6, 10], [34, 21, 16, 3]]
[[20, 37, 13], [12, 40, 42], [35, 8, 28], [21, 39, 23], [9, 16, 1], [4, 36, 3], [19, 30, 32], [10, 31, 2], [22, 25, 33], [43, 26, 27], [11, 29, 24], [0, 17, 41], [15, 5, 38, 18], [34, 6, 7, 14]]
[[38, 21, 34], [15, 26, 42], [3, 12, 11], [30, 20, 13], [14, 27, 9], [4, 36, 10], [2, 16, 19], [24, 41, 33], [7, 31, 37], [18, 1, 35], [28, 29, 0], [22, 43, 25], [32, 40, 6, 17], [8, 23, 5, 39]]
[[17, 23, 3], [32, 33, 30], [21, 31, 12], [40, 10, 28], [20, 2, 19], [34, 24, 5], [36, 27, 13], [1, 26, 16], [29, 4, 14], [35, 0, 9], [41, 11, 6], [39, 15, 38], [22, 37, 43, 18], [42, 8, 25, 7]]
[[27, 33, 4], [7, 16, 36], [9, 25, 28], [26, 15, 39], [37, 10, 29], [35, 20, 43], [40, 30, 6], [0, 19, 32], [38, 14, 5], [3, 31, 21], [17, 41, 42], [24, 18, 2], [11, 8, 1, 12], [23, 13, 22, 34]]
[[14, 21, 38], [19, 39, 5], [10, 37, 17], [8, 29, 28], [1, 43, 42], [16, 20, 33], [22, 11, 36], [24, 2, 23], [35, 3, 40], [13, 12, 6], [7, 15, 4], [0, 27, 41], [31, 9, 32, 34], [26, 25, 30, 18]]
[[36, 38, 13], [6, 23, 2], [26, 8, 19], [5, 3, 25], [33, 21, 41], [32, 28, 43], [27, 29, 17], [0, 24, 16], [9, 35, 37], [34, 20, 11], [30, 7, 10], [40, 31, 42], [1, 18, 4, 15], [22, 39, 12, 14]]
[[4, 34, 0], [6, 15, 33], [23, 5, 30], [27, 28, 7], [14, 35, 2], [31, 36, 29], [39, 40, 20], [3, 26, 8], [21, 24, 16], [41, 1, 37], [25, 38, 32], [19, 10, 43], [42, 11, 12, 9], [17, 22, 18, 13]]
