[[2, 31, 23], [18, 21, 37], [7, 19, 12], [0, 14, 34], [4, 1, 24], [22, 29, 27], [28, 15, 25], [35, 6, 26], [5, 32, 39], [20, 8, 13], [36, 9, 41], [11, 10, 16], [42, 40, 3], [17, 33, 30, 38]]
[[33, 35, 7], [28, 40, 42], [41, 39, 22], [4, 14, 9], [3, 25, 24], [21, 13, 30], [26, 29, 36], [17, 12, 34], [37, 6, 20], [27, 23, 16], [1, 5, 11], [15, 0, 8], [19, 2, 18], [31, 32, 38, 10]]
[[4, 5, 28], [34, 9, 11], [3, 36, 6], [18, 21, 30], [16, 38, 15], [1, 0, 24], [42, 35, 12], [22, 26, 14], [23, 25, 2], [20, 8, 27], [31, 40, 7], [39, 37, 19], [13, 29, 17], [32, 33, 41, 10]]
[[39, 21, 42], [37, 7, 17], [8, 14, 26], [25, 40, 18], [28, 11, 6], [31, 20, 19], [29, 13, 4], [1, 3, 5], [16, 36, 22], [23, 9, 27], [41, 10, 38], [0, 35, 33], [24, 15, 2], [30, 12, 32, 34]]
[[21, 31, 25], [5, 15, 0], [9, 17, 42], [30, 35, 37], [40, 4, 1], [34, 14, 18], [11, 10, 6], [19, 28, 32], [39, 7, 24], [3, 27, 12], [20, 22, 38], [36, 29, 33], [41, 23, 2], [8, 26, 16, 13]]
[[37, 22, 11], [4, 16, 32], [12, 24, 7], [8, 13, 20], [30, 0, 5], [18, 33, 25], [23, 35, 38], [1, 36, 9], [39, 19, 29], [41, 10, 42], [31, 21, 34], [27, 2, 14], [40, 17, 3], [15, 26, 28, 6]]
[[41, 37, 5], [10, 4, 23], [30, 27, 9], [20, 42, 3], [24, 40, 39], [33, 36, 28], [35, 38, 0], [18, 32, 7], [22, 14, 26], [8, 11, 1], [25, 21, 6], [13, 16, 12], [29, 34, 19], [15, 31, 17, 2]]
[[13, 33, 37], [2, 24, 42], [31, 41, 19], [38, 39, 36], [34, 8, 35], [20, 12, 9], [32, 4, 23], [22, 17, 10], [14, 6, 16], [3, 15, 5], [28, 18, 11], [25, 29, 21], [40, 30, 26], [0, 27, 7, 1]]
[[35, 22, 13], [24, 25, 26], [39, 8, 42], [2, 30, 17], [19, 18, 7], [16, 21, 10], [14, 38, 28], [1, 27, 31], [41, 33, 37], [34, 29, 23], [15, 36, 40], [3, 20, 6], [5, 12, 11], [9, 32, 0, 4]]
[[22, 23, 13], [18, 3, 2], [8, 0, 9], [14, 41, 21], [25, 33, 40], [26, 36, 19], [16, 31, 27], [38, 28, 6], [20, 12, 37], [24, 4, 39], [17, 10, 34], [32, 35, 1], [30, 15, 11], [29, 42, 5, 7]]
[[28, 4, 0], [6, 24, 18], [26, 16, 41], [31, 3, 34], [33, 5, 12], [2, 30, 40], [7, 11, 42], [29, 37, 1], [27, 32, 39], [17, 9, 35], [15, 8, 13], [21, 20, 38], [14, 22, 19], [36, 10, 23, 25]]
[[37, 40, 0], [11, 28, 33], [36, 24, 19], [22, 31, 4], [27, 17, 15], [12, 18, 10], [14, 1, 16], [29, 20, 7], [42, 9, 13], [34, 8, 35], [3, 21, 26], [32, 25, 6], [39, 30, 38], [41, 2, 23, 5]]
[[20, 4, 21], [19, 36, 42], [2, 28, 3], [12, 26, 7], [32, 27, 8], [0, 41, 22], [25, 10, 17], [1, 18, 39], [13, 11, 24], [23, 14, 37], [35, 40, 5], [33, 29, 30], [34, 9, 6], [16, 38, 15, 31]]
[[5, 34, 9], [24, 26, 39], [7, 13, 6], [17, 28, 0], [41, 32, 23], [38, 31, 2], [8, 12, 22], [1, 40, 18], [11, 10, 27], [3, 35, 4], [14, 19, 29], [16, 30, 21], [25, 36, 20], [37, 42, 15, 33]]
[[0, 23, 33], [17, 41, 1], [3, 24, 26], [2, 16, 18], [42, 29, 9], [10, 37, 5], [32, 7, 13], [12, 31, 39], [20, 15, 28], [27, 8, 19], [21, 35, 40], [25, 30, 38], [22, 14, 34], [6, 36, 4, 11]]
[[36, 16, 28], [22, 15, 29], [41, 38, 24], [4, 11, 5], [39, 13, 27], [34, 9, 17], [33, 40, 25], [26, 6, 0], [7, 2, 37], [42, 30, 31], [1, 18, 32], [12, 20, 8], [3, 19, 14], [10, 21, 35, 23]]
[[13, 2, 5], [8, 14, 30], [38, 11, 10], [32, 4, 33], [6, 7, 20], [15, 42, 31], [19, 35, 40], [21, 24, 23], [36, 16, 0], [25, 41, 37], [3, 17, 22], [9, 39, 26], [29, 34, 18], [27, 28, 12, 1]]
[[30, 17, 15], [9, 25, 21], [35, 26, 11], [38, 40, 1], [7, 0, 39], [4, 34, 19], [5, 14, 24], [22, 6, 18], [42, 2, 29], [41, 20, 27], [32, 31, 23], [16, 3, 36], [12, 10, 13], [8, 33, 28, 37]]
[[31, 42, 14], [25, 19, 37], [0, 12, 28], [22, 36, 27], [2, 38, 18], [29, 34, 5], [8, 24, 6], [17, 7, 26], [41, 40, 32], [20, 3, 11], [9, 10, 13], [39, 30, 23], [15, 33, 35], [4, 16, 21, 1]]
[[10, 42, 28], [26, 12, 31], [32, 14, 29], [11, 2, 6], [41, 21, 39], [16, 18, 37], [4, 3, 13], [25, 34, 35], [27, 24, 15], [0, 8, 30], [38, 22, 9], [1, 40, 33], [20, 17, 19], [36, 23, 7, 5]]
[[11, 26, 42], [37, 36, 12], [25, 7, 3], [24, 15, 1], [41, 14, 16], [35, 21, 6], [4, 17, 31], [18, 2, 29], [39, 33, 8], [20, 40, 0], [19, 34, 10], [27, 13, 23], [28, 38, 5], [22, 30, 9, 32]]
[[17, 10, 7], [34, 19, 21], [4, 12, 22], [41, 9, 25], [28, 2, 35], [26, 38, 33], [39, 20, 27], [32, 29, 16], [40, 0, 42], [3, 37, 36], [8, 1, 11], [6, 5, 14], [24, 30, 13], [23, 31, 15, 18]]
[[5, 21, 38], [15, 24, 16], [29, 9, 10], [37, 34, 13], [14, 33, 17], [1, 26, 42], [12, 28, 36], [41, 2, 22], [0, 32, 18], [39, 4, 3], [6, 35, 30], [19, 25, 23], [8, 27, 31], [7, 11, 40, 20]]
[[5, 27, 28], [26, 4, 1], [42, 10, 15], [31, 25, 7], [21, 17, 23], [32, 2, 36], [9, 6, 30], [41, 3, 13], [19, 39, 40], [22, 18, 24], [16, 29, 34], [38, 33, 14], [0, 20, 37], [11, 8, 35, 12]]
[[38, 31, 16], [37, 42, 0], [26, 23, 11], [19, 40, 17], [20, 13, 14], [35, 12, 22], [29, 36, 41], [3, 34, 7], [6, 8, 27], [39, 32, 28], [9, 1, 24], [4, 25, 15], [21, 10, 5], [33, 18, 30, 2]]
[[26, 17, 37], [25, 7, 28], [38, 16, 19], [35, 3, 12], [39, 4, 24], [30, 1, 27], [29, 31, 18], [32, 9, 34], [14, 0, 36], [15, 6, 22], [5, 42, 41], [21, 2, 10], [11, 8, 23], [20, 40, 13, 33]]
[[37, 8, 15], [13, 26, 22], [10, 24, 12], [25, 41, 36], [40, 31, 0], [1, 6, 27], [11, 18, 3], [23, 28, 32], [39, 20, 19], [29, 30, 14], [4, 9, 21], [35, 42, 16], [38, 5, 33], [2, 17, 7, 34]]
[[29, 12, 2], [19, 31, 38], [15, 16, 17], [8, 6, 7], [33, 11, 3], [18, 5, 22], [20, 13, 10], [28, 35, 21], [14, 37, 34], [25, 1, 39], [40, 26, 4], [32, 27, 9], [41, 0, 42], [23, 36, 30, 24]]
[[6, 27, 36], [39, 15, 41], [18, 22, 31], [42, 35, 7], [20, 12, 5], [33, 25, 32], [14, 16, 23], [11, 26, 1], [30, 17, 19], [4, 29, 34], [13, 0, 2], [40, 9, 10], [21, 3, 24], [28, 38, 37, 8]]
[[3, 37, 28], [5, 8, 27], [0, 42, 22], [10, 9, 29], [41, 16, 18], [35, 12, 14], [19, 7, 26], [13, 2, 30], [36, 4, 39], [34, 15, 32], [20, 21, 25], [17, 1, 38], [23, 31, 24], [6, 33, 11, 40]]
[[3, 21, 35], [27, 36, 5], [39, 10, 6], [12, 37, 41], [40, 13, 17], [1, 9, 23], [28, 22, 19], [26, 16, 33], [15, 8, 20], [25, 30, 31], [14, 7, 18], [0, 42, 38], [32, 34, 24], [11, 29, 4, 2]]
[[1, 29, 22], [39, 41, 16], [24, 5, 4], [15, 40, 36], [42, 8, 38], [34, 3, 0], [9, 35, 37], [17, 11, 19], [21, 2, 13], [31, 28, 10], [33, 6, 12], [30, 26, 20], [7, 27, 32], [25, 14, 23, 18]]
[[36, 16, 35], [39, 15, 6], [42, 31, 40], [27, 26, 37], [23, 2, 30], [41, 33, 21], [14, 18, 17], [1, 19, 22], [28, 25, 5], [34, 3, 7], [9, 4, 0], [32, 12, 29], [13, 8, 10], [20, 38, 11, 24]]
[[15, 31, 29], [11, 32, 34], [4, 35, 37], [20, 33, 12], [13, 19, 36], [28, 9, 42], [6, 7, 3], [5, 41, 23], [18, 39, 27], [16, 22, 17], [24, 10, 8], [38, 1, 2], [30, 21, 0], [25, 14, 26, 40]]
[[2, 17, 24], [5, 20, 14], [37, 15, 26], [33, 16, 4], [11, 3, 32], [36, 8, 42], [19, 41, 34], [25, 31, 18], [22, 40, 13], [29, 9, 35], [6, 28, 39], [0, 21, 10], [1, 27, 23], [7, 38, 30, 12]]
[[16, 3, 17], [24, 13, 22], [12, 10, 5], [18, 38, 8], [28, 6, 0], [33, 2, 40], [29, 1, 37], [23, 41, 25], [26, 15, 30], [11, 21, 39], [31, 36, 9], [27, 20, 35], [32, 34, 7], [4, 14, 19, 42]]
[[33, 27, 10], [32, 12, 20], [9, 29, 21], [16, 6, 17], [31, 19, 42], [3, 1, 37], [40, 25, 35], [5, 2, 15], [30, 28, 18], [39, 0, 41], [14, 4, 38], [22, 23, 26], [11, 8, 36], [13, 34, 24, 7]]
[[15, 13, 5], [9, 40, 34], [30, 23, 16], [37, 8, 22], [0, 33, 31], [41, 21, 3], [32, 39, 20], [36, 1, 26], [28, 42, 10], [7, 12, 19], [24, 17, 6], [25, 14, 2], [38, 27, 29], [35, 11, 18, 4]]
[[16, 23, 21], [0, 5, 39], [34, 22, 26], [1, 20, 36], [9, 30, 2], [11, 29, 14], [25, 12, 37], [6, 3, 7], [10, 8, 28], [40, 24, 27], [42, 35, 33], [41, 4, 32], [17, 19, 38], [31, 13, 15, 18]]
[[24, 26, 15], [4, 3, 12], [41, 22, 14], [6, 11, 38], [7, 42, 31], [16, 8, 35], [28, 17, 34], [20, 21, 1], [27, 37, 13], [32, 30, 5], [23, 40, 9], [19, 33, 18], [25, 39, 29], [36, 10, 2, 0]]
