[[39, 19, 27], [12, 20, 43], [36, 32, 38], [33, 1, 13], [28, 10, 15], [44, 22, 31], [16, 3, 42], [37, 46, 21], [29, 0, 9], [30, 25, 5], [26, 6, 41], [40, 8, 7], [34, 2, 35], [23, 18, 4, 45], [14, 17, 24, 11]]
[[22, 44, 15], [31, 1, 18], [19, 7, 39], [29, 11, 37], [9, 32, 24], [26, 34, 3], [33, 20, 30], [45, 0, 43], [17, 38, 25], [42, 4, 21], [13, 12, 16], [28, 10, 23], [46, 5, 35], [6, 36, 14, 40], [27, 2, 8, 41]]
[[38, 5, 22], [34, 32, 17], [10, 31, 2], [11, 26, 4], [8, 12, 20], [19, 1, 6], [44, 46, 28], [25, 0, 15], [40, 37, 23], [41, 3, 16], [39, 18, 43], [33, 35, 27], [45, 30, 24], [29, 21, 42, 36], [9, 14, 13, 7]]
[[27, 20, 19], [21, 16, 5], [30, 33, 18], [17, 34, 22], [2, 45, 25], [0, 28, 23], [4, 26, 39], [7, 10, 13], [36, 24, 41], [29, 9, 11], [14, 15, 31], [6, 46, 38], [8, 35, 32], [37, 12, 40, 44], [3, 43, 42, 1]]
[[14, 0, 36], [11, 29, 31], [45, 17, 25], [35, 16, 13], [10, 20, 26], [22, 43, 40], [2, 41, 30], [7, 15, 37], [5, 24, 8], [44, 18, 1], [9, 23, 46], [21, 42, 33], [19, 28, 3], [39, 12, 38, 34], [6, 4, 32, 27]]
[[8, 28, 6], [7, 38, 30], [29, 5, 0], [33, 32, 1], [26, 44, 4], [20, 42, 13], [45, 25, 37], [43, 40, 15], [18, 27, 39], [3, 22, 10], [19, 17, 23], [12, 14, 21], [31, 9, 46], [36, 24, 11, 34], [2, 41, 16, 35]]
[[39, 14, 46], [10, 24, 34], [36, 12, 23], [8, 11, 45], [7, 3, 0], [5, 18, 22], [2, 41, 9], [4, 27, 15], [30, 25, 42], [19, 28, 29], [20, 37, 40], [26, 32, 6], [21, 43, 35], [13, 31, 16, 1], [44, 33, 38, 17]]
[[25, 31, 1], [16, 19, 29], [21, 14, 7], [46, 0, 34], [42, 39, 23], [13, 44, 20], [33, 36, 24], [4, 17, 32], [5, 2, 38], [3, 40, 26], [22, 45, 18], [11, 37, 27], [35, 12, 9], [28, 6, 30, 8], [10, 15, 41, 43]]
[[2, 29, 38], [37, 6, 14], [32, 22, 35], [30, 28, 46], [21, 17, 13], [42, 36, 3], [27, 10, 19], [18, 25, 11], [26, 41, 31], [40, 43, 20], [4, 1, 16], [9, 23, 34], [24, 8, 12], [44, 15, 45, 7], [0, 39, 33, 5]]
[[5, 23, 12], [39, 11, 35], [6, 1, 26], [15, 25, 0], [22, 31, 17], [44, 30, 4], [36, 34, 18], [46, 8, 28], [16, 10, 33], [20, 41, 3], [37, 9, 45], [24, 40, 13], [21, 32, 29], [38, 19, 7, 43], [42, 2, 27, 14]]
[[26, 40, 5], [29, 10, 18], [4, 37, 6], [34, 19, 2], [30, 1, 3], [44, 45, 38], [20, 9, 0], [31, 16, 36], [11, 35, 27], [7, 43, 28], [13, 12, 39], [25, 41, 23], [8, 24, 46], [22, 33, 21, 32], [17, 14, 15, 42]]
