[[8, 31, 19], [32, 7, 2], [3, 18, 5], [33, 30, 26], [22, 10, 29], [6, 20, 21], [4, 17, 9], [1, 13, 0], [23, 28, 11], [12, 14, 24, 25], [34, 16, 27, 15]]
[[15, 21, 13], [34, 9, 27], [11, 3, 22], [19, 32, 26], [12, 7, 20], [24, 29, 1], [8, 14, 18], [30, 31, 6], [23, 33, 28], [16, 5, 0, 17], [2, 4, 10, 25]]
[[31, 21, 2], [25, 32, 5], [4, 14, 29], [20, 10, 9], [27, 28, 24], [30, 33, 16], [8, 1, 34], [7, 15, 22], [23, 17, 26], [0, 3, 19, 13], [18, 11, 6, 12]]
[[12, 11, 2], [22, 3, 24], [14, 1, 4], [23, 31, 21], [34, 20, 0], [10, 17, 16], [19, 18, 13], [5, 29, 30], [8, 32, 27], [6, 9, 26, 7], [25, 15, 28, 33]]
[[19, 27, 30], [20, 31, 2], [15, 25, 33], [5, 0, 4], [29, 16, 8], [24, 11, 6], [3, 1, 21], [12, 23, 28], [9, 26, 14], [10, 7, 18, 34], [17, 22, 32, 13]]
[[27, 25, 30], [33, 7, 3], [8, 11, 12], [32, 15, 14], [17, 29, 24], [5, 10, 19], [28, 9, 13], [0, 4, 18], [6, 20, 21], [34, 23, 31, 1], [22, 16, 26, 2]]
[[1, 8, 15], [4, 18, 10], [26, 28, 7], [31, 2, 20], [32, 29, 14], [30, 21, 17], [16, 19, 0], [9, 13, 22], [34, 25, 3], [11, 12, 5, 33], [6, 23, 27, 24]]
[[27, 23, 22], [26, 15, 18], [21, 1, 12], [13, 28, 24], [8, 11, 0], [33, 31, 30], [14, 4, 20], [2, 17, 19], [7, 9, 25], [3, 5, 29, 10], [6, 32, 34, 16]]
[[8, 1, 6], [25, 13, 33], [18, 23, 9], [26, 27, 2], [32, 24, 28], [11, 29, 7], [5, 21, 30], [3, 16, 0], [4, 20, 14], [22, 15, 31, 12], [10, 17, 19, 34]]
[[21, 20, 19], [30, 9, 2], [15, 31, 5], [6, 32, 23], [34, 28, 8], [10, 26, 4], [7, 24, 16], [33, 22, 11], [13, 27, 0], [29, 18, 14, 3], [25, 17, 12, 1]]
[[11, 1, 13], [12, 21, 19], [5, 23, 9], [33, 30, 17], [8, 20, 3], [29, 32, 31], [25, 27, 2], [10, 24, 4], [34, 7, 16], [6, 22, 28, 14], [15, 18, 0, 26]]
[[20, 19, 4], [1, 10, 16], [34, 29, 15], [24, 28, 27], [17, 14, 7], [33, 12, 0], [5, 3, 8], [31, 22, 18], [9, 23, 32], [21, 2, 25, 13], [11, 30, 26, 6]]
[[8, 16, 15], [7, 13, 12], [11, 2, 24], [4, 17, 31], [18, 33, 25], [1, 26, 27], [29, 10, 20], [6, 9, 30], [5, 14, 21], [28, 19, 32, 34], [3, 22, 0, 23]]
[[18, 28, 15], [11, 19, 12], [4, 2, 10], [25, 0, 21], [16, 33, 31], [14, 24, 29], [9, 20, 26], [23, 5, 6], [13, 17, 30], [7, 27, 32, 3], [22, 1, 8, 34]]
[[27, 3, 5], [15, 19, 1], [31, 21, 9], [8, 12, 17], [32, 20, 14], [25, 11, 30], [16, 2, 0], [6, 34, 7], [33, 10, 22], [4, 24, 18, 26], [29, 13, 23, 28]]
[[27, 7, 13], [22, 28, 30], [8, 34, 4], [12, 1, 2], [29, 25, 0], [14, 32, 5], [26, 11, 33], [19, 18, 9], [3, 15, 20], [10, 17, 24, 16], [31, 6, 23, 21]]
[[17, 14, 1], [23, 15, 8], [21, 2, 13], [6, 18, 3], [19, 24, 11], [12, 16, 26], [25, 28, 10], [0, 34, 33], [30, 4, 27], [5, 20, 29, 9], [7, 32, 22, 31]]
[[10, 22, 23], [32, 11, 25], [9, 5, 13], [29, 21, 27], [7, 2, 18], [1, 20, 0], [24, 15, 34], [17, 33, 14], [26, 6, 8], [16, 19, 12, 28], [4, 3, 31, 30]]
[[1, 22, 32], [9, 24, 27], [16, 20, 8], [15, 18, 4], [0, 14, 26], [28, 6, 5], [11, 12, 29], [31, 25, 19], [30, 21, 33], [23, 10, 17, 13], [34, 2, 7, 3]]
[[24, 4, 8], [7, 14, 15], [5, 27, 25], [13, 33, 28], [34, 23, 31], [3, 18, 19], [22, 32, 10], [29, 1, 6], [21, 11, 12], [16, 9, 26, 0], [20, 2, 17, 30]]
[[11, 25, 33], [21, 27, 19], [22, 34, 30], [3, 28, 32], [17, 31, 23], [15, 24, 16], [5, 29, 10], [4, 18, 2], [7, 6, 14], [20, 9, 12, 0], [1, 8, 26, 13]]
