[[29, 11, 28], [18, 25, 23], [12, 26, 3], [10, 1, 16], [17, 4, 9], [6, 7, 19], [20, 27, 5], [15, 22, 2], [0, 13, 8], [14, 24, 21]]
[[13, 24, 17], [4, 20, 28], [23, 10, 25], [21, 8, 15], [29, 22, 6], [16, 2, 14], [3, 18, 5], [9, 1, 0], [11, 12, 27], [26, 19, 7]]
[[28, 14, 25], [12, 29, 13], [9, 21, 24], [20, 3, 10], [8, 5, 7], [22, 18, 26], [4, 0, 27], [11, 15, 16], [19, 23, 2], [17, 1, 6]]
[[9, 19, 20], [14, 16, 25], [13, 8, 5], [1, 27, 23], [24, 2, 6], [17, 26, 18], [10, 4, 29], [28, 21, 3], [7, 12, 11], [15, 22, 0]]
[[29, 13, 9], [7, 28, 17], [6, 18, 11], [3, 22, 10], [4, 8, 2], [23, 14, 15], [24, 0, 19], [16, 26, 1], [20, 27, 5], [12, 21, 25]]
[[8, 6, 26], [12, 14, 3], [16, 13, 1], [11, 5, 24], [28, 0, 23], [7, 17, 2], [18, 19, 22], [21, 10, 25], [27, 29, 15], [9, 4, 20]]
[[10, 5, 28], [9, 12, 24], [4, 17, 26], [2, 23, 0], [29, 20, 13], [11, 15, 3], [1, 16, 8], [19, 27, 22], [21, 25, 7], [18, 6, 14]]
[[17, 21, 24], [16, 15, 7], [18, 11, 27], [4, 19, 0], [10, 23, 28], [8, 29, 2], [14, 26, 22], [5, 25, 9], [1, 13, 3], [20, 12, 6]]
[[1, 27, 23], [21, 15, 13], [29, 0, 22], [10, 18, 16], [9, 25, 4], [2, 12, 8], [6, 24, 7], [28, 11, 19], [5, 3, 20], [26, 17, 14]]
[[25, 14, 9], [10, 15, 0], [27, 29, 23], [12, 3, 7], [24, 18, 8], [1, 4, 26], [16, 19, 17], [11, 20, 6], [28, 21, 5], [13, 22, 2]]
[[3, 29, 5], [8, 7, 20], [9, 22, 17], [26, 2, 13], [21, 25, 10], [12, 18, 11], [4, 15, 23], [27, 6, 14], [16, 24, 19], [1, 0, 28]]
[[21, 19, 23], [1, 26, 2], [22, 9, 14], [27, 0, 28], [29, 4, 3], [20, 17, 7], [8, 6, 24], [5, 13, 15], [12, 11, 16], [25, 10, 18]]
[[13, 25, 16], [6, 11, 22], [15, 3, 8], [24, 29, 9], [0, 17, 14], [1, 20, 4], [2, 7, 27], [28, 10, 18], [5, 26, 12], [23, 21, 19]]
