[[4, 22, 15], [17, 18, 8], [6, 9, 5], [0, 14, 23], [3, 21, 19], [10, 1, 25], [7, 24, 28], [27, 20, 31], [26, 29, 16], [11, 2, 13], [12, 32, 30]]
[[12, 1, 0], [30, 3, 21], [18, 14, 9], [22, 13, 19], [25, 29, 11], [28, 6, 8], [16, 20, 7], [24, 10, 32], [27, 17, 26], [5, 23, 2], [4, 31, 15]]
[[30, 12, 27], [20, 5, 32], [22, 17, 7], [4, 21, 9], [18, 1, 31], [24, 23, 16], [14, 2, 25], [15, 8, 11], [28, 10, 19], [6, 29, 26], [13, 3, 0]]
[[2, 20, 17], [27, 14, 5], [0, 29, 18], [25, 31, 6], [8, 7, 30], [22, 1, 3], [21, 19, 28], [15, 32, 11], [24, 16, 23], [26, 10, 4], [12, 9, 13]]
[[26, 18, 4], [1, 11, 19], [9, 5, 0], [24, 30, 20], [7, 25, 2], [21, 28, 22], [27, 31, 32], [16, 23, 6], [10, 15, 8], [12, 17, 29], [13, 3, 14]]
[[9, 15, 20], [29, 27, 24], [11, 4, 23], [26, 28, 17], [0, 16, 13], [22, 14, 32], [30, 7, 8], [18, 5, 3], [19, 10, 21], [1, 31, 12], [6, 25, 2]]
[[16, 1, 21], [22, 17, 18], [11, 9, 12], [13, 10, 20], [5, 7, 31], [4, 19, 8], [29, 24, 0], [15, 3, 14], [32, 30, 25], [27, 2, 28], [26, 23, 6]]
[[22, 4, 14], [32, 29, 3], [5, 16, 12], [1, 31, 11], [27, 10, 0], [30, 2, 25], [15, 9, 8], [24, 23, 20], [7, 6, 17], [26, 28, 13], [19, 18, 21]]
[[17, 3, 22], [0, 6, 23], [27, 8, 12], [24, 7, 31], [16, 30, 20], [11, 10, 25], [9, 32, 14], [13, 15, 21], [19, 4, 28], [5, 18, 2], [29, 1, 26]]
[[21, 16, 26], [31, 3, 6], [25, 2, 18], [1, 9, 10], [19, 28, 32], [7, 12, 8], [29, 17, 13], [14, 11, 23], [20, 22, 27], [30, 24, 4], [15, 5, 0]]
[[16, 10, 28], [8, 29, 18], [11, 27, 9], [22, 24, 7], [30, 26, 31], [6, 19, 20], [13, 3, 25], [1, 5, 32], [12, 21, 4], [14, 0, 23], [15, 17, 2]]
[[14, 15, 6], [16, 24, 1], [29, 21, 19], [7, 11, 5], [22, 32, 2], [0, 27, 20], [18, 3, 30], [28, 13, 4], [10, 12, 9], [8, 31, 26], [25, 23, 17]]
