[[28, 26, 20], [24, 11, 22], [16, 10, 17], [4, 14, 6], [8, 5, 18], [1, 3, 29], [15, 21, 30], [12, 9, 2], [23, 27, 0], [7, 13, 25, 19]]
[[26, 4, 23], [29, 12, 10], [1, 28, 22], [17, 11, 7], [24, 8, 15], [25, 16, 14], [27, 18, 0], [13, 30, 5], [9, 19, 6], [20, 21, 2, 3]]
[[30, 17, 0], [9, 20, 15], [26, 18, 6], [5, 13, 4], [14, 29, 2], [7, 1, 24], [11, 23, 8], [21, 12, 16], [10, 27, 28], [19, 25, 22, 3]]
[[12, 14, 18], [1, 11, 25], [3, 8, 0], [6, 17, 4], [5, 24, 10], [7, 23, 27], [22, 13, 30], [9, 29, 26], [16, 15, 20], [21, 28, 19, 2]]
[[25, 29, 19], [5, 22, 11], [6, 24, 4], [9, 20, 28], [14, 18, 1], [30, 26, 23], [17, 12, 3], [16, 15, 2], [8, 13, 10], [21, 27, 7, 0]]
[[21, 1, 10], [12, 28, 20], [5, 23, 2], [27, 0, 9], [29, 6, 11], [22, 4, 18], [25, 13, 19], [8, 26, 7], [24, 14, 30], [16, 3, 15, 17]]
[[8, 25, 9], [0, 12, 18], [4, 5, 13], [23, 16, 27], [1, 26, 6], [10, 22, 2], [20, 30, 28], [29, 14, 7], [15, 17, 24], [11, 3, 19, 21]]
[[11, 0, 24], [4, 13, 9], [23, 7, 22], [26, 30, 19], [27, 12, 18], [1, 15, 16], [21, 5, 6], [8, 20, 28], [2, 17, 29], [14, 10, 3, 25]]
[[11, 2, 26], [28, 25, 12], [16, 4, 18], [3, 19, 1], [27, 13, 30], [21, 10, 24], [14, 8, 5], [29, 22, 15], [9, 7, 6], [20, 17, 0, 23]]
[[1, 29, 14], [26, 16, 6], [12, 9, 19], [3, 5, 8], [18, 15, 4], [22, 25, 0], [11, 20, 2], [17, 21, 7], [23, 27, 28], [10, 13, 24, 30]]
[[3, 23, 24], [7, 27, 1], [0, 8, 21], [19, 15, 5], [6, 2, 22], [26, 30, 13], [25, 16, 28], [20, 9, 10], [29, 11, 4], [14, 17, 18, 12]]
[[18, 11, 23], [9, 6, 7], [21, 27, 12], [15, 28, 24], [30, 26, 25], [17, 10, 2], [13, 0, 5], [22, 29, 14], [16, 1, 19], [20, 8, 3, 4]]
[[29, 11, 16], [26, 7, 14], [27, 23, 2], [1, 4, 18], [10, 28, 30], [0, 13, 17], [12, 25, 15], [20, 8, 9], [3, 21, 22], [19, 5, 24, 6]]
[[29, 9, 7], [20, 1, 2], [11, 14, 10], [23, 6, 28], [0, 15, 24], [13, 26, 30], [27, 3, 16], [17, 22, 8], [19, 25, 4], [12, 18, 5, 21]]
[[14, 25, 21], [22, 1, 4], [24, 8, 16], [20, 23, 10], [17, 3, 26], [19, 6, 15], [12, 29, 5], [27, 7, 28], [30, 11, 13], [2, 0, 18, 9]]
[[26, 10, 18], [23, 22, 15], [8, 27, 28], [20, 4, 25], [24, 7, 0], [13, 5, 17], [12, 2, 9], [19, 6, 16], [11, 3, 1], [30, 21, 14, 29]]
[[16, 5, 13], [7, 26, 28], [19, 12, 25], [9, 17, 10], [1, 18, 27], [3, 29, 4], [6, 23, 14], [24, 0, 15], [2, 8, 20], [30, 21, 22, 11]]
[[11, 16, 3], [28, 14, 2], [27, 10, 7], [26, 19, 8], [24, 18, 30], [5, 0, 25], [9, 6, 15], [17, 12, 1], [13, 22, 4], [23, 20, 21, 29]]
[[13, 4, 20], [18, 15, 22], [12, 11, 1], [5, 19, 27], [3, 17, 14], [16, 8, 0], [23, 6, 10], [24, 29, 2], [28, 9, 7], [30, 25, 26, 21]]
[[11, 27, 6], [30, 13, 18], [14, 25, 4], [16, 2, 7], [1, 10, 19], [9, 28, 15], [21, 20, 12], [8, 5, 23], [0, 26, 29], [3, 22, 24, 17]]
[[13, 26, 9], [10, 24, 1], [29, 17, 2], [16, 21, 3], [0, 6, 28], [5, 4, 23], [30, 25, 20], [14, 11, 18], [8, 27, 12], [19, 22, 15, 7]]
[[1, 28, 25], [22, 3, 19], [10, 7, 5], [15, 12, 24], [13, 2, 9], [6, 4, 16], [26, 21, 30], [29, 11, 23], [14, 17, 18], [0, 8, 27, 20]]
