[[26, 18, 19], [21, 6, 11], [20, 7, 1], [4, 5, 2], [8, 17, 16], [25, 23, 15], [9, 0, 3], [27, 13, 10], [24, 22, 14, 12]]
[[17, 22, 1], [19, 2, 5], [18, 9, 13], [4, 3, 11], [7, 23, 20], [12, 14, 26], [25, 16, 8], [10, 0, 15], [6, 27, 21, 24]]
[[8, 4, 21], [19, 6, 25], [27, 23, 14], [24, 15, 26], [7, 22, 2], [18, 3, 11], [13, 0, 20], [10, 9, 16], [17, 5, 1, 12]]
[[25, 22, 0], [6, 18, 13], [24, 5, 20], [9, 26, 23], [11, 4, 8], [16, 12, 14], [19, 7, 1], [2, 17, 10], [21, 27, 15, 3]]
[[15, 19, 11], [24, 14, 21], [5, 8, 13], [18, 17, 23], [1, 27, 4], [7, 0, 20], [26, 12, 6], [3, 2, 22], [10, 25, 9, 16]]
[[10, 18, 6], [7, 14, 20], [3, 5, 19], [4, 25, 12], [23, 0, 11], [13, 17, 2], [26, 16, 9], [8, 21, 24], [1, 15, 27, 22]]
[[13, 26, 21], [5, 11, 14], [17, 8, 4], [3, 10, 16], [24, 15, 27], [6, 25, 19], [23, 1, 7], [9, 18, 0], [2, 12, 22, 20]]
[[14, 11, 12], [2, 23, 24], [20, 21, 9], [16, 3, 1], [8, 25, 26], [10, 13, 18], [5, 17, 0], [22, 27, 4], [6, 15, 7, 19]]
[[12, 14, 11], [26, 24, 21], [0, 15, 27], [7, 19, 9], [17, 1, 18], [13, 23, 22], [16, 5, 4], [6, 25, 20], [2, 3, 10, 8]]
[[1, 19, 10], [7, 14, 18], [17, 3, 5], [26, 22, 12], [23, 21, 9], [2, 6, 27], [4, 11, 20], [15, 16, 8], [0, 24, 13, 25]]
[[8, 12, 15], [11, 5, 16], [10, 0, 18], [23, 3, 25], [9, 26, 27], [6, 14, 17], [22, 24, 21], [1, 4, 7], [2, 19, 20, 13]]
[[24, 9, 20], [12, 18, 10], [1, 16, 3], [23, 13, 15], [27, 19, 14], [26, 21, 25], [6, 8, 2], [0, 4, 22], [11, 7, 17, 5]]
[[6, 26, 17], [24, 2, 0], [19, 3, 8], [12, 21, 22], [20, 1, 27], [11, 4, 9], [15, 16, 13], [18, 10, 5], [7, 23, 14, 25]]
[[19, 8, 15], [22, 21, 10], [12, 26, 2], [14, 20, 25], [13, 11, 4], [18, 0, 6], [17, 24, 3], [5, 7, 23], [9, 1, 16, 27]]
[[17, 23, 9], [27, 21, 12], [19, 1, 13], [14, 11, 7], [18, 4, 24], [26, 0, 3], [25, 20, 10], [15, 6, 22], [2, 5, 8, 16]]
[[15, 7, 26], [3, 0, 24], [18, 13, 12], [8, 16, 1], [23, 25, 20], [10, 9, 14], [27, 2, 22], [17, 11, 6], [21, 19, 4, 5]]
[[18, 1, 13], [23, 6, 2], [4, 7, 17], [0, 8, 12], [16, 24, 9], [14, 19, 11], [15, 3, 20], [26, 21, 5], [10, 27, 25, 22]]
[[23, 7, 10], [14, 8, 21], [17, 15, 2], [27, 9, 4], [19, 12, 5], [16, 6, 3], [18, 13, 1], [22, 0, 20], [24, 26, 25, 11]]
[[20, 15, 4], [14, 0, 3], [10, 11, 24], [22, 18, 13], [1, 17, 25], [2, 16, 8], [21, 27, 5], [9, 19, 23], [7, 6, 26, 12]]
[[13, 12, 20], [8, 0, 5], [4, 17, 26], [11, 15, 9], [27, 21, 23], [2, 1, 18], [25, 7, 16], [22, 3, 24], [14, 19, 6, 10]]
[[4, 13, 1], [5, 17, 14], [3, 21, 10], [27, 19, 26], [8, 18, 24], [16, 20, 7], [22, 11, 2], [23, 15, 12], [6, 0, 25, 9]]
[[7, 10, 26], [15, 18, 2], [3, 8, 17], [27, 23, 11], [21, 16, 9], [25, 12, 22], [20, 19, 24], [1, 14, 13], [4, 0, 6, 5]]
[[16, 24, 7], [12, 25, 6], [21, 26, 10], [3, 11, 8], [1, 20, 23], [27, 4, 18], [15, 9, 13], [2, 17, 5], [19, 0, 22, 14]]
[[8, 17, 19], [0, 3, 25], [9, 26, 13], [20, 7, 15], [16, 4, 18], [27, 21, 11], [24, 10, 1], [23, 6, 12], [5, 14, 22, 2]]
[[5, 18, 25], [24, 0, 10], [8, 16, 14], [17, 20, 1], [15, 4, 12], [19, 9, 23], [11, 13, 7], [26, 21, 2], [3, 22, 27, 6]]
[[21, 10, 19], [27, 20, 11], [16, 15, 1], [13, 6, 2], [24, 25, 9], [3, 12, 14], [7, 22, 5], [0, 26, 4], [23, 17, 18, 8]]
[[11, 1, 25], [4, 14, 18], [23, 21, 6], [13, 17, 22], [16, 7, 5], [19, 9, 0], [26, 24, 8], [27, 20, 12], [10, 3, 15, 2]]
[[13, 1, 22], [20, 12, 27], [10, 9, 7], [5, 8, 19], [25, 15, 23], [0, 2, 4], [18, 11, 3], [6, 17, 21], [26, 24, 14, 16]]
[[11, 26, 13], [18, 7, 17], [25, 14, 0], [1, 20, 3], [6, 12, 27], [16, 4, 2], [21, 10, 15], [5, 19, 23], [8, 22, 9, 24]]
[[9, 16, 7], [12, 19, 18], [14, 24, 3], [21, 8, 10], [6, 0, 4], [27, 2, 13], [20, 22, 17], [23, 1, 5], [26, 11, 15, 25]]
