[[5, 20, 29], [44, 2, 43], [25, 38, 1], [31, 42, 39], [21, 34, 4], [28, 6, 22], [11, 36, 41], [9, 15, 3], [23, 40, 7], [14, 33, 26], [27, 12, 17], [35, 30, 37], [32, 47, 45], [19, 8, 24], [10, 16, 46], [13, 18, 0]]
[[27, 14, 19], [1, 31, 16], [25, 23, 44], [26, 29, 37], [39, 10, 7], [5, 15, 9], [33, 35, 42], [46, 24, 22], [20, 21, 2], [40, 8, 12], [28, 4, 43], [32, 13, 17], [0, 18, 34], [38, 11, 30], [3, 6, 45], [36, 41, 47]]
[[1, 30, 15], [6, 41, 26], [44, 46, 32], [33, 11, 23], [25, 29, 43], [39, 10, 8], [19, 9, 18], [40, 17, 34], [35, 12, 0], [42, 37, 45], [20, 31, 47], [7, 4, 21], [38, 14, 5], [22, 16, 24], [2, 36, 28], [3, 13, 27]]
[[11, 29, 8], [27, 1, 39], [33, 25, 31], [44, 32, 13], [42, 45, 2], [19, 10, 37], [7, 21, 35], [23, 41, 47], [26, 12, 34], [3, 30, 6], [16, 15, 4], [5, 14, 28], [22, 46, 24], [18, 38, 20], [43, 36, 40], [17, 0, 9]]
[[19, 23, 16], [0, 5, 39], [45, 3, 47], [22, 41, 46], [40, 14, 29], [28, 36, 13], [37, 42, 31], [21, 2, 9], [10, 30, 44], [17, 8, 15], [38, 27, 32], [18, 20, 1], [35, 33, 24], [4, 6, 11], [25, 26, 34], [43, 12, 7]]
[[38, 47, 32], [28, 45, 25], [39, 6, 46], [34, 43, 17], [22, 27, 18], [24, 7, 36], [10, 8, 19], [33, 30, 20], [11, 40, 12], [21, 44, 4], [29, 13, 42], [31, 16, 14], [5, 9, 23], [35, 41, 37], [3, 15, 1], [26, 0, 2]]
[[43, 28, 11], [5, 41, 15], [36, 20, 24], [6, 25, 32], [16, 2, 8], [37, 12, 27], [10, 14, 4], [17, 1, 47], [42, 22, 34], [26, 39, 9], [19, 38, 33], [35, 31, 46], [3, 29, 30], [7, 0, 18], [45, 40, 13], [44, 23, 21]]
[[28, 37, 1], [4, 15, 9], [8, 47, 38], [21, 3, 0], [13, 12, 23], [5, 27, 2], [30, 22, 19], [42, 29, 17], [7, 14, 45], [16, 24, 34], [35, 11, 20], [41, 39, 18], [25, 44, 46], [40, 33, 32], [6, 26, 43], [36, 10, 31]]
[[3, 24, 19], [41, 11, 1], [36, 12, 22], [0, 30, 28], [34, 32, 16], [10, 33, 46], [37, 18, 45], [39, 43, 31], [35, 29, 20], [25, 26, 27], [9, 44, 17], [42, 38, 7], [14, 4, 6], [13, 23, 40], [47, 5, 2], [21, 8, 15]]
[[26, 2, 40], [47, 24, 9], [7, 44, 45], [17, 21, 14], [39, 42, 31], [46, 38, 20], [12, 1, 19], [6, 11, 5], [33, 29, 37], [25, 43, 15], [27, 35, 4], [0, 34, 22], [18, 8, 30], [10, 16, 36], [32, 41, 13], [28, 23, 3]]
[[36, 16, 6], [5, 21, 17], [32, 26, 23], [38, 39, 45], [15, 11, 41], [7, 10, 40], [1, 28, 13], [25, 42, 44], [35, 30, 22], [4, 43, 14], [29, 18, 0], [2, 19, 34], [37, 46, 8], [47, 12, 33], [24, 3, 27], [31, 20, 9]]
[[47, 27, 30], [5, 0, 16], [29, 19, 43], [9, 21, 18], [12, 25, 46], [37, 11, 38], [39, 1, 6], [7, 44, 26], [36, 3, 33], [10, 32, 22], [2, 24, 31], [35, 45, 34], [41, 14, 40], [4, 13, 42], [8, 15, 20], [17, 28, 23]]
[[36, 42, 1], [19, 43, 17], [40, 15, 21], [46, 10, 11], [0, 13, 16], [32, 41, 39], [25, 14, 28], [8, 5, 12], [9, 34, 35], [27, 23, 47], [45, 31, 22], [3, 6, 18], [20, 44, 33], [2, 38, 24], [30, 4, 7], [29, 26, 37]]
[[35, 37, 39], [16, 19, 11], [10, 28, 41], [44, 33, 32], [13, 42, 2], [14, 8, 24], [15, 23, 40], [1, 0, 20], [43, 22, 9], [26, 5, 4], [31, 29, 18], [6, 3, 7], [30, 17, 47], [45, 25, 21], [12, 46, 36], [27, 38, 34]]
[[1, 19, 13], [24, 18, 3], [34, 5, 39], [37, 17, 20], [9, 38, 42], [28, 4, 30], [22, 32, 36], [11, 29, 46], [12, 0, 16], [41, 8, 43], [33, 44, 26], [31, 14, 45], [27, 21, 10], [35, 2, 7], [6, 40, 47], [15, 25, 23]]
[[12, 26, 11], [14, 2, 46], [18, 8, 39], [27, 32, 47], [13, 0, 28], [6, 20, 22], [4, 34, 40], [1, 42, 25], [43, 9, 36], [31, 33, 5], [30, 16, 3], [41, 29, 7], [45, 38, 23], [24, 21, 44], [17, 15, 35], [37, 10, 19]]
[[27, 40, 22], [1, 4, 0], [6, 20, 36], [2, 11, 28], [46, 8, 5], [33, 31, 42], [38, 35, 9], [19, 41, 43], [39, 25, 26], [10, 37, 12], [18, 14, 47], [7, 32, 23], [16, 44, 29], [24, 45, 30], [13, 21, 34], [3, 17, 15]]
[[32, 34, 43], [31, 7, 14], [27, 40, 10], [9, 3, 23], [29, 42, 5], [45, 37, 13], [20, 22, 44], [38, 39, 46], [16, 26, 2], [1, 41, 25], [17, 35, 8], [15, 36, 28], [21, 19, 4], [33, 11, 18], [47, 0, 6], [30, 24, 12]]
[[39, 23, 24], [43, 19, 0], [7, 21, 29], [25, 13, 15], [40, 32, 8], [4, 31, 20], [35, 9, 26], [1, 42, 3], [33, 18, 14], [28, 41, 27], [37, 5, 44], [34, 47, 12], [6, 2, 17], [45, 11, 10], [16, 36, 46], [22, 38, 30]]
[[38, 43, 15], [41, 0, 28], [10, 34, 40], [12, 17, 46], [16, 14, 31], [9, 20, 37], [8, 23, 32], [6, 36, 35], [29, 42, 25], [26, 21, 19], [18, 30, 33], [5, 1, 39], [3, 45, 27], [47, 22, 2], [7, 24, 44], [4, 13, 11]]
[[21, 2, 17], [18, 42, 29], [4, 31, 40], [13, 1, 33], [27, 46, 36], [32, 24, 11], [12, 5, 41], [3, 0, 15], [26, 39, 45], [7, 37, 6], [10, 35, 20], [22, 25, 23], [19, 14, 8], [28, 44, 43], [34, 16, 9], [30, 47, 38]]
[[43, 28, 1], [44, 2, 46], [26, 45, 47], [10, 34, 20], [16, 40, 27], [8, 17, 6], [37, 19, 11], [7, 29, 35], [15, 12, 18], [33, 9, 32], [24, 23, 14], [39, 36, 5], [13, 41, 30], [3, 22, 42], [25, 31, 38], [4, 0, 21]]
[[20, 16, 23], [39, 34, 42], [4, 29, 11], [14, 33, 18], [47, 17, 36], [19, 7, 24], [45, 15, 40], [25, 8, 27], [41, 46, 22], [32, 9, 0], [35, 3, 21], [43, 13, 6], [30, 44, 2], [5, 31, 26], [37, 10, 38], [12, 28, 1]]
[[8, 2, 39], [43, 7, 37], [29, 11, 20], [13, 3, 24], [25, 22, 31], [34, 18, 23], [10, 35, 44], [32, 19, 17], [5, 33, 0], [27, 12, 21], [6, 30, 46], [16, 26, 41], [1, 4, 14], [42, 45, 40], [38, 47, 15], [9, 28, 36]]
[[3, 47, 35], [34, 20, 17], [25, 46, 6], [42, 27, 45], [0, 39, 31], [13, 24, 4], [21, 36, 19], [10, 14, 7], [1, 40, 8], [44, 33, 12], [22, 43, 37], [38, 2, 23], [41, 28, 15], [32, 30, 26], [29, 16, 5], [18, 9, 11]]
[[35, 12, 27], [8, 34, 26], [15, 29, 37], [2, 17, 41], [10, 39, 3], [43, 11, 30], [31, 5, 7], [25, 13, 9], [0, 18, 19], [20, 42, 40], [47, 45, 22], [14, 4, 1], [28, 24, 36], [46, 6, 38], [44, 33, 21], [32, 16, 23]]
[[43, 4, 9], [6, 22, 29], [8, 38, 20], [47, 19, 34], [1, 10, 36], [13, 11, 25], [12, 21, 7], [14, 35, 3], [31, 41, 33], [23, 39, 42], [37, 24, 45], [32, 46, 5], [0, 15, 28], [16, 40, 27], [26, 2, 30], [44, 18, 17]]
[[7, 0, 38], [43, 6, 33], [15, 22, 29], [25, 40, 19], [30, 2, 12], [16, 32, 21], [44, 39, 36], [35, 31, 42], [9, 37, 14], [5, 47, 26], [18, 13, 28], [8, 23, 1], [10, 24, 45], [34, 4, 41], [11, 20, 27], [46, 3, 17]]
[[46, 9, 35], [10, 30, 38], [1, 31, 14], [2, 26, 13], [12, 8, 45], [19, 16, 24], [7, 11, 41], [4, 43, 29], [20, 36, 32], [28, 0, 40], [6, 25, 21], [5, 3, 42], [34, 33, 23], [39, 17, 44], [37, 22, 15], [18, 27, 47]]
[[25, 26, 33], [4, 9, 3], [19, 14, 36], [17, 47, 45], [8, 42, 35], [27, 39, 22], [10, 29, 46], [24, 0, 2], [6, 32, 28], [23, 7, 31], [43, 40, 30], [13, 41, 18], [37, 38, 5], [44, 21, 34], [1, 15, 16], [20, 11, 12]]
[[18, 40, 39], [28, 32, 6], [26, 1, 45], [36, 23, 20], [16, 0, 44], [27, 14, 7], [29, 2, 24], [3, 15, 31], [47, 9, 5], [42, 21, 30], [33, 34, 37], [8, 17, 4], [11, 10, 22], [25, 38, 43], [35, 19, 13], [41, 12, 46]]
[[4, 21, 46], [23, 19, 17], [41, 44, 37], [32, 5, 43], [20, 11, 0], [39, 22, 26], [6, 24, 31], [42, 13, 9], [25, 45, 16], [8, 18, 15], [7, 3, 10], [38, 28, 30], [33, 2, 1], [40, 35, 36], [47, 14, 27], [12, 34, 29]]
[[45, 3, 11], [33, 32, 15], [26, 20, 10], [38, 7, 9], [8, 36, 16], [37, 47, 31], [25, 41, 5], [42, 6, 17], [46, 24, 29], [30, 1, 0], [18, 12, 44], [22, 39, 27], [28, 19, 43], [34, 4, 2], [13, 35, 23], [40, 21, 14]]
