[[23, 16, 6], [26, 18, 20], [9, 21, 4], [10, 3, 22], [12, 14, 19], [28, 1, 11], [5, 13, 27], [0, 8, 15, 25], [7, 24, 17, 2]]
[[26, 10, 11], [15, 4, 0], [16, 13, 6], [17, 27, 18], [3, 9, 22], [7, 21, 23], [25, 28, 8], [14, 19, 24, 12], [20, 5, 1, 2]]
[[17, 27, 1], [13, 25, 12], [2, 28, 10], [18, 5, 16], [22, 0, 26], [21, 19, 15], [23, 4, 8], [3, 7, 6, 20], [9, 24, 11, 14]]
[[8, 11, 22], [17, 20, 26], [10, 1, 2], [5, 12, 15], [16, 21, 14], [7, 27, 4], [0, 3, 13], [19, 23, 9, 25], [18, 6, 24, 28]]
[[12, 24, 3], [6, 21, 9], [26, 14, 11], [22, 16, 25], [10, 4, 1], [13, 5, 20], [27, 2, 28], [15, 7, 23, 18], [8, 0, 17, 19]]
[[19, 8, 25], [16, 24, 15], [0, 11, 12], [28, 1, 9], [21, 22, 6], [2, 4, 13], [17, 18, 7], [5, 23, 10, 20], [14, 26, 3, 27]]
[[20, 10, 4], [2, 9, 26], [27, 24, 28], [12, 22, 25], [1, 16, 18], [14, 19, 0], [6, 17, 7], [13, 15, 11, 8], [21, 3, 5, 23]]
[[18, 8, 17], [22, 28, 10], [1, 16, 27], [9, 21, 23], [13, 15, 5], [19, 4, 20], [3, 7, 12], [24, 6, 0, 25], [14, 26, 2, 11]]
[[8, 18, 25], [0, 26, 4], [22, 10, 17], [23, 5, 3], [24, 7, 21], [2, 11, 12], [13, 16, 1], [28, 15, 27, 6], [20, 19, 9, 14]]
[[10, 21, 5], [9, 23, 2], [20, 1, 16], [7, 17, 14], [24, 26, 22], [13, 27, 28], [15, 25, 4], [18, 8, 3, 0], [6, 19, 12, 11]]
[[28, 9, 15], [14, 4, 18], [0, 6, 7], [13, 10, 16], [22, 20, 19], [26, 5, 25], [12, 1, 24], [17, 11, 3, 23], [21, 27, 2, 8]]
[[7, 22, 3], [9, 16, 17], [10, 28, 19], [2, 11, 24], [27, 1, 23], [8, 6, 5], [12, 20, 25], [13, 14, 21, 15], [4, 18, 26, 0]]
