[[29, 26, 22], [44, 41, 39], [42, 37, 12], [0, 21, 47], [24, 19, 9], [17, 3, 7], [45, 38, 20], [36, 1, 14], [46, 13, 32], [27, 18, 40], [10, 23, 4], [15, 8, 48], [25, 34, 49], [33, 6, 31], [16, 43, 2, 5], [28, 35, 30, 11]]
[[48, 46, 10], [0, 30, 6], [20, 37, 23], [35, 17, 43], [12, 21, 2], [44, 11, 16], [47, 25, 1], [15, 8, 26], [9, 41, 4], [32, 40, 19], [34, 29, 5], [22, 3, 33], [13, 39, 42], [27, 14, 38], [7, 18, 28, 49], [45, 36, 31, 24]]
[[26, 36, 20], [22, 47, 8], [34, 17, 48], [5, 40, 18], [13, 7, 33], [42, 28, 12], [21, 37, 23], [43, 46, 11], [27, 31, 45], [2, 25, 0], [39, 24, 15], [44, 19, 49], [35, 10, 38], [29, 41, 4], [14, 30, 3, 16], [1, 6, 32, 9]]
[[19, 18, 11], [40, 4, 49], [10, 39, 41], [47, 16, 38], [33, 30, 13], [12, 15, 32], [46, 34, 45], [25, 14, 20], [26, 9, 17], [23, 31, 6], [8, 48, 28], [3, 36, 27], [2, 5, 7], [42, 0, 44], [37, 1, 24, 22], [29, 21, 43, 35]]
[[40, 15, 39], [19, 8, 31], [46, 9, 1], [47, 29, 6], [13, 11, 34], [30, 23, 24], [18, 25, 16], [48, 27, 33], [20, 38, 41], [32, 35, 3], [26, 7, 0], [45, 14, 17], [21, 28, 36], [44, 2, 5], [22, 12, 42, 43], [10, 37, 4, 49]]
[[42, 28, 24], [7, 41, 3], [14, 45, 49], [15, 20, 26], [2, 34, 37], [13, 21, 0], [10, 9, 4], [33, 25, 43], [36, 8, 46], [30, 5, 29], [35, 32, 27], [1, 31, 12], [40, 11, 19], [22, 39, 17], [48, 6, 38, 47], [18, 23, 44, 16]]
[[38, 25, 11], [26, 21, 13], [48, 36, 34], [42, 7, 29], [19, 37, 1], [17, 35, 28], [47, 15, 10], [5, 32, 23], [45, 33, 22], [24, 39, 8], [40, 44, 12], [9, 31, 2], [46, 20, 30], [41, 27, 49], [4, 0, 43, 3], [18, 6, 16, 14]]
[[21, 34, 8], [9, 33, 18], [49, 46, 47], [13, 41, 40], [2, 4, 30], [1, 26, 6], [10, 24, 17], [28, 7, 39], [37, 12, 25], [19, 43, 29], [44, 23, 42], [45, 27, 16], [48, 15, 20], [22, 5, 35], [11, 0, 38, 36], [32, 3, 31, 14]]
[[14, 30, 27], [23, 33, 29], [1, 21, 3], [0, 47, 5], [25, 31, 13], [37, 11, 26], [48, 34, 7], [12, 15, 4], [9, 41, 24], [18, 49, 35], [36, 2, 19], [22, 42, 43], [8, 6, 46], [38, 16, 40], [32, 45, 44, 10], [39, 20, 28, 17]]
[[12, 11, 48], [23, 35, 4], [47, 27, 10], [44, 24, 30], [29, 20, 38], [3, 5, 16], [42, 9, 22], [41, 8, 14], [45, 49, 1], [37, 0, 18], [32, 6, 21], [39, 34, 15], [19, 2, 46], [13, 40, 43], [33, 28, 25, 7], [36, 26, 17, 31]]
[[30, 31, 47], [46, 35, 12], [27, 8, 38], [19, 5, 17], [4, 39, 11], [45, 43, 13], [15, 37, 34], [28, 2, 24], [25, 33, 26], [20, 7, 6], [1, 44, 14], [3, 18, 10], [23, 41, 0], [49, 29, 32], [22, 40, 21, 48], [16, 42, 36, 9]]
[[0, 16, 18], [14, 24, 26], [31, 35, 38], [27, 20, 25], [28, 7, 15], [6, 48, 11], [3, 39, 40], [12, 46, 22], [2, 8, 37], [23, 49, 29], [5, 42, 17], [30, 9, 36], [13, 41, 10], [1, 45, 47], [19, 34, 32, 43], [33, 44, 4, 21]]
[[14, 42, 47], [10, 11, 46], [26, 48, 32], [17, 31, 1], [5, 36, 39], [33, 44, 22], [27, 12, 35], [38, 19, 43], [25, 4, 40], [8, 18, 0], [49, 6, 3], [37, 20, 23], [34, 41, 45], [2, 7, 28], [16, 13, 9, 30], [15, 29, 24, 21]]
