[[22, 26, 29], [10, 3, 5], [20, 40, 37], [23, 11, 18], [14, 0, 13], [39, 21, 16], [30, 17, 38], [34, 41, 15], [24, 36, 4], [43, 31, 42], [1, 33, 25], [9, 44, 27], [8, 19, 2], [6, 12, 35], [32, 28, 7]]
[[41, 11, 14], [39, 9, 38], [29, 8, 36], [34, 6, 1], [16, 25, 4], [18, 20, 22], [21, 13, 0], [24, 10, 23], [5, 31, 26], [15, 32, 42], [27, 40, 37], [35, 12, 3], [7, 17, 19], [2, 28, 30], [44, 43, 33]]
[[8, 4, 40], [30, 15, 38], [11, 39, 10], [44, 41, 34], [25, 22, 32], [31, 20, 33], [35, 13, 16], [43, 36, 6], [19, 7, 42], [0, 1, 3], [24, 2, 23], [27, 14, 18], [26, 37, 28], [9, 21, 29], [17, 5, 12]]
[[18, 8, 38], [25, 21, 7], [34, 16, 29], [12, 30, 42], [11, 39, 28], [36, 24, 35], [6, 37, 19], [44, 26, 43], [4, 27, 32], [1, 15, 33], [9, 10, 13], [5, 14, 3], [17, 20, 23], [0, 31, 2], [40, 22, 41]]
[[2, 12, 44], [39, 34, 41], [32, 0, 3], [38, 18, 40], [8, 5, 14], [15, 37, 7], [24, 1, 35], [17, 31, 11], [27, 16, 21], [29, 4, 19], [25, 43, 23], [36, 42, 13], [26, 28, 33], [30, 6, 20], [9, 22, 10]]
[[27, 0, 33], [8, 6, 35], [25, 40, 43], [20, 5, 21], [38, 34, 18], [14, 19, 12], [1, 10, 26], [22, 29, 17], [15, 31, 39], [16, 23, 28], [3, 13, 32], [30, 9, 4], [7, 37, 42], [11, 36, 24], [41, 2, 44]]
[[19, 6, 33], [8, 5, 1], [20, 32, 36], [23, 40, 27], [10, 14, 41], [3, 16, 24], [38, 26, 0], [11, 29, 21], [7, 15, 44], [22, 4, 31], [18, 25, 12], [43, 30, 37], [13, 42, 39], [9, 2, 17], [28, 35, 34]]
[[28, 44, 14], [24, 15, 5], [17, 6, 3], [33, 39, 0], [38, 42, 30], [8, 10, 37], [2, 34, 19], [32, 13, 25], [27, 11, 21], [40, 41, 26], [4, 43, 1], [7, 31, 20], [9, 29, 23], [22, 16, 35], [12, 18, 36]]
[[2, 16, 19], [40, 25, 1], [28, 38, 30], [26, 44, 27], [21, 36, 11], [0, 29, 42], [5, 6, 10], [43, 34, 13], [41, 12, 32], [22, 23, 17], [39, 20, 15], [35, 7, 37], [3, 14, 18], [24, 9, 4], [8, 31, 33]]
[[12, 26, 8], [32, 0, 30], [9, 15, 6], [27, 31, 34], [24, 19, 23], [37, 20, 43], [14, 5, 16], [44, 2, 18], [36, 38, 7], [1, 3, 33], [28, 4, 29], [10, 39, 40], [35, 22, 42], [25, 41, 17], [21, 13, 11]]
[[25, 1, 19], [7, 44, 37], [10, 0, 16], [2, 4, 28], [40, 36, 42], [15, 23, 17], [24, 12, 13], [3, 5, 26], [38, 11, 41], [29, 18, 21], [39, 9, 8], [43, 14, 33], [27, 31, 34], [6, 32, 20], [22, 30, 35]]
