[[26, 35, 9], [43, 29, 24], [3, 11, 14], [32, 1, 23], [7, 42, 8], [36, 31, 22], [34, 10, 5], [37, 0, 44], [39, 46, 2], [33, 17, 40], [41, 12, 15], [19, 18, 6], [45, 21, 27], [13, 38, 25, 16], [20, 28, 4, 30]]
[[5, 34, 36], [2, 38, 25], [11, 41, 42], [9, 1, 16], [20, 44, 23], [13, 35, 12], [10, 6, 4], [24, 28, 43], [45, 18, 40], [19, 27, 21], [33, 8, 0], [17, 7, 14], [31, 46, 22], [15, 30, 32, 29], [39, 26, 37, 3]]
[[10, 0, 6], [28, 4, 25], [34, 13, 18], [44, 43, 1], [46, 21, 3], [15, 22, 35], [24, 29, 31], [36, 39, 20], [42, 9, 38], [2, 11, 7], [41, 45, 37], [17, 5, 19], [32, 16, 26], [14, 12, 30, 40], [33, 27, 8, 23]]
[[42, 24, 4], [17, 45, 16], [46, 35, 27], [43, 6, 7], [23, 1, 39], [10, 37, 29], [0, 15, 14], [20, 8, 19], [5, 30, 13], [2, 11, 9], [25, 38, 22], [31, 32, 34], [44, 36, 33], [12, 3, 28, 21], [26, 18, 41, 40]]
[[2, 19, 20], [32, 5, 38], [8, 40, 33], [39, 14, 28], [29, 11, 12], [13, 37, 16], [7, 44, 42], [0, 45, 27], [6, 21, 10], [24, 1, 41], [9, 35, 3], [15, 26, 31], [30, 22, 18], [43, 4, 17, 23], [34, 36, 25, 46]]
[[9, 16, 34], [35, 6, 15], [38, 17, 29], [3, 43, 23], [37, 42, 41], [24, 14, 7], [26, 5, 20], [28, 22, 12], [21, 8, 4], [46, 19, 39], [10, 1, 33], [36, 18, 30], [45, 13, 2], [27, 25, 11, 31], [40, 32, 0, 44]]
[[7, 22, 44], [43, 38, 40], [37, 2, 21], [8, 36, 14], [19, 46, 39], [23, 32, 0], [3, 29, 13], [42, 6, 12], [10, 28, 5], [16, 41, 27], [25, 34, 45], [31, 9, 4], [17, 33, 18], [11, 1, 26, 20], [35, 30, 15, 24]]
[[31, 17, 44], [15, 16, 14], [21, 43, 7], [35, 23, 26], [37, 10, 8], [0, 45, 32], [33, 19, 4], [38, 36, 42], [27, 24, 41], [34, 20, 11], [40, 9, 39], [13, 2, 29], [22, 18, 5], [30, 46, 28, 6], [1, 12, 25, 3]]
[[14, 24, 29], [5, 33, 30], [28, 18, 36], [44, 7, 9], [46, 40, 39], [2, 10, 45], [13, 21, 38], [23, 35, 37], [4, 1, 26], [15, 12, 34], [17, 8, 32], [20, 31, 16], [6, 22, 41], [42, 11, 43, 3], [25, 19, 0, 27]]
[[6, 20, 22], [2, 42, 17], [40, 25, 11], [27, 28, 29], [9, 46, 8], [24, 34, 26], [13, 5, 0], [15, 1, 16], [19, 33, 18], [41, 43, 14], [37, 31, 4], [3, 23, 10], [21, 38, 44], [12, 7, 45, 39], [35, 36, 30, 32]]
[[37, 46, 15], [35, 33, 32], [28, 43, 4], [6, 24, 10], [1, 16, 30], [18, 12, 14], [44, 29, 27], [21, 36, 0], [5, 13, 34], [3, 2, 39], [26, 31, 20], [22, 7, 38], [9, 11, 45], [19, 25, 23, 17], [41, 8, 42, 40]]
