[[30, 26, 19], [23, 25, 32], [1, 29, 31], [27, 22, 33], [39, 37, 28], [6, 8, 18], [17, 2, 14], [24, 16, 12], [38, 5, 34], [35, 0, 13], [4, 20, 11], [21, 3, 9], [7, 15, 10, 36]]
[[6, 17, 38], [36, 9, 18], [35, 26, 25], [16, 10, 22], [4, 21, 39], [30, 3, 34], [27, 12, 19], [13, 1, 14], [11, 0, 23], [5, 31, 32], [2, 20, 37], [33, 28, 15], [8, 7, 24, 29]]
[[15, 13, 3], [39, 19, 1], [18, 35, 30], [36, 32, 28], [9, 16, 31], [17, 29, 7], [5, 14, 22], [25, 12, 20], [11, 2, 27], [33, 34, 23], [10, 21, 6], [8, 26, 4], [24, 0, 38, 37]]
[[2, 24, 27], [23, 32, 5], [31, 15, 22], [34, 7, 29], [38, 10, 13], [8, 25, 19], [6, 26, 30], [21, 35, 0], [11, 17, 39], [37, 16, 33], [14, 18, 1], [4, 12, 20], [36, 9, 3, 28]]
[[34, 9, 25], [39, 24, 4], [20, 35, 12], [37, 38, 17], [30, 2, 22], [6, 10, 23], [1, 28, 32], [19, 0, 13], [15, 27, 16], [14, 33, 7], [29, 5, 36], [18, 31, 3], [26, 11, 21, 8]]
[[2, 34, 24], [0, 15, 16], [36, 10, 18], [28, 39, 8], [19, 13, 3], [23, 35, 33], [38, 14, 9], [21, 31, 20], [37, 4, 1], [22, 30, 11], [27, 12, 7], [26, 32, 17], [29, 6, 5, 25]]
[[11, 3, 14], [27, 32, 19], [0, 20, 31], [13, 36, 9], [7, 30, 12], [2, 10, 29], [6, 35, 16], [28, 26, 8], [39, 17, 38], [18, 4, 22], [23, 33, 34], [24, 5, 21], [37, 25, 1, 15]]
[[7, 4, 12], [2, 26, 31], [28, 6, 14], [37, 5, 10], [27, 36, 16], [29, 20, 22], [8, 38, 19], [18, 9, 33], [3, 13, 39], [11, 15, 23], [34, 1, 30], [24, 35, 17], [21, 25, 0, 32]]
[[16, 15, 22], [8, 38, 18], [13, 33, 31], [32, 27, 4], [28, 39, 23], [5, 14, 9], [24, 36, 20], [21, 29, 19], [26, 25, 1], [3, 30, 7], [17, 2, 34], [35, 6, 11], [10, 0, 37, 12]]
[[4, 15, 30], [36, 19, 13], [23, 33, 17], [0, 10, 27], [31, 2, 6], [7, 16, 9], [38, 14, 25], [21, 34, 18], [12, 37, 39], [29, 11, 24], [22, 20, 3], [5, 8, 1], [35, 28, 26, 32]]
[[23, 39, 4], [16, 6, 35], [25, 10, 13], [0, 18, 32], [2, 22, 9], [14, 31, 11], [5, 28, 15], [3, 17, 1], [33, 19, 12], [37, 29, 8], [30, 26, 24], [36, 21, 7], [34, 38, 27, 20]]
[[20, 6, 37], [23, 21, 33], [16, 22, 13], [7, 8, 12], [9, 19, 2], [10, 5, 0], [24, 31, 34], [3, 36, 28], [35, 25, 4], [26, 32, 14], [1, 27, 29], [30, 11, 15], [39, 18, 17, 38]]
[[7, 21, 24], [9, 1, 30], [6, 27, 4], [37, 20, 16], [0, 13, 34], [22, 18, 15], [32, 3, 39], [28, 31, 2], [36, 5, 38], [10, 19, 33], [8, 25, 29], [26, 14, 35], [17, 12, 23, 11]]
[[22, 32, 21], [2, 33, 25], [35, 36, 9], [37, 28, 6], [14, 34, 15], [31, 16, 1], [38, 8, 17], [12, 24, 23], [5, 13, 39], [19, 7, 11], [20, 29, 3], [0, 30, 26], [4, 18, 10, 27]]
[[36, 29, 11], [14, 16, 34], [10, 22, 15], [12, 7, 37], [31, 38, 5], [4, 32, 28], [19, 35, 26], [27, 2, 24], [9, 18, 30], [6, 0, 21], [1, 20, 23], [3, 13, 8], [39, 33, 25, 17]]
[[29, 20, 19], [4, 17, 28], [7, 3, 0], [14, 37, 8], [1, 38, 25], [27, 16, 24], [39, 12, 22], [33, 2, 36], [35, 32, 23], [26, 6, 21], [9, 11, 5], [34, 10, 13], [18, 31, 30, 15]]
[[19, 21, 0], [36, 33, 16], [34, 13, 32], [25, 37, 24], [22, 4, 29], [14, 7, 30], [10, 2, 23], [15, 12, 8], [11, 38, 27], [17, 5, 1], [28, 39, 6], [9, 20, 3], [31, 18, 26, 35]]
[[33, 8, 7], [34, 21, 4], [39, 18, 24], [32, 29, 15], [5, 36, 6], [31, 11, 30], [14, 35, 27], [2, 3, 19], [17, 25, 0], [23, 12, 13], [16, 1, 26], [37, 10, 22], [9, 28, 20, 38]]
[[0, 20, 27], [11, 6, 28], [36, 4, 33], [24, 25, 18], [1, 32, 8], [14, 13, 12], [39, 3, 19], [38, 37, 2], [7, 23, 15], [35, 22, 31], [16, 9, 30], [21, 29, 5], [26, 34, 10, 17]]
