[[15, 25, 39], [4, 12, 10], [0, 27, 22], [7, 6, 28], [38, 11, 3], [9, 16, 33], [21, 23, 40], [29, 26, 5], [37, 1, 19], [14, 13, 24], [17, 31, 18], [36, 35, 20, 32], [8, 30, 2, 34]]
[[7, 35, 39], [37, 19, 18], [24, 30, 9], [15, 40, 5], [31, 10, 26], [25, 20, 38], [36, 34, 8], [28, 32, 11], [13, 23, 16], [29, 1, 4], [17, 22, 3], [27, 6, 21, 2], [12, 33, 0, 14]]
[[1, 37, 12], [34, 4, 24], [14, 6, 8], [27, 19, 33], [40, 20, 10], [0, 13, 11], [7, 21, 25], [16, 30, 35], [38, 5, 32], [31, 9, 36], [3, 29, 17], [2, 15, 22, 39], [28, 26, 18, 23]]
[[9, 7, 40], [12, 33, 15], [38, 25, 30], [13, 19, 32], [31, 26, 3], [14, 1, 34], [6, 22, 39], [11, 8, 17], [37, 5, 35], [10, 18, 23], [2, 36, 21], [29, 27, 24, 4], [20, 16, 28, 0]]
[[11, 34, 33], [19, 9, 15], [0, 20, 40], [14, 10, 17], [36, 4, 1], [6, 23, 29], [18, 25, 30], [3, 37, 27], [5, 26, 2], [16, 8, 24], [35, 12, 28], [31, 21, 22, 32], [38, 7, 39, 13]]
[[7, 39, 31], [20, 11, 4], [8, 1, 23], [40, 3, 5], [0, 34, 25], [28, 35, 38], [27, 17, 19], [12, 22, 21], [9, 30, 16], [26, 24, 13], [18, 36, 14], [29, 32, 33, 2], [37, 6, 10, 15]]
[[7, 31, 12], [13, 36, 35], [21, 30, 1], [3, 25, 23], [32, 10, 26], [16, 28, 33], [24, 22, 15], [40, 0, 34], [18, 20, 4], [17, 2, 9], [19, 11, 14], [38, 5, 27, 6], [37, 8, 29, 39]]
[[15, 33, 25], [17, 13, 14], [30, 18, 20], [1, 10, 8], [7, 22, 32], [28, 37, 40], [35, 26, 6], [31, 23, 2], [19, 39, 5], [29, 4, 21], [12, 36, 24], [34, 16, 11, 9], [3, 27, 0, 38]]
[[24, 3, 27], [37, 34, 29], [32, 15, 12], [14, 9, 13], [5, 33, 28], [1, 39, 22], [38, 2, 36], [35, 18, 23], [31, 20, 16], [26, 11, 21], [0, 19, 6], [17, 7, 4, 8], [10, 30, 40, 25]]
[[10, 13, 26], [24, 34, 17], [25, 3, 33], [9, 14, 8], [31, 7, 1], [2, 20, 16], [40, 38, 12], [15, 6, 30], [21, 0, 11], [32, 29, 19], [18, 37, 35], [36, 4, 5, 23], [39, 28, 22, 27]]
[[16, 32, 5], [36, 24, 13], [31, 27, 7], [11, 2, 1], [20, 22, 30], [35, 18, 34], [37, 15, 8], [4, 10, 17], [40, 28, 39], [29, 19, 33], [6, 14, 26], [38, 23, 3, 21], [9, 0, 12, 25]]
[[14, 11, 0], [2, 9, 7], [6, 22, 5], [23, 10, 25], [27, 16, 36], [15, 26, 13], [21, 29, 8], [17, 40, 34], [31, 3, 1], [30, 39, 38], [35, 33, 12], [19, 24, 37, 32], [4, 18, 20, 28]]
[[11, 21, 4], [38, 28, 9], [22, 39, 6], [2, 16, 20], [36, 18, 0], [25, 29, 15], [3, 13, 26], [12, 23, 19], [34, 17, 7], [8, 37, 35], [33, 30, 14], [5, 1, 32, 27], [10, 31, 24, 40]]
[[12, 37, 10], [22, 35, 2], [18, 7, 36], [34, 21, 11], [40, 16, 24], [14, 4, 8], [17, 15, 29], [20, 26, 5], [27, 28, 33], [39, 3, 13], [32, 6, 23], [31, 0, 38, 1], [9, 25, 30, 19]]
[[10, 40, 5], [32, 24, 0], [15, 6, 27], [39, 4, 22], [21, 8, 38], [13, 33, 17], [18, 23, 3], [28, 31, 34], [29, 30, 37], [26, 2, 9], [11, 36, 20], [12, 35, 16, 1], [7, 14, 19, 25]]
[[19, 24, 18], [15, 14, 34], [2, 0, 9], [30, 13, 26], [36, 8, 27], [12, 31, 40], [4, 3, 37], [11, 28, 20], [35, 25, 33], [38, 10, 21], [39, 17, 32], [22, 29, 16, 23], [1, 5, 6, 7]]
[[31, 11, 14], [40, 32, 36], [18, 16, 20], [33, 38, 10], [39, 4, 7], [5, 23, 25], [26, 13, 6], [12, 24, 19], [3, 27, 35], [8, 1, 17], [0, 15, 34], [28, 22, 29, 2], [37, 21, 9, 30]]
[[38, 23, 5], [17, 26, 11], [28, 7, 16], [25, 37, 39], [12, 0, 1], [30, 24, 40], [9, 2, 27], [22, 15, 29], [3, 10, 13], [33, 32, 18], [31, 19, 20], [36, 14, 34, 4], [6, 21, 35, 8]]
[[1, 37, 12], [13, 2, 17], [31, 20, 18], [5, 10, 6], [16, 30, 33], [29, 21, 40], [36, 7, 39], [0, 8, 9], [28, 38, 27], [19, 15, 14], [35, 23, 25], [4, 26, 34, 3], [32, 22, 24, 11]]
[[34, 4, 33], [25, 37, 20], [30, 24, 27], [3, 29, 14], [40, 23, 8], [12, 0, 26], [16, 28, 5], [17, 18, 7], [35, 38, 13], [6, 39, 19], [15, 32, 1], [10, 21, 9, 22], [2, 31, 36, 11]]
[[35, 24, 14], [9, 31, 39], [33, 37, 30], [29, 10, 25], [18, 20, 40], [21, 22, 36], [23, 12, 2], [3, 28, 4], [13, 34, 16], [32, 15, 19], [11, 1, 5], [27, 7, 0, 38], [26, 8, 6, 17]]
[[28, 3, 36], [13, 12, 24], [6, 23, 4], [26, 15, 17], [8, 11, 10], [38, 21, 33], [20, 29, 14], [16, 27, 37], [7, 1, 19], [5, 39, 2], [31, 9, 18], [0, 22, 40, 30], [25, 34, 35, 32]]
[[29, 40, 9], [11, 5, 21], [15, 1, 36], [34, 38, 10], [35, 3, 24], [27, 14, 7], [16, 12, 26], [19, 6, 32], [39, 23, 37], [30, 28, 18], [4, 8, 31], [20, 0, 13, 25], [17, 33, 2, 22]]
[[31, 34, 14], [40, 23, 30], [11, 27, 9], [8, 29, 32], [21, 2, 13], [0, 17, 4], [20, 5, 38], [37, 1, 39], [12, 28, 16], [6, 35, 33], [26, 25, 18], [15, 22, 10, 7], [24, 3, 36, 19]]
[[18, 32, 37], [19, 20, 7], [6, 17, 35], [15, 8, 34], [12, 16, 3], [27, 31, 33], [29, 5, 39], [25, 26, 23], [1, 28, 10], [30, 9, 4], [11, 2, 0], [40, 14, 21, 36], [38, 13, 22, 24]]
[[14, 34, 24], [29, 9, 13], [5, 12, 39], [17, 19, 8], [16, 23, 10], [25, 15, 33], [35, 7, 30], [11, 38, 37], [28, 26, 27], [1, 0, 4], [18, 40, 22], [6, 36, 20, 31], [21, 2, 3, 32]]
[[15, 13, 11], [35, 16, 39], [34, 8, 37], [20, 32, 30], [40, 29, 17], [1, 27, 23], [24, 4, 18], [12, 22, 5], [7, 31, 28], [38, 33, 2], [3, 9, 0], [14, 6, 19, 21], [10, 36, 25, 26]]
[[16, 13, 9], [33, 36, 2], [17, 38, 25], [12, 28, 8], [24, 15, 6], [34, 4, 35], [10, 21, 7], [32, 40, 0], [31, 27, 1], [37, 3, 26], [22, 5, 29], [14, 30, 20, 18], [11, 23, 19, 39]]
[[13, 19, 39], [32, 24, 22], [23, 12, 4], [17, 9, 21], [5, 7, 28], [6, 33, 36], [1, 37, 29], [0, 14, 40], [26, 15, 10], [8, 11, 35], [20, 25, 18], [27, 3, 34, 30], [2, 31, 38, 16]]
[[39, 5, 22], [9, 2, 17], [38, 11, 4], [1, 35, 33], [24, 29, 20], [34, 15, 8], [0, 31, 26], [25, 13, 28], [14, 30, 27], [40, 36, 12], [37, 16, 7], [18, 21, 23, 19], [32, 3, 10, 6]]
