[[7, 33, 15], [27, 17, 28], [29, 30, 23], [18, 20, 6], [9, 31, 24], [22, 4, 0], [32, 25, 5], [14, 3, 11], [13, 19, 26], [2, 21, 10], [1, 8, 12, 16]]
[[26, 4, 2], [32, 18, 12], [20, 27, 3], [5, 11, 31], [28, 24, 16], [14, 15, 25], [6, 7, 1], [19, 23, 29], [13, 17, 8], [10, 30, 22], [33, 0, 9, 21]]
[[22, 19, 31], [10, 33, 30], [23, 14, 0], [17, 8, 4], [21, 24, 27], [3, 13, 11], [32, 29, 28], [9, 6, 20], [26, 1, 25], [15, 18, 5], [2, 7, 16, 12]]
[[5, 19, 4], [14, 33, 25], [15, 9, 27], [6, 2, 28], [31, 21, 26], [22, 1, 16], [18, 10, 11], [8, 29, 24], [30, 12, 23], [7, 32, 0], [17, 13, 3, 20]]
[[31, 0, 30], [28, 19, 20], [17, 24, 4], [32, 13, 7], [29, 22, 18], [23, 9, 33], [21, 16, 26], [27, 6, 1], [10, 14, 2], [15, 25, 8], [12, 5, 3, 11]]
[[11, 27, 0], [19, 32, 3], [9, 15, 2], [10, 6, 23], [14, 31, 18], [8, 16, 5], [20, 13, 21], [30, 28, 17], [26, 12, 33], [1, 29, 4], [7, 24, 25, 22]]
[[7, 8, 9], [4, 11, 28], [3, 33, 6], [31, 21, 23], [19, 5, 29], [15, 32, 1], [13, 22, 16], [17, 30, 26], [18, 14, 20], [10, 0, 25], [2, 24, 27, 12]]
[[1, 27, 14], [19, 28, 17], [12, 13, 6], [5, 4, 10], [8, 11, 29], [9, 33, 24], [26, 7, 18], [0, 21, 3], [15, 22, 25], [31, 2, 16], [30, 23, 20, 32]]
[[16, 12, 14], [4, 28, 13], [5, 27, 29], [10, 22, 7], [23, 17, 24], [20, 31, 1], [0, 9, 15], [32, 18, 25], [6, 2, 19], [26, 21, 30], [33, 11, 8, 3]]
[[16, 12, 1], [20, 33, 4], [27, 5, 15], [23, 28, 6], [2, 10, 0], [21, 3, 17], [24, 14, 26], [13, 18, 32], [25, 29, 30], [22, 11, 7], [31, 8, 19, 9]]
[[25, 1, 7], [4, 22, 28], [2, 6, 8], [23, 17, 30], [24, 16, 14], [20, 33, 21], [10, 32, 11], [13, 31, 19], [18, 15, 0], [5, 26, 27], [9, 12, 29, 3]]
