[[7, 14, 27], [18, 33, 2], [34, 40, 31], [25, 11, 38], [17, 12, 19], [47, 35, 46], [30, 26, 24], [0, 41, 37], [15, 23, 20], [48, 39, 49], [1, 28, 3], [10, 4, 36], [45, 29, 44], [16, 43, 6], [22, 13, 21, 42], [9, 32, 8, 5]]
[[34, 49, 46], [13, 45, 17], [9, 48, 23], [41, 31, 29], [16, 32, 11], [26, 36, 39], [33, 37, 5], [40, 2, 0], [22, 27, 8], [18, 28, 25], [6, 7, 42], [12, 24, 30], [43, 3, 44], [15, 35, 14], [1, 47, 21, 10], [20, 4, 19, 38]]
[[45, 26, 9], [49, 14, 20], [40, 48, 11], [13, 25, 36], [10, 0, 16], [43, 27, 41], [35, 21, 29], [18, 31, 32], [5, 24, 47], [39, 22, 23], [37, 30, 33], [38, 2, 8], [12, 17, 7], [46, 28, 42], [6, 4, 34, 15], [19, 44, 1, 3]]
[[2, 7, 6], [16, 33, 15], [47, 21, 35], [44, 40, 20], [45, 0, 41], [49, 13, 31], [42, 19, 10], [11, 36, 1], [5, 29, 25], [22, 9, 37], [34, 39, 28], [8, 18, 24], [46, 48, 17], [38, 4, 3], [23, 27, 26, 32], [14, 43, 30, 12]]
[[24, 5, 15], [36, 30, 43], [22, 27, 29], [20, 3, 10], [37, 17, 9], [21, 23, 19], [11, 44, 25], [8, 47, 32], [48, 12, 41], [35, 38, 4], [18, 28, 33], [2, 46, 31], [40, 34, 7], [39, 42, 14], [1, 13, 45, 26], [16, 0, 49, 6]]
[[45, 6, 37], [20, 48, 1], [24, 31, 17], [12, 8, 26], [3, 49, 10], [4, 32, 21], [38, 33, 46], [22, 29, 27], [2, 28, 9], [13, 7, 39], [15, 14, 41], [34, 30, 44], [5, 42, 36], [25, 40, 35], [19, 43, 47, 18], [0, 23, 11, 16]]
[[43, 28, 15], [18, 32, 23], [45, 4, 20], [29, 8, 16], [11, 34, 21], [22, 39, 17], [12, 37, 26], [14, 38, 35], [48, 7, 6], [46, 9, 10], [42, 30, 40], [33, 44, 41], [49, 13, 0], [1, 24, 36], [47, 3, 5, 27], [19, 25, 31, 2]]
[[48, 17, 33], [40, 23, 26], [35, 13, 15], [12, 25, 20], [38, 41, 8], [47, 27, 43], [22, 10, 5], [45, 18, 42], [4, 11, 21], [44, 46, 49], [14, 9, 37], [28, 3, 1], [16, 36, 32], [34, 6, 19], [24, 29, 2, 30], [31, 39, 7, 0]]
[[18, 47, 17], [5, 27, 3], [14, 12, 2], [45, 39, 43], [19, 9, 20], [0, 32, 7], [31, 4, 22], [40, 42, 37], [23, 8, 38], [41, 10, 28], [34, 49, 11], [1, 44, 6], [24, 35, 21], [48, 30, 36], [26, 29, 15, 13], [46, 33, 16, 25]]
[[0, 3, 32], [11, 24, 43], [47, 7, 2], [17, 6, 39], [40, 5, 18], [31, 8, 28], [35, 37, 12], [19, 27, 26], [41, 29, 36], [46, 4, 34], [1, 33, 9], [48, 49, 15], [21, 44, 16], [25, 10, 20], [30, 42, 38, 22], [13, 23, 45, 14]]
[[8, 43, 24], [7, 41, 30], [48, 19, 44], [14, 26, 6], [35, 40, 28], [17, 33, 5], [47, 15, 37], [31, 22, 3], [12, 13, 4], [20, 23, 38], [32, 34, 10], [46, 45, 9], [0, 49, 1], [29, 27, 18], [42, 2, 21, 11], [16, 25, 39, 36]]
