[[17, 19, 3], [9, 30, 31], [27, 28, 23], [1, 37, 15], [39, 4, 35], [16, 10, 25], [13, 38, 12], [24, 21, 14], [0, 29, 8], [18, 5, 22], [32, 34, 20], [6, 7, 33], [36, 26, 2, 11]]
[[20, 0, 17], [12, 2, 9], [39, 4, 23], [18, 6, 21], [14, 22, 15], [11, 28, 31], [25, 32, 37], [38, 13, 10], [1, 35, 5], [36, 29, 26], [30, 16, 33], [7, 8, 19], [3, 34, 24, 27]]
[[28, 29, 25], [36, 38, 16], [31, 35, 13], [2, 1, 30], [12, 10, 39], [14, 37, 27], [6, 3, 23], [9, 19, 17], [24, 21, 8], [20, 0, 7], [5, 34, 22], [11, 18, 33], [4, 26, 32, 15]]
[[36, 26, 30], [5, 37, 20], [7, 16, 3], [35, 32, 39], [38, 17, 2], [34, 4, 13], [1, 24, 22], [12, 33, 8], [0, 27, 11], [29, 28, 31], [19, 10, 21], [18, 14, 9], [23, 15, 6, 25]]
[[14, 0, 4], [13, 8, 18], [1, 3, 27], [7, 9, 37], [23, 12, 21], [31, 34, 36], [35, 28, 16], [38, 26, 11], [5, 6, 33], [15, 25, 29], [20, 32, 10], [19, 17, 39], [30, 24, 22, 2]]
[[34, 6, 4], [38, 0, 12], [8, 33, 17], [3, 15, 11], [30, 32, 23], [9, 22, 7], [10, 26, 16], [29, 25, 14], [5, 1, 24], [28, 19, 18], [13, 36, 35], [39, 31, 21], [20, 27, 37, 2]]
[[22, 13, 23], [1, 35, 37], [18, 16, 9], [31, 21, 0], [34, 33, 11], [17, 5, 8], [24, 26, 25], [19, 4, 29], [36, 20, 6], [10, 12, 2], [28, 15, 3], [30, 39, 27], [32, 7, 38, 14]]
[[12, 22, 5], [28, 29, 3], [39, 33, 18], [11, 4, 19], [17, 30, 0], [37, 36, 1], [38, 32, 13], [6, 23, 9], [15, 21, 7], [34, 2, 16], [26, 25, 14], [10, 31, 24], [8, 35, 27, 20]]
[[14, 36, 22], [3, 10, 33], [31, 26, 38], [8, 20, 12], [11, 15, 34], [23, 24, 13], [37, 25, 4], [27, 35, 16], [9, 2, 32], [7, 1, 18], [17, 39, 6], [29, 28, 0], [19, 5, 30, 21]]
[[23, 7, 13], [31, 16, 12], [17, 28, 30], [5, 6, 1], [3, 35, 11], [39, 10, 38], [21, 18, 14], [24, 37, 26], [15, 4, 25], [20, 32, 33], [9, 22, 36], [34, 8, 29], [19, 0, 27, 2]]
[[38, 31, 15], [24, 13, 17], [9, 2, 8], [26, 37, 5], [14, 7, 27], [18, 23, 29], [6, 0, 39], [1, 36, 34], [21, 30, 25], [28, 35, 32], [4, 22, 3], [11, 10, 33], [12, 20, 16, 19]]
