[[19, 2, 15], [29, 10, 5], [37, 33, 34], [32, 20, 22], [14, 9, 8], [12, 27, 18], [28, 26, 1], [11, 30, 21], [36, 16, 6], [0, 35, 13], [17, 3, 24, 4], [23, 31, 7, 25]]
[[0, 28, 13], [14, 24, 4], [9, 5, 30], [27, 35, 29], [21, 33, 11], [36, 1, 18], [17, 25, 37], [8, 6, 34], [20, 7, 10], [31, 32, 23], [15, 22, 2, 16], [26, 12, 3, 19]]
[[11, 28, 35], [24, 26, 14], [0, 36, 1], [3, 22, 20], [37, 29, 34], [16, 9, 7], [15, 10, 12], [23, 18, 21], [27, 13, 19], [31, 17, 5], [30, 8, 2, 32], [33, 6, 4, 25]]
[[37, 9, 10], [27, 29, 31], [15, 36, 1], [26, 5, 14], [34, 8, 7], [23, 25, 32], [13, 12, 18], [21, 6, 11], [2, 35, 16], [33, 20, 28], [17, 19, 24, 4], [30, 22, 3, 0]]
[[33, 3, 11], [19, 10, 7], [31, 18, 1], [26, 4, 14], [5, 35, 22], [17, 15, 2], [0, 21, 25], [32, 27, 9], [8, 23, 30], [36, 37, 28], [13, 20, 24, 6], [12, 34, 29, 16]]
[[4, 35, 11], [26, 10, 9], [27, 13, 17], [5, 25, 33], [29, 37, 19], [1, 32, 14], [18, 30, 8], [31, 21, 0], [34, 28, 12], [7, 24, 15], [3, 20, 6, 2], [36, 22, 16, 23]]
[[6, 16, 24], [32, 8, 33], [37, 36, 10], [25, 3, 19], [21, 29, 12], [1, 9, 14], [0, 18, 2], [17, 27, 5], [35, 26, 11], [15, 7, 34], [22, 13, 23, 31], [20, 4, 30, 28]]
[[29, 20, 1], [19, 31, 13], [9, 22, 12], [21, 14, 35], [28, 7, 3], [37, 27, 11], [25, 2, 30], [0, 18, 6], [36, 10, 16], [34, 4, 26], [24, 32, 8, 5], [17, 23, 33, 15]]
[[7, 9, 29], [20, 25, 35], [13, 14, 37], [6, 28, 0], [11, 27, 2], [5, 36, 34], [10, 21, 32], [23, 19, 18], [4, 17, 16], [8, 3, 24], [15, 22, 12, 26], [33, 31, 1, 30]]
[[35, 13, 28], [27, 26, 23], [0, 17, 30], [5, 8, 33], [4, 32, 25], [24, 1, 6], [29, 16, 21], [9, 2, 31], [7, 11, 36], [10, 34, 15], [12, 3, 20, 14], [37, 22, 19, 18]]
[[19, 36, 27], [6, 24, 3], [17, 23, 35], [14, 22, 16], [34, 5, 13], [7, 20, 1], [37, 2, 0], [21, 8, 31], [26, 28, 18], [33, 15, 25], [10, 29, 9, 12], [32, 11, 30, 4]]
[[29, 0, 8], [3, 28, 16], [18, 13, 22], [34, 27, 9], [31, 26, 36], [17, 20, 35], [14, 7, 21], [19, 33, 12], [2, 15, 30], [4, 6, 23], [37, 1, 24, 5], [11, 10, 32, 25]]
[[24, 6, 35], [12, 2, 20], [32, 18, 1], [8, 37, 21], [30, 9, 3], [27, 31, 7], [19, 11, 36], [13, 29, 5], [14, 22, 26], [28, 23, 25], [34, 4, 16, 10], [33, 15, 17, 0]]
[[28, 29, 21], [12, 13, 4], [34, 31, 30], [20, 25, 35], [18, 0, 11], [14, 16, 1], [22, 33, 17], [26, 27, 8], [2, 15, 6], [9, 3, 5], [37, 32, 24, 36], [23, 19, 10, 7]]
[[30, 10, 23], [18, 35, 24], [17, 22, 9], [16, 33, 15], [14, 28, 2], [26, 1, 6], [11, 13, 37], [5, 31, 7], [29, 19, 12], [34, 36, 4], [25, 21, 3, 8], [20, 32, 27, 0]]
[[32, 37, 22], [26, 23, 8], [24, 11, 5], [13, 17, 34], [12, 16, 31], [4, 28, 9], [20, 6, 36], [7, 33, 15], [14, 30, 19], [10, 21, 2], [27, 35, 25, 18], [29, 1, 0, 3]]
[[29, 9, 7], [36, 26, 19], [8, 11, 35], [23, 15, 28], [24, 18, 16], [5, 33, 25], [22, 12, 4], [1, 6, 37], [10, 32, 31], [30, 17, 2], [3, 34, 21, 27], [14, 13, 20, 0]]
[[0, 11, 17], [9, 28, 20], [1, 25, 35], [19, 8, 33], [21, 14, 4], [30, 7, 23], [31, 26, 22], [18, 13, 2], [5, 6, 32], [10, 29, 3], [27, 12, 15, 36], [16, 34, 37, 24]]
[[25, 28, 35], [5, 6, 8], [33, 17, 0], [14, 12, 18], [7, 21, 22], [34, 13, 27], [1, 20, 9], [2, 31, 30], [26, 32, 3], [15, 36, 11], [10, 24, 16, 23], [19, 37, 4, 29]]
[[21, 0, 3], [36, 32, 13], [8, 15, 6], [11, 17, 26], [5, 19, 25], [18, 33, 31], [2, 28, 12], [29, 10, 9], [35, 16, 37], [24, 34, 7], [30, 4, 20, 23], [27, 1, 22, 14]]
[[35, 7, 12], [31, 15, 21], [8, 13, 37], [30, 29, 3], [28, 27, 18], [36, 17, 6], [19, 9, 2], [5, 1, 33], [20, 4, 24], [25, 32, 26], [11, 14, 23, 22], [0, 34, 16, 10]]
[[25, 35, 19], [18, 8, 28], [34, 31, 10], [15, 6, 22], [27, 11, 29], [23, 7, 21], [26, 33, 13], [4, 37, 2], [16, 1, 20], [17, 24, 9], [3, 5, 0, 32], [30, 14, 36, 12]]
[[12, 25, 21], [11, 0, 35], [10, 16, 20], [28, 7, 31], [26, 18, 17], [5, 2, 27], [29, 19, 4], [6, 30, 33], [24, 32, 37], [14, 15, 22], [3, 13, 36, 1], [34, 9, 8, 23]]
[[30, 21, 17], [28, 11, 25], [23, 2, 6], [12, 8, 5], [13, 18, 0], [3, 31, 14], [22, 4, 1], [37, 27, 20], [16, 24, 15], [19, 34, 26], [7, 32, 9, 33], [10, 36, 29, 35]]
[[9, 6, 34], [15, 31, 36], [32, 30, 4], [20, 5, 37], [14, 27, 12], [29, 22, 1], [26, 19, 11], [23, 3, 0], [10, 24, 7], [28, 17, 33], [2, 8, 18, 13], [16, 21, 25, 35]]
[[14, 33, 23], [27, 8, 21], [0, 28, 7], [6, 13, 10], [35, 15, 9], [32, 30, 24], [2, 26, 22], [37, 18, 20], [11, 25, 16], [1, 3, 19], [12, 4, 29, 17], [31, 36, 34, 5]]
[[26, 7, 19], [32, 23, 21], [2, 12, 24], [14, 0, 27], [1, 37, 6], [8, 15, 22], [9, 30, 4], [5, 20, 34], [31, 35, 3], [11, 13, 10], [25, 33, 18, 16], [17, 36, 29, 28]]
[[29, 10, 36], [12, 6, 13], [35, 20, 4], [15, 7, 1], [18, 21, 8], [25, 28, 32], [2, 19, 9], [23, 16, 31], [0, 33, 26], [11, 34, 24], [37, 5, 27, 22], [3, 30, 17, 14]]
[[7, 4, 10], [27, 5, 16], [13, 18, 17], [23, 25, 36], [1, 37, 19], [15, 21, 34], [31, 33, 0], [8, 20, 9], [2, 29, 3], [28, 35, 24], [30, 26, 12, 14], [32, 11, 6, 22]]
[[4, 8, 26], [15, 7, 13], [37, 20, 34], [36, 12, 29], [11, 3, 18], [19, 6, 17], [30, 22, 10], [35, 28, 14], [32, 5, 9], [25, 0, 21], [24, 33, 1, 23], [2, 27, 31, 16]]
[[35, 36, 9], [3, 4, 24], [16, 28, 11], [34, 20, 6], [1, 7, 22], [15, 27, 13], [2, 0, 14], [18, 19, 26], [25, 12, 23], [29, 21, 8], [33, 17, 32, 10], [31, 37, 30, 5]]
[[32, 8, 37], [26, 28, 15], [31, 24, 18], [3, 23, 22], [25, 30, 14], [5, 13, 29], [17, 12, 35], [2, 4, 11], [0, 1, 7], [19, 27, 21], [6, 33, 36, 16], [9, 10, 34, 20]]
[[21, 24, 0], [10, 28, 19], [3, 36, 8], [23, 2, 1], [26, 16, 6], [35, 13, 29], [33, 27, 12], [18, 25, 14], [17, 20, 9], [34, 32, 30], [11, 7, 4, 37], [5, 22, 15, 31]]
[[16, 29, 11], [3, 15, 13], [36, 2, 19], [31, 7, 21], [23, 37, 8], [9, 25, 33], [14, 22, 6], [5, 20, 17], [28, 26, 32], [12, 1, 27], [0, 10, 35, 18], [30, 34, 24, 4]]
[[3, 6, 26], [14, 29, 13], [18, 28, 36], [31, 22, 23], [32, 11, 17], [16, 35, 21], [0, 24, 1], [7, 30, 5], [10, 2, 19], [9, 27, 34], [20, 4, 8, 33], [37, 25, 15, 12]]
