[[19, 2, 7], [24, 11, 22], [4, 14, 36], [28, 30, 40], [27, 25, 35], [39, 31, 29], [23, 16, 34], [33, 9, 3], [18, 21, 32], [41, 6, 42], [5, 10, 15], [37, 13, 38], [43, 12, 26, 17], [1, 0, 20, 8]]
[[12, 5, 1], [22, 0, 41], [14, 31, 17], [21, 18, 6], [38, 35, 36], [28, 11, 8], [42, 23, 32], [29, 43, 4], [10, 40, 15], [7, 37, 39], [27, 25, 24], [20, 9, 26], [2, 3, 30, 13], [33, 34, 16, 19]]
[[15, 39, 0], [42, 34, 13], [22, 12, 17], [6, 30, 9], [3, 31, 2], [8, 16, 7], [4, 28, 37], [18, 29, 20], [27, 19, 25], [10, 21, 23], [33, 1, 26], [11, 24, 41], [38, 35, 36, 5], [43, 40, 32, 14]]
[[37, 27, 33], [29, 21, 42], [34, 0, 24], [28, 13, 2], [35, 25, 10], [38, 41, 17], [8, 36, 11], [22, 26, 32], [6, 15, 23], [4, 14, 31], [7, 39, 1], [40, 30, 19], [16, 43, 18, 9], [3, 20, 5, 12]]
[[21, 26, 3], [13, 20, 36], [22, 38, 23], [25, 28, 16], [7, 19, 6], [29, 18, 31], [12, 41, 15], [27, 0, 32], [37, 2, 9], [39, 4, 17], [8, 42, 24], [33, 14, 30], [40, 1, 34, 10], [5, 35, 11, 43]]
[[40, 28, 5], [36, 15, 9], [4, 34, 41], [19, 1, 14], [7, 26, 6], [21, 0, 42], [13, 43, 22], [27, 31, 10], [12, 2, 23], [17, 37, 18], [3, 25, 11], [38, 29, 39], [35, 20, 30, 33], [16, 24, 8, 32]]
[[20, 14, 0], [11, 29, 42], [33, 22, 41], [39, 17, 3], [27, 4, 40], [24, 21, 36], [13, 25, 16], [32, 38, 15], [5, 34, 30], [6, 8, 18], [26, 12, 10], [37, 23, 35], [2, 28, 43, 7], [31, 9, 1, 19]]
[[11, 3, 26], [30, 23, 42], [2, 41, 4], [10, 9, 15], [8, 28, 12], [1, 27, 13], [35, 36, 25], [18, 39, 5], [40, 22, 0], [21, 43, 19], [32, 16, 34], [24, 14, 6], [37, 7, 31, 38], [33, 29, 17, 20]]
[[43, 8, 15], [17, 34, 31], [24, 29, 41], [12, 39, 5], [33, 1, 19], [7, 10, 14], [40, 4, 26], [21, 42, 11], [27, 36, 30], [22, 13, 3], [16, 35, 25], [0, 9, 2], [23, 18, 32, 28], [20, 37, 38, 6]]
[[37, 29, 10], [38, 35, 32], [18, 3, 13], [7, 12, 26], [9, 23, 27], [39, 11, 2], [25, 8, 21], [43, 19, 0], [41, 24, 28], [17, 31, 5], [14, 4, 15], [16, 6, 22], [36, 33, 20, 40], [42, 1, 34, 30]]
[[31, 17, 38], [41, 34, 13], [21, 5, 14], [42, 24, 12], [1, 29, 4], [37, 27, 10], [43, 16, 7], [26, 39, 36], [22, 19, 11], [2, 32, 6], [25, 20, 0], [28, 33, 23], [8, 3, 40, 9], [18, 35, 15, 30]]
[[7, 43, 25], [23, 33, 41], [9, 39, 17], [4, 16, 10], [20, 22, 31], [36, 5, 2], [27, 3, 38], [12, 11, 35], [15, 29, 32], [21, 6, 19], [14, 24, 8], [26, 42, 13], [28, 18, 40, 0], [34, 37, 30, 1]]
[[43, 11, 14], [21, 22, 26], [40, 32, 42], [23, 28, 31], [34, 37, 27], [35, 15, 20], [7, 0, 10], [13, 2, 41], [9, 24, 33], [17, 38, 16], [12, 18, 4], [8, 1, 6], [5, 29, 36, 39], [25, 3, 19, 30]]
[[26, 36, 23], [16, 9, 38], [29, 7, 6], [10, 12, 34], [13, 8, 1], [37, 17, 33], [15, 5, 24], [39, 14, 28], [22, 2, 40], [42, 30, 25], [20, 0, 41], [4, 19, 43], [35, 27, 31, 11], [3, 32, 18, 21]]
[[19, 27, 7], [5, 32, 15], [33, 43, 35], [42, 30, 0], [9, 20, 6], [34, 41, 26], [38, 16, 29], [22, 11, 21], [8, 37, 12], [10, 39, 14], [2, 13, 25], [40, 3, 28], [18, 24, 23, 4], [17, 1, 31, 36]]
[[16, 5, 37], [26, 7, 11], [10, 40, 20], [41, 3, 19], [32, 38, 17], [18, 1, 12], [31, 24, 4], [29, 36, 14], [22, 0, 23], [21, 34, 13], [43, 42, 27], [30, 39, 9], [28, 8, 33, 6], [25, 15, 2, 35]]
[[32, 28, 14], [23, 40, 17], [38, 37, 10], [13, 35, 42], [8, 6, 18], [5, 1, 2], [22, 29, 7], [31, 34, 26], [12, 20, 19], [24, 25, 0], [3, 41, 36], [39, 15, 30], [43, 9, 4, 27], [16, 11, 21, 33]]
[[18, 26, 4], [21, 24, 38], [31, 3, 41], [28, 16, 32], [17, 5, 9], [20, 27, 0], [11, 13, 40], [15, 43, 6], [29, 10, 8], [42, 7, 23], [33, 35, 30], [34, 1, 22], [39, 19, 12, 37], [2, 25, 14, 36]]
[[2, 33, 42], [8, 6, 35], [31, 4, 26], [16, 40, 38], [0, 34, 27], [17, 18, 21], [22, 41, 12], [13, 9, 7], [37, 10, 43], [1, 14, 32], [19, 23, 24], [11, 39, 28], [5, 3, 29, 25], [30, 36, 20, 15]]
[[43, 19, 31], [42, 34, 27], [35, 10, 41], [32, 3, 2], [29, 23, 0], [37, 18, 38], [11, 5, 24], [6, 4, 21], [30, 1, 28], [13, 33, 36], [17, 8, 7], [16, 20, 26], [9, 12, 22, 15], [39, 25, 14, 40]]
[[39, 3, 14], [1, 40, 19], [41, 11, 38], [16, 12, 25], [37, 22, 43], [35, 10, 21], [28, 2, 9], [34, 33, 17], [42, 29, 27], [20, 31, 32], [7, 15, 18], [5, 30, 23], [24, 4, 8, 6], [0, 36, 26, 13]]
[[11, 8, 30], [4, 24, 28], [38, 5, 6], [26, 42, 41], [23, 0, 13], [7, 17, 34], [35, 29, 21], [18, 40, 22], [15, 32, 19], [9, 31, 1], [10, 20, 3], [33, 39, 12], [25, 27, 36, 2], [37, 16, 43, 14]]
[[15, 12, 38], [28, 31, 19], [5, 42, 18], [11, 16, 17], [13, 33, 27], [10, 22, 2], [8, 39, 21], [25, 30, 24], [37, 43, 41], [36, 9, 7], [32, 20, 23], [3, 14, 29], [34, 4, 35, 6], [40, 1, 26, 0]]
[[40, 16, 30], [22, 6, 21], [38, 25, 17], [1, 0, 41], [32, 5, 24], [33, 19, 23], [7, 14, 31], [4, 10, 15], [27, 18, 12], [11, 9, 39], [2, 28, 20], [13, 42, 34], [36, 37, 35, 43], [3, 8, 26, 29]]
[[29, 5, 19], [43, 32, 3], [36, 21, 37], [40, 14, 39], [22, 2, 42], [1, 15, 25], [26, 23, 31], [34, 6, 35], [0, 16, 17], [11, 12, 13], [24, 8, 41], [10, 27, 9], [18, 33, 30, 7], [28, 38, 20, 4]]
[[1, 32, 11], [40, 23, 2], [0, 9, 27], [31, 29, 36], [25, 17, 10], [28, 26, 12], [16, 37, 7], [35, 3, 5], [18, 41, 6], [19, 43, 13], [8, 34, 15], [24, 14, 38], [33, 39, 42, 21], [20, 4, 30, 22]]
[[17, 6, 40], [11, 12, 7], [21, 18, 13], [9, 43, 19], [42, 33, 37], [41, 30, 20], [31, 8, 34], [0, 25, 28], [26, 27, 5], [29, 14, 23], [24, 32, 36], [1, 4, 3], [35, 38, 39, 16], [22, 10, 2, 15]]
