[[15, 1, 0], [21, 20, 3], [31, 10, 4], [16, 24, 6], [2, 8, 22], [9, 28, 19], [26, 12, 13], [25, 30, 29], [7, 11, 23, 18], [14, 27, 5, 17]]
[[24, 31, 1], [15, 25, 19], [29, 26, 20], [2, 10, 28], [21, 14, 7], [16, 13, 30], [8, 5, 18], [4, 3, 17], [22, 11, 9, 12], [27, 0, 6, 23]]
[[31, 30, 0], [13, 19, 8], [26, 17, 27], [7, 29, 15], [14, 21, 28], [16, 12, 1], [10, 11, 6], [23, 5, 4], [2, 22, 24, 25], [18, 20, 3, 9]]
[[24, 13, 2], [15, 1, 6], [19, 23, 20], [9, 5, 7], [22, 31, 18], [27, 11, 30], [26, 12, 10], [29, 21, 8], [0, 3, 28, 25], [4, 14, 16, 17]]
[[16, 18, 12], [21, 22, 11], [27, 4, 0], [14, 30, 9], [31, 13, 1], [19, 10, 6], [20, 5, 26], [29, 28, 24], [3, 2, 25, 7], [15, 23, 17, 8]]
[[0, 4, 27], [24, 20, 15], [6, 22, 19], [11, 7, 10], [16, 3, 25], [18, 31, 23], [21, 28, 12], [17, 5, 1], [9, 8, 26, 2], [29, 14, 13, 30]]
[[5, 14, 30], [13, 0, 26], [4, 17, 31], [28, 29, 22], [19, 11, 20], [7, 25, 15], [1, 8, 18], [9, 3, 10], [21, 27, 6, 23], [12, 16, 2, 24]]
[[12, 6, 7], [26, 17, 18], [21, 11, 19], [3, 25, 23], [20, 2, 30], [10, 28, 9], [8, 0, 16], [15, 14, 1], [5, 27, 29, 13], [24, 22, 31, 4]]
[[8, 14, 9], [18, 19, 16], [20, 15, 4], [29, 11, 13], [5, 3, 23], [27, 21, 26], [0, 1, 28], [2, 10, 17], [12, 22, 31, 6], [25, 7, 30, 24]]
[[7, 24, 1], [10, 15, 21], [23, 6, 4], [3, 8, 22], [28, 26, 14], [29, 31, 25], [13, 20, 12], [30, 9, 18], [19, 16, 5, 17], [11, 2, 27, 0]]
[[28, 12, 13], [6, 5, 7], [17, 20, 30], [18, 31, 15], [26, 4, 2], [10, 11, 14], [27, 1, 22], [16, 24, 8], [21, 3, 0, 23], [29, 25, 9, 19]]
[[21, 17, 5], [30, 13, 31], [11, 28, 22], [29, 7, 10], [23, 2, 18], [9, 0, 24], [4, 20, 1], [26, 27, 16], [3, 6, 25, 14], [15, 12, 8, 19]]
[[0, 14, 17], [16, 10, 5], [28, 23, 6], [25, 31, 2], [30, 9, 7], [21, 20, 26], [12, 15, 29], [22, 27, 8], [1, 19, 13, 24], [3, 18, 4, 11]]
[[26, 7, 21], [12, 15, 2], [1, 16, 8], [13, 19, 30], [24, 4, 11], [23, 20, 22], [27, 6, 10], [17, 0, 29], [3, 14, 31, 18], [5, 25, 9, 28]]
