[[28, 4, 16], [1, 2, 24], [9, 19, 11], [21, 15, 6], [27, 10, 13], [22, 5, 18], [14, 3, 20], [23, 29, 26], [30, 12, 17], [8, 7, 25, 0]]
[[23, 5, 14], [18, 2, 12], [21, 8, 30], [29, 7, 1], [28, 0, 25], [17, 10, 27], [22, 16, 3], [26, 15, 4], [11, 13, 19], [6, 24, 9, 20]]
[[9, 8, 19], [27, 26, 2], [24, 25, 3], [21, 14, 12], [6, 28, 20], [0, 23, 30], [18, 13, 17], [16, 22, 11], [15, 29, 7], [1, 10, 4, 5]]
[[7, 27, 13], [28, 25, 11], [3, 16, 19], [14, 22, 21], [8, 0, 9], [10, 20, 5], [17, 30, 1], [15, 24, 23], [4, 12, 18], [6, 2, 29, 26]]
[[5, 16, 14], [17, 24, 20], [0, 2, 13], [12, 30, 8], [18, 21, 10], [29, 6, 1], [4, 22, 15], [3, 27, 23], [25, 7, 11], [19, 26, 28, 9]]
[[26, 16, 20], [21, 6, 28], [19, 7, 3], [29, 0, 25], [8, 18, 10], [24, 1, 30], [17, 11, 14], [13, 27, 22], [12, 4, 2], [5, 23, 15, 9]]
[[5, 17, 24], [22, 25, 23], [21, 13, 0], [1, 4, 10], [27, 12, 11], [6, 7, 2], [15, 19, 29], [30, 28, 3], [16, 9, 8], [14, 20, 18, 26]]
[[23, 9, 22], [29, 0, 6], [5, 8, 20], [18, 15, 12], [27, 26, 10], [25, 19, 21], [2, 30, 1], [28, 16, 17], [24, 14, 4], [11, 13, 3, 7]]
[[19, 12, 20], [29, 13, 18], [11, 5, 9], [6, 4, 25], [16, 24, 15], [22, 26, 28], [1, 2, 3], [10, 17, 30], [21, 23, 8], [7, 0, 27, 14]]
[[18, 27, 13], [30, 4, 23], [20, 21, 1], [19, 12, 11], [17, 22, 5], [29, 14, 25], [3, 10, 28], [2, 0, 6], [24, 7, 15], [16, 9, 26, 8]]
[[24, 1, 21], [10, 0, 5], [7, 14, 8], [6, 17, 30], [22, 13, 28], [19, 9, 27], [25, 2, 18], [29, 3, 11], [15, 26, 16], [23, 12, 4, 20]]
[[3, 30, 28], [9, 16, 25], [29, 15, 27], [11, 6, 7], [14, 22, 10], [4, 5, 1], [0, 2, 13], [19, 18, 8], [21, 12, 17], [23, 26, 24, 20]]
[[15, 29, 20], [9, 30, 5], [23, 13, 16], [28, 1, 10], [12, 26, 19], [14, 6, 7], [17, 0, 3], [21, 2, 27], [18, 11, 22], [8, 25, 4, 24]]
[[7, 10, 3], [6, 18, 8], [15, 20, 30], [4, 25, 11], [24, 29, 16], [9, 21, 22], [19, 23, 0], [26, 1, 28], [5, 2, 17], [14, 12, 27, 13]]
[[26, 2, 20], [27, 29, 28], [11, 14, 12], [22, 25, 21], [24, 4, 23], [0, 16, 7], [10, 5, 8], [13, 1, 9], [17, 18, 15], [30, 6, 19, 3]]
[[24, 17, 18], [13, 25, 1], [3, 14, 8], [11, 4, 6], [30, 2, 23], [26, 19, 9], [16, 27, 21], [5, 12, 0], [22, 15, 7], [28, 29, 10, 20]]
[[29, 25, 19], [7, 28, 3], [2, 21, 5], [24, 27, 4], [9, 17, 20], [0, 13, 16], [1, 26, 14], [8, 11, 22], [10, 18, 23], [15, 12, 30, 6]]
[[17, 25, 30], [2, 7, 3], [27, 29, 9], [11, 10, 20], [14, 28, 6], [24, 23, 15], [22, 4, 18], [8, 5, 21], [16, 13, 1], [19, 26, 12, 0]]
[[23, 30, 16], [1, 15, 29], [24, 19, 2], [17, 26, 27], [18, 0, 10], [7, 3, 9], [4, 5, 20], [25, 8, 6], [14, 13, 11], [22, 28, 12, 21]]
