[[10, 28, 31], [19, 33, 14], [9, 32, 18], [0, 27, 6], [2, 15, 23], [5, 1, 12], [4, 20, 30], [25, 21, 29], [24, 3, 8], [7, 13, 16], [11, 22, 17, 26]]
[[17, 4, 10], [25, 30, 18], [0, 13, 9], [19, 24, 7], [8, 14, 26], [21, 29, 1], [2, 16, 23], [33, 20, 22], [27, 15, 32], [6, 3, 12], [28, 31, 5, 11]]
[[4, 9, 26], [32, 30, 33], [20, 31, 28], [5, 18, 12], [15, 21, 3], [8, 10, 25], [0, 17, 13], [2, 19, 22], [27, 1, 29], [16, 6, 24], [11, 7, 14, 23]]
[[12, 2, 4], [33, 3, 15], [27, 16, 26], [32, 23, 28], [29, 5, 7], [19, 6, 14], [31, 30, 21], [13, 10, 20], [17, 0, 18], [11, 1, 8], [9, 24, 25, 22]]
[[15, 16, 27], [11, 10, 4], [9, 31, 12], [29, 19, 1], [6, 18, 0], [23, 5, 14], [26, 8, 24], [3, 7, 13], [21, 25, 28], [17, 30, 2], [32, 22, 20, 33]]
[[25, 16, 24], [10, 21, 1], [4, 6, 27], [7, 8, 5], [11, 32, 30], [20, 17, 31], [3, 33, 0], [23, 26, 12], [28, 15, 14], [2, 18, 9], [29, 19, 22, 13]]
[[30, 32, 26], [3, 27, 14], [16, 4, 29], [8, 17, 31], [6, 10, 7], [21, 23, 28], [22, 33, 2], [18, 11, 25], [15, 13, 20], [5, 0, 9], [19, 1, 24, 12]]
[[28, 32, 23], [10, 3, 18], [26, 11, 4], [22, 25, 17], [30, 15, 8], [13, 27, 21], [5, 16, 7], [14, 20, 29], [19, 24, 6], [1, 2, 9], [31, 0, 12, 33]]
[[23, 17, 21], [31, 14, 12], [6, 22, 19], [8, 24, 10], [18, 28, 1], [32, 2, 30], [33, 4, 7], [27, 26, 25], [20, 5, 3], [16, 0, 11], [13, 9, 15, 29]]
[[33, 6, 30], [16, 17, 29], [25, 8, 14], [0, 27, 26], [18, 12, 23], [7, 32, 9], [28, 5, 2], [1, 10, 13], [11, 31, 21], [19, 24, 20], [4, 15, 22, 3]]
[[12, 15, 24], [9, 22, 11], [31, 33, 30], [23, 20, 29], [14, 7, 4], [21, 5, 8], [2, 28, 19], [16, 26, 25], [6, 17, 10], [13, 32, 3], [18, 0, 27, 1]]
[[33, 28, 2], [27, 4, 25], [6, 18, 3], [19, 10, 5], [0, 23, 30], [8, 21, 14], [16, 29, 12], [7, 1, 11], [32, 17, 31], [15, 9, 22], [24, 13, 26, 20]]
[[14, 17, 0], [24, 26, 10], [11, 22, 4], [25, 13, 1], [31, 6, 9], [5, 15, 8], [7, 12, 33], [16, 32, 19], [28, 3, 21], [23, 2, 29], [18, 30, 20, 27]]
[[23, 14, 13], [19, 32, 20], [21, 11, 31], [0, 15, 5], [22, 18, 7], [33, 1, 2], [3, 29, 12], [27, 6, 24], [9, 4, 16], [8, 17, 30], [25, 10, 28, 26]]
[[0, 11, 21], [8, 24, 3], [19, 18, 23], [10, 1, 15], [25, 27, 4], [28, 7, 32], [13, 30, 33], [20, 31, 16], [14, 5, 26], [22, 17, 9], [29, 12, 6, 2]]
[[14, 16, 5], [31, 8, 32], [2, 22, 29], [17, 3, 28], [19, 11, 26], [6, 24, 7], [4, 12, 23], [10, 1, 18], [0, 9, 27], [21, 30, 25], [33, 15, 13, 20]]
[[24, 6, 17], [25, 33, 28], [2, 11, 30], [20, 19, 10], [16, 0, 32], [3, 26, 7], [18, 9, 14], [8, 31, 21], [22, 5, 15], [12, 27, 1], [4, 23, 13, 29]]
[[29, 27, 28], [13, 4, 25], [11, 3, 5], [26, 12, 10], [19, 9, 24], [2, 33, 17], [21, 22, 18], [1, 32, 14], [6, 20, 0], [31, 16, 23], [8, 7, 30, 15]]
[[23, 2, 22], [1, 21, 31], [24, 3, 4], [16, 8, 6], [15, 10, 28], [25, 26, 19], [11, 18, 33], [29, 17, 7], [12, 30, 14], [32, 27, 9], [5, 0, 13, 20]]
[[31, 11, 0], [26, 19, 21], [5, 4, 22], [23, 16, 9], [13, 24, 27], [32, 6, 17], [10, 1, 25], [2, 30, 7], [12, 33, 8], [28, 20, 3], [15, 18, 14, 29]]
[[28, 9, 6], [12, 8, 23], [20, 17, 31], [33, 14, 0], [16, 21, 19], [30, 25, 32], [24, 22, 26], [3, 1, 29], [7, 13, 27], [15, 10, 5], [11, 18, 2, 4]]
[[5, 25, 1], [0, 19, 8], [22, 14, 31], [29, 13, 21], [17, 28, 4], [32, 24, 23], [20, 18, 2], [26, 16, 33], [7, 15, 27], [12, 9, 6], [11, 30, 3, 10]]
[[12, 11, 0], [32, 7, 23], [25, 6, 22], [33, 3, 5], [14, 29, 10], [15, 19, 21], [18, 8, 24], [28, 9, 20], [13, 31, 27], [16, 30, 26], [1, 4, 17, 2]]
[[27, 25, 13], [31, 1, 12], [20, 4, 32], [19, 10, 16], [3, 24, 9], [21, 18, 15], [0, 17, 28], [14, 11, 26], [30, 22, 8], [7, 5, 33], [23, 29, 2, 6]]
[[8, 20, 2], [12, 22, 14], [21, 17, 15], [32, 5, 10], [7, 31, 11], [23, 30, 28], [27, 3, 9], [33, 19, 18], [29, 26, 13], [0, 16, 4], [24, 6, 1, 25]]
[[32, 18, 0], [17, 25, 11], [12, 16, 24], [7, 26, 21], [29, 31, 20], [30, 8, 2], [33, 13, 14], [22, 1, 9], [4, 10, 6], [28, 23, 27], [3, 19, 15, 5]]
[[13, 27, 5], [11, 19, 26], [3, 9, 24], [18, 20, 12], [30, 8, 10], [23, 31, 33], [0, 22, 4], [16, 6, 32], [15, 29, 28], [14, 21, 1], [17, 2, 25, 7]]
[[17, 32, 5], [14, 4, 27], [8, 11, 9], [25, 13, 23], [19, 33, 28], [0, 3, 18], [30, 2, 31], [24, 7, 1], [26, 29, 15], [20, 12, 10], [16, 21, 6, 22]]
[[5, 32, 8], [18, 13, 7], [20, 12, 27], [29, 22, 24], [31, 19, 6], [33, 0, 9], [16, 3, 30], [1, 28, 4], [15, 23, 10], [21, 26, 25], [14, 11, 17, 2]]
[[18, 13, 9], [5, 11, 29], [31, 16, 26], [28, 20, 12], [19, 8, 6], [25, 24, 14], [30, 4, 22], [23, 10, 17], [32, 2, 3], [27, 1, 0], [33, 7, 21, 15]]
[[5, 31, 24], [8, 1, 26], [9, 21, 6], [2, 0, 29], [16, 23, 33], [18, 30, 14], [32, 25, 17], [10, 28, 13], [4, 27, 7], [20, 11, 3], [19, 22, 12, 15]]
[[22, 6, 28], [32, 2, 14], [8, 11, 15], [0, 7, 30], [20, 1, 21], [27, 19, 17], [29, 25, 23], [16, 26, 9], [31, 4, 10], [24, 12, 33], [18, 5, 3, 13]]
[[26, 8, 7], [0, 13, 27], [33, 18, 1], [22, 23, 9], [30, 17, 10], [4, 5, 16], [31, 20, 25], [28, 19, 3], [24, 32, 21], [29, 14, 2], [12, 6, 11, 15]]
[[28, 20, 26], [32, 21, 27], [25, 5, 33], [16, 8, 0], [15, 18, 11], [19, 12, 6], [2, 3, 1], [13, 17, 14], [23, 7, 9], [4, 10, 29], [22, 30, 31, 24]]
