[[39, 11, 9], [28, 0, 33], [43, 19, 24], [10, 37, 1], [32, 35, 42], [30, 31, 8], [7, 3, 14], [5, 2, 22], [13, 18, 26], [38, 23, 20], [16, 25, 40], [34, 44, 4], [29, 12, 15], [36, 17, 6], [27, 41, 21]]
[[21, 42, 23], [11, 4, 8], [19, 30, 2], [16, 3, 40], [39, 28, 36], [27, 17, 38], [37, 25, 24], [9, 32, 15], [5, 10, 7], [41, 35, 0], [6, 26, 13], [29, 14, 22], [33, 43, 18], [44, 34, 20], [1, 31, 12]]
[[40, 18, 1], [8, 24, 36], [19, 21, 37], [16, 6, 44], [15, 26, 38], [7, 14, 10], [2, 43, 17], [12, 22, 13], [11, 25, 20], [39, 29, 5], [41, 33, 28], [30, 4, 32], [34, 42, 3], [31, 35, 27], [0, 23, 9]]
[[30, 4, 36], [31, 14, 19], [12, 13, 37], [18, 15, 16], [43, 26, 35], [9, 34, 8], [24, 20, 39], [6, 32, 41], [23, 0, 33], [21, 29, 17], [44, 22, 40], [11, 3, 7], [2, 1, 10], [28, 42, 27], [25, 5, 38]]
[[32, 34, 37], [24, 17, 41], [5, 19, 7], [0, 40, 21], [36, 20, 27], [28, 33, 13], [26, 4, 22], [31, 8, 39], [15, 29, 30], [18, 11, 42], [23, 1, 35], [16, 3, 6], [9, 12, 2], [44, 14, 43], [25, 38, 10]]
[[20, 10, 44], [23, 11, 5], [24, 32, 41], [43, 9, 6], [30, 39, 25], [21, 15, 26], [14, 34, 38], [35, 18, 3], [31, 16, 36], [12, 19, 22], [37, 17, 42], [13, 27, 1], [2, 8, 29], [33, 40, 4], [7, 0, 28]]
[[31, 17, 13], [33, 12, 7], [26, 37, 5], [43, 11, 29], [32, 27, 16], [1, 23, 10], [14, 3, 4], [8, 0, 2], [21, 9, 18], [22, 15, 38], [19, 34, 28], [25, 42, 44], [40, 36, 20], [24, 35, 6], [30, 41, 39]]
[[7, 4, 12], [36, 10, 19], [39, 34, 6], [37, 42, 1], [5, 24, 15], [9, 35, 0], [16, 27, 32], [26, 22, 21], [8, 2, 29], [3, 33, 11], [30, 41, 31], [17, 20, 40], [14, 43, 25], [18, 23, 44], [13, 28, 38]]
[[38, 1, 41], [12, 27, 29], [9, 7, 8], [23, 39, 40], [19, 43, 24], [18, 42, 22], [10, 17, 35], [2, 13, 11], [34, 4, 21], [44, 0, 28], [31, 20, 14], [36, 25, 37], [30, 15, 16], [3, 6, 5], [33, 32, 26]]
[[13, 30, 2], [25, 14, 9], [34, 11, 1], [23, 22, 39], [18, 15, 12], [27, 36, 4], [5, 21, 35], [32, 42, 38], [26, 6, 31], [7, 8, 3], [43, 44, 29], [16, 24, 40], [17, 19, 28], [41, 33, 37], [10, 0, 20]]
[[23, 44, 30], [31, 19, 24], [42, 43, 7], [34, 12, 40], [35, 20, 37], [3, 27, 8], [1, 10, 15], [21, 28, 14], [17, 13, 16], [18, 29, 11], [38, 9, 36], [41, 25, 5], [39, 4, 26], [33, 6, 22], [2, 32, 0]]
[[36, 15, 30], [6, 2, 21], [40, 18, 44], [27, 1, 26], [20, 29, 39], [38, 25, 34], [23, 19, 42], [8, 14, 43], [7, 33, 37], [16, 11, 35], [31, 32, 10], [5, 24, 41], [22, 9, 17], [28, 0, 4], [3, 13, 12]]
[[34, 3, 25], [38, 22, 8], [30, 16, 7], [37, 12, 18], [6, 29, 17], [4, 11, 33], [23, 43, 31], [44, 35, 2], [36, 41, 40], [13, 28, 42], [27, 39, 14], [19, 26, 1], [0, 9, 24], [32, 5, 15], [21, 20, 10]]
[[43, 32, 15], [9, 25, 40], [17, 28, 22], [13, 21, 1], [5, 7, 37], [33, 27, 31], [29, 39, 42], [16, 23, 4], [41, 3, 12], [2, 30, 35], [26, 6, 38], [34, 11, 10], [19, 20, 44], [8, 14, 0], [24, 36, 18]]
[[21, 0, 27], [9, 13, 22], [5, 19, 33], [29, 1, 41], [20, 40, 8], [12, 36, 7], [23, 42, 30], [28, 32, 35], [39, 37, 4], [14, 10, 38], [44, 31, 6], [15, 18, 26], [25, 16, 34], [17, 3, 24], [11, 43, 2]]
[[38, 0, 33], [31, 11, 41], [37, 42, 34], [43, 8, 27], [13, 4, 17], [29, 7, 1], [22, 9, 32], [19, 10, 23], [5, 3, 16], [39, 6, 30], [15, 25, 28], [36, 26, 40], [21, 20, 35], [12, 2, 18], [44, 24, 14]]
[[38, 31, 5], [20, 7, 14], [18, 29, 22], [33, 1, 10], [23, 42, 39], [35, 4, 37], [21, 8, 27], [17, 25, 40], [30, 0, 28], [15, 34, 11], [6, 12, 9], [41, 2, 24], [43, 36, 32], [19, 26, 3], [44, 13, 16]]
[[13, 37, 5], [34, 14, 23], [20, 40, 12], [29, 32, 8], [22, 44, 28], [16, 7, 0], [38, 18, 25], [35, 39, 36], [31, 3, 6], [2, 10, 41], [11, 1, 26], [33, 15, 21], [19, 43, 27], [17, 9, 24], [42, 4, 30]]
[[21, 42, 35], [38, 22, 14], [33, 26, 39], [18, 25, 29], [30, 6, 44], [41, 36, 15], [43, 8, 37], [24, 19, 40], [2, 16, 1], [31, 17, 12], [4, 10, 28], [7, 5, 3], [0, 23, 34], [20, 27, 11], [9, 32, 13]]
[[14, 12, 2], [13, 19, 7], [37, 21, 11], [38, 5, 40], [25, 1, 3], [9, 32, 8], [17, 16, 24], [29, 31, 39], [10, 26, 43], [6, 36, 20], [35, 18, 34], [0, 23, 33], [28, 42, 27], [30, 15, 4], [44, 41, 22]]
[[15, 34, 32], [38, 43, 20], [2, 21, 24], [7, 36, 0], [41, 14, 9], [22, 8, 44], [18, 23, 26], [25, 19, 12], [17, 28, 40], [11, 3, 33], [39, 10, 30], [5, 35, 13], [1, 4, 27], [16, 31, 29], [37, 6, 42]]
[[33, 3, 42], [15, 19, 30], [37, 0, 12], [44, 21, 36], [35, 9, 41], [34, 1, 23], [11, 40, 6], [4, 43, 26], [32, 17, 7], [27, 13, 18], [2, 16, 38], [29, 5, 10], [28, 24, 22], [14, 20, 31], [8, 39, 25]]
[[11, 25, 40], [1, 10, 24], [16, 27, 44], [34, 31, 22], [41, 20, 33], [9, 4, 0], [42, 7, 8], [5, 3, 37], [36, 43, 12], [6, 14, 19], [30, 23, 21], [28, 38, 29], [35, 17, 32], [39, 26, 13], [2, 18, 15]]
[[0, 36, 3], [29, 42, 43], [39, 31, 5], [26, 14, 1], [32, 13, 33], [4, 2, 7], [27, 10, 18], [41, 44, 23], [9, 17, 28], [6, 35, 22], [16, 37, 21], [15, 8, 38], [24, 12, 40], [34, 11, 20], [25, 30, 19]]
[[44, 31, 9], [28, 30, 26], [2, 38, 25], [5, 14, 19], [4, 8, 11], [10, 24, 7], [21, 37, 13], [12, 15, 23], [27, 29, 20], [17, 6, 34], [35, 39, 43], [33, 40, 18], [42, 41, 22], [36, 1, 3], [0, 16, 32]]
[[15, 32, 10], [31, 5, 39], [26, 25, 23], [30, 38, 27], [18, 0, 28], [42, 3, 29], [20, 33, 21], [7, 14, 2], [44, 12, 24], [35, 9, 43], [40, 6, 22], [8, 4, 1], [16, 19, 41], [17, 13, 36], [34, 11, 37]]
[[3, 8, 25], [14, 41, 26], [30, 20, 31], [28, 38, 18], [27, 6, 19], [15, 23, 16], [43, 35, 0], [7, 39, 44], [17, 29, 22], [37, 34, 1], [9, 10, 2], [13, 4, 24], [12, 11, 40], [21, 33, 5], [42, 36, 32]]
[[38, 2, 13], [27, 9, 8], [20, 31, 36], [15, 1, 40], [35, 0, 10], [28, 44, 26], [22, 3, 7], [32, 4, 29], [39, 16, 5], [19, 17, 30], [37, 43, 18], [12, 33, 25], [34, 6, 23], [24, 41, 21], [42, 14, 11]]
[[38, 31, 3], [30, 5, 28], [39, 2, 43], [32, 26, 23], [8, 15, 40], [7, 12, 36], [35, 6, 22], [34, 0, 11], [14, 10, 27], [16, 13, 17], [19, 33, 37], [42, 25, 44], [4, 24, 9], [21, 1, 29], [41, 18, 20]]
[[34, 2, 8], [27, 33, 4], [20, 32, 30], [9, 13, 41], [38, 16, 26], [5, 23, 28], [36, 19, 31], [11, 17, 6], [22, 18, 25], [10, 1, 7], [42, 21, 35], [24, 40, 14], [12, 0, 39], [37, 43, 44], [29, 15, 3]]
