[[11, 2, 9], [22, 19, 7], [25, 3, 18], [21, 5, 16], [14, 15, 0], [12, 1, 24], [4, 20, 17, 13], [23, 8, 10, 6]]
[[9, 3, 23], [20, 0, 15], [18, 11, 25], [22, 6, 1], [4, 16, 21], [10, 17, 12], [7, 2, 14, 5], [24, 19, 13, 8]]
[[6, 3, 8], [25, 21, 7], [11, 10, 23], [22, 4, 15], [18, 24, 2], [16, 14, 1], [5, 19, 13, 12], [0, 17, 20, 9]]
[[2, 16, 1], [6, 4, 14], [19, 23, 20], [5, 12, 7], [10, 22, 3], [17, 24, 8], [18, 13, 15, 9], [11, 25, 21, 0]]
[[1, 18, 16], [20, 14, 8], [15, 7, 24], [5, 6, 17], [4, 10, 3], [19, 21, 9], [23, 25, 22, 13], [0, 12, 2, 11]]
[[7, 25, 23], [21, 5, 12], [11, 10, 4], [2, 17, 8], [14, 6, 1], [0, 15, 22], [13, 18, 16, 20], [19, 24, 3, 9]]
[[13, 0, 18], [22, 6, 1], [4, 24, 11], [2, 14, 23], [16, 12, 20], [3, 8, 15], [17, 10, 25, 19], [9, 7, 5, 21]]
[[4, 19, 16], [18, 7, 12], [20, 8, 10], [23, 1, 5], [22, 17, 3], [14, 0, 11], [25, 2, 15, 21], [24, 9, 13, 6]]
[[5, 18, 11], [10, 21, 22], [17, 9, 25], [13, 15, 24], [14, 19, 1], [3, 7, 23], [6, 8, 12, 20], [16, 4, 0, 2]]
[[9, 22, 18], [13, 2, 10], [14, 24, 3], [19, 23, 16], [7, 0, 8], [12, 17, 4], [25, 15, 20, 5], [1, 11, 6, 21]]
[[10, 6, 21], [12, 2, 16], [18, 0, 23], [24, 22, 8], [17, 19, 4], [9, 3, 11], [13, 15, 1, 25], [20, 7, 14, 5]]
[[10, 7, 6], [18, 11, 24], [8, 2, 25], [16, 23, 14], [1, 5, 4], [22, 17, 19], [20, 9, 3, 12], [15, 21, 13, 0]]
