[[16, 24, 30], [21, 2, 23], [32, 10, 17], [15, 25, 36], [45, 38, 29], [41, 5, 6], [39, 44, 19], [42, 9, 40], [37, 43, 22], [14, 0, 7], [28, 26, 4], [3, 20, 11], [34, 13, 31], [33, 8, 1], [27, 12, 35, 18]]
[[40, 1, 29], [21, 37, 44], [35, 23, 43], [17, 27, 16], [28, 10, 39], [14, 5, 22], [36, 0, 24], [45, 20, 30], [3, 12, 19], [34, 38, 9], [2, 41, 4], [11, 6, 33], [42, 31, 26], [8, 18, 7], [25, 13, 15, 32]]
[[7, 40, 41], [16, 23, 35], [20, 25, 33], [17, 43, 34], [18, 15, 6], [31, 4, 36], [3, 13, 38], [10, 8, 22], [12, 32, 5], [21, 28, 0], [39, 2, 19], [37, 24, 14], [45, 9, 29], [42, 27, 11], [1, 44, 26, 30]]
[[35, 38, 25], [22, 18, 20], [40, 41, 28], [43, 3, 27], [29, 15, 34], [4, 12, 14], [10, 24, 16], [31, 42, 21], [44, 19, 0], [9, 5, 13], [23, 7, 30], [1, 8, 32], [11, 37, 45], [2, 6, 33], [26, 17, 39, 36]]
[[9, 0, 33], [10, 35, 1], [27, 36, 39], [32, 3, 12], [25, 40, 4], [38, 43, 31], [30, 26, 7], [16, 28, 24], [17, 2, 42], [22, 8, 41], [14, 13, 5], [19, 18, 45], [6, 44, 29], [20, 34, 11], [15, 37, 21, 23]]
[[1, 6, 7], [30, 43, 11], [45, 21, 36], [29, 18, 8], [28, 17, 42], [0, 27, 14], [41, 38, 16], [3, 2, 20], [10, 39, 24], [44, 9, 15], [31, 19, 4], [40, 5, 35], [23, 37, 26], [34, 22, 13], [32, 25, 12, 33]]
[[12, 40, 5], [32, 45, 11], [21, 41, 37], [42, 39, 14], [2, 15, 36], [3, 38, 34], [25, 44, 6], [9, 30, 29], [43, 35, 33], [8, 17, 0], [13, 31, 26], [10, 23, 19], [4, 7, 1], [27, 22, 24], [28, 18, 20, 16]]
[[20, 25, 5], [43, 0, 26], [4, 35, 23], [12, 27, 1], [31, 38, 33], [8, 28, 34], [45, 16, 41], [42, 11, 9], [37, 36, 30], [10, 3, 32], [7, 2, 19], [44, 24, 22], [40, 6, 39], [15, 13, 14], [17, 29, 21, 18]]
[[35, 3, 13], [43, 0, 8], [5, 42, 39], [31, 34, 17], [2, 20, 19], [30, 32, 12], [38, 18, 33], [41, 45, 21], [44, 29, 26], [22, 27, 14], [11, 36, 23], [25, 10, 16], [4, 15, 37], [6, 1, 7], [28, 9, 40, 24]]
[[6, 29, 31], [9, 19, 26], [11, 37, 36], [34, 16, 17], [21, 4, 2], [43, 14, 12], [7, 5, 35], [30, 18, 39], [32, 41, 28], [44, 13, 27], [45, 24, 0], [38, 20, 8], [23, 33, 15], [10, 3, 40], [1, 25, 42, 22]]
[[7, 32, 3], [25, 14, 38], [37, 24, 45], [10, 6, 30], [23, 2, 29], [5, 40, 19], [36, 34, 9], [41, 20, 42], [22, 28, 0], [15, 26, 27], [39, 17, 11], [4, 44, 21], [33, 12, 18], [1, 13, 35], [43, 31, 16, 8]]
