[[38, 17, 18], [0, 4, 33], [10, 13, 42], [28, 23, 14], [9, 5, 36], [37, 35, 11], [40, 12, 20], [15, 21, 1], [26, 6, 3], [39, 8, 25], [24, 16, 29], [32, 19, 41], [7, 34, 31], [27, 22, 2, 30]]
[[28, 12, 33], [41, 19, 17], [18, 26, 6], [4, 27, 36], [20, 37, 38], [24, 9, 42], [14, 21, 11], [23, 31, 16], [2, 7, 25], [34, 32, 30], [3, 10, 13], [22, 29, 35], [0, 40, 39], [1, 8, 15, 5]]
[[13, 23, 3], [9, 21, 24], [22, 25, 12], [14, 16, 1], [28, 32, 27], [37, 38, 11], [30, 4, 41], [5, 18, 6], [20, 35, 33], [7, 8, 26], [17, 34, 2], [29, 31, 10], [42, 0, 40], [19, 36, 15, 39]]
[[24, 39, 33], [7, 27, 21], [1, 12, 28], [30, 11, 17], [40, 36, 22], [15, 16, 34], [13, 35, 5], [4, 3, 10], [20, 29, 41], [32, 38, 23], [25, 18, 26], [37, 2, 14], [19, 31, 42], [0, 9, 6, 8]]
[[6, 22, 4], [29, 21, 32], [36, 31, 35], [11, 1, 30], [33, 8, 2], [19, 38, 40], [3, 5, 0], [18, 25, 20], [26, 34, 28], [7, 14, 10], [9, 37, 39], [42, 16, 13], [23, 17, 12], [24, 41, 27, 15]]
[[19, 30, 37], [18, 4, 31], [9, 24, 6], [26, 17, 32], [8, 3, 5], [21, 1, 35], [36, 2, 11], [41, 34, 33], [22, 0, 38], [27, 14, 13], [39, 10, 12], [28, 25, 16], [42, 20, 40], [15, 29, 7, 23]]
[[2, 19, 28], [6, 12, 41], [20, 11, 14], [1, 16, 35], [33, 13, 17], [21, 38, 8], [18, 24, 26], [29, 32, 3], [4, 37, 23], [30, 5, 7], [9, 39, 22], [15, 31, 0], [27, 40, 10], [34, 42, 36, 25]]
[[30, 13, 37], [18, 6, 7], [3, 40, 42], [23, 24, 36], [25, 4, 17], [33, 27, 26], [38, 14, 11], [28, 32, 34], [10, 0, 41], [21, 8, 9], [31, 22, 29], [20, 15, 1], [19, 12, 35], [5, 16, 39, 2]]
[[10, 1, 27], [13, 4, 24], [11, 40, 14], [32, 9, 42], [15, 20, 37], [6, 12, 23], [41, 21, 31], [36, 0, 38], [5, 34, 18], [8, 7, 28], [26, 19, 2], [35, 29, 39], [22, 16, 3], [17, 33, 30, 25]]
[[41, 42, 12], [19, 0, 16], [9, 35, 40], [27, 30, 38], [15, 33, 7], [24, 21, 22], [29, 10, 1], [11, 6, 2], [25, 34, 5], [26, 13, 20], [32, 14, 23], [3, 4, 31], [18, 37, 28], [17, 39, 36, 8]]
[[39, 33, 22], [4, 34, 28], [11, 29, 17], [19, 20, 5], [1, 15, 38], [0, 10, 13], [12, 32, 30], [14, 41, 25], [6, 21, 37], [9, 8, 40], [24, 23, 27], [7, 18, 16], [2, 26, 36], [42, 31, 35, 3]]
[[31, 23, 4], [29, 33, 21], [10, 1, 0], [42, 32, 24], [27, 25, 19], [41, 20, 2], [15, 12, 14], [35, 11, 39], [16, 26, 7], [18, 40, 3], [5, 17, 9], [36, 28, 6], [8, 22, 34], [13, 30, 37, 38]]
